eigenvalue_1,eigenvalue_2,span_trees
(17.22937090695106+0j),(9.47453005062057+0j),32768
(17.22937090695105+0j),(9.474530050620578+0j),32768
(17.236663807117523+0j),(9.48057307808175+0j),32768
(17.28124514660319+0j),(9.46076850785554+0j),40960
(17.219500407137467+0j),(9.742173691828523+0j),32768
(17.217880710784883+0j),(9.6236735635262+0j),32768
(17.217880710784872+0j),(9.623673563526191+0j),32768
(16.387684528690592+0j),(10.695377965632675+0j),32768
(16.470571116915732+0j),(10.218679427469636+0j),40960
(16.451338363551383+0j),(10.140159236018848+0j),32768
(16.467523770509587+0j),(10.240719842932071+0j),40960
(16.40001587983227+0j),(10.369728590536768+0j),32768
(16.400015879832285+0j),(10.369728590536761+0j),32768
(16.40001587983227+0j),(10.369728590536752+0j),32768
(16.394112197161228+0j),(10.465316077747909+0j),32768
(16.400015879832285+0j),(10.369728590536765+0j),32768
(16.470571116915732+0j),(10.218679427469628+0j),40960
(16.412782964458945+0j),(9.493089051180817+0j),40960
(16.41565121364682+0j),(9.570251580696677+0j),40960
(16.412782964458945+0j),(9.49308905118082+0j),40960
(16.40993595978708+0j),(9.463157662660429+0j),40960
(16.387510194807195+0j),(9.47409699370104+0j),32768
(16.408278698530438+0j),(9.458528510031613+0j),40960
(16.400185320578277+0j),(9.478905433262252+0j),49152
(16.38341939703055+0j),(9.452075790931891+0j),32768
(16.38341939703055+0j),(9.45207579093192+0j),32768
(16.38341939703055+0j),(9.45207579093192+0j),32768
(16.40993595978708+0j),(9.463157662660421+0j),40960
(16.384079020417335+0j),(9.453032198583+0j),32768
(16.384887742551836+0j),(9.467456285727346+0j),32768
(16.38751019480721+0j),(9.474096993701037+0j),32768
(16.387510194807216+0j),(9.474096993701034+0j),32768
(16.387510194807188+0j),(9.47409699370104+0j),32768
(16.421612938658203+0j),(9.559773575850217+0j),49152
(16.43352833857954+0j),(9.5065512671652+0j),40960
(16.43988607332468+0j),(9.461833281807325+0j),40960
(16.444138808118986+0j),(9.525190022499025+0j),40960
(16.43988607332468+0j),(9.461833281807312+0j),40960
(16.412782964458938+0j),(9.4930890511808+0j),40960
(16.412782964458938+0j),(9.4930890511808+0j),40960
(16.40993595978708+0j),(9.463157662660421+0j),40960
(16.41565121364683+0j),(9.57025158069668+0j),40960
(16.384079020417342+0j),(9.453032198582992+0j),32768
(16.383419397030508+0j),(9.452075790931879+0j),32768
(16.38341939703054+0j),(9.452075790931874+0j),32768
(16.40827869853043+0j),(9.45852851003162+0j),40960
(16.40018532057827+0j),(9.478905433262256+0j),49152
(16.40993595978708+0j),(9.463157662660421+0j),40960
(16.383466357367027+0j),(9.472014699590902+0j),32768
(16.383466357367027+0j),(9.472014699590908+0j),32768
(16.383851058079756+0j),(9.63522727844847+0j),49152
(16.41565121364682+0j),(9.570251580696683+0j),40960
(16.383660817040784+0j),(9.656612117160078+0j),49152
(16.41565121364682+0j),(9.570251580696674+0j),40960
(16.383660817040756+0j),(9.656612117160082+0j),49152
(16.426060384491166+0j),(9.5600403169828+0j),40960
(16.40993595978708+0j),(9.463157662660418+0j),40960
(16.41933936819547+0j),(9.471593002868305+0j),40960
(16.383419397030522+0j),(9.452075790931902+0j),32768
(16.383493211961124+0j),(9.548350247948928+0j),49152
(16.383493211961124+0j),(9.548350247948935+0j),49152
(16.38344641986169+0j),(9.452728354813717+0j),49152
(16.38454833261034+0j),(9.455716121932662+0j),57344
(16.409935959787067+0j),(9.463157662660427+0j),40960
(16.384079020417335+0j),(9.453032198582992+0j),32768
(16.407765673935327+0j),(9.492483579497788+0j),49152
(16.422651757949573+0j),(9.484818123238146+0j),40960
(16.422651757949573+0j),(9.484818123238139+0j),40960
(16.419339368195466+0j),(9.471593002868332+0j),40960
(16.384079020417335+0j),(9.453032198582996+0j),32768
(16.383419397030536+0j),(9.452075790931874+0j),32768
(16.383493211961124+0j),(9.548350247948935+0j),49152
(16.412782964458938+0j),(9.4930890511808+0j),40960
(16.412782964458938+0j),(9.4930890511808+0j),40960
(16.383609543444727+0j),(9.533329891686165+0j),49152
(16.385201388479015+0j),(9.583884018369083+0j),40960
(16.40018532057827+0j),(9.478905433262272+0j),49152
(16.40827869853043+0j),(9.458528510031616+0j),40960
(16.383419397030544+0j),(9.452075790931897+0j),32768
(16.40993595978708+0j),(9.463157662660407+0j),40960
(16.412782964458945+0j),(9.493089051180817+0j),40960
(16.383493211961117+0j),(9.548350247948928+0j),49152
(16.38344641986169+0j),(9.45272835481372+0j),49152
(16.384548332610347+0j),(9.455716121932666+0j),57344
(16.40993595978708+0j),(9.463157662660413+0j),40960
(16.384225849643048+0j),(9.459288943507287+0j),57344
(16.385201388479036+0j),(9.583884018369101+0j),40960
(16.40018532057827+0j),(9.478905433262264+0j),49152
(16.40827869853043+0j),(9.458528510031622+0j),40960
(16.412782964458945+0j),(9.493089051180817+0j),40960
(16.38360954344475+0j),(9.53332989168615+0j),49152
