added,edges,eigenvalues,span_trees
"(0, 7, 1)","[(0, 1), (0, 7), (1, 2), (1, 3), (1, 4), (1, 6), (1, 10), (1, 11), (1, 14), (2, 5), (2, 7), (2, 8), (6, 9), (10, 13), (11, 12)]","[1.82819004e+01 9.34829091e+00 5.23606798e+00 5.23606798e+00
 4.75829928e+00 3.69789365e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 1.29943308e+00 7.63932023e-01
 7.63932023e-01 6.14182724e-01 6.72598561e-16]",40960
"(0, 10, 1)","[(0, 1), (0, 10), (1, 2), (1, 3), (1, 4), (1, 6), (1, 10), (1, 11), (1, 14), (2, 5), (2, 7), (2, 8), (6, 9), (10, 13), (11, 12)]","[1.82607057e+01 9.29570856e+00 6.17690852e+00 5.23606798e+00
 4.89368903e+00 2.69884977e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 1.34389282e+00 8.37492452e-01
 7.63932023e-01 4.92753115e-01 2.49829642e-15]",32768
"(0, 4, 1)","[(0, 1), (0, 4), (1, 2), (1, 3), (1, 4), (1, 6), (1, 10), (1, 11), (1, 14), (2, 5), (2, 7), (2, 8), (6, 9), (10, 13), (11, 12)]","[1.82603223e+01+0.00000000e+00j 9.29491796e+00+0.00000000e+00j
 5.23606798e+00+0.00000000e+00j 5.23606798e+00+0.00000000e+00j
 4.73756122e+00+0.00000000e+00j 4.00000000e+00+0.00000000e+00j
 2.00000000e+00+1.26953321e-16j 2.00000000e+00+0.00000000e+00j
 2.00000000e+00-1.26953321e-16j 2.00000000e+00+0.00000000e+00j
 1.21648945e+00+0.00000000e+00j 7.63932023e-01+0.00000000e+00j
 7.63932023e-01+0.00000000e+00j 4.90709037e-01+0.00000000e+00j
 1.50986590e-15+0.00000000e+00j]",32768
"(0, 12, 1)","[(0, 1), (0, 12), (1, 2), (1, 3), (1, 4), (1, 6), (1, 10), (1, 11), (1, 14), (2, 5), (2, 7), (2, 8), (6, 9), (10, 13), (11, 12)]","[ 1.82795695e+01  9.29992867e+00  5.58762070e+00  5.23606798e+00
  4.78671986e+00  3.15407898e+00  2.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  1.48852324e+00  9.08623694e-01
  7.63932023e-01  4.94935359e-01 -8.96728107e-16]",40960
"(0, 6, 1)","[(0, 1), (0, 6), (1, 2), (1, 3), (1, 4), (1, 6), (1, 10), (1, 11), (1, 14), (2, 5), (2, 7), (2, 8), (6, 9), (10, 13), (11, 12)]","[1.82607057e+01 9.29570856e+00 6.17690852e+00 5.23606798e+00
 4.89368903e+00 2.69884977e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 1.34389282e+00 8.37492452e-01
 7.63932023e-01 4.92753115e-01 5.15216842e-16]",32768
"(0, 9, 1)","[(0, 1), (0, 9), (1, 2), (1, 3), (1, 4), (1, 6), (1, 10), (1, 11), (1, 14), (2, 5), (2, 7), (2, 8), (6, 9), (10, 13), (11, 12)]","[ 1.82795695e+01  9.29992867e+00  5.58762070e+00  5.23606798e+00
  4.78671986e+00  3.15407898e+00  2.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  1.48852324e+00  9.08623694e-01
  7.63932023e-01  4.94935359e-01 -3.20245337e-17]",40960
"(0, 14, 1)","[(0, 1), (0, 14), (1, 2), (1, 3), (1, 4), (1, 6), (1, 10), (1, 11), (1, 14), (2, 5), (2, 7), (2, 8), (6, 9), (10, 13), (11, 12)]","[ 1.82603223e+01  9.29491796e+00  5.23606798e+00  5.23606798e+00
  4.73756122e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  1.21648945e+00  7.63932023e-01
  7.63932023e-01  4.90709037e-01 -8.26755777e-16]",32768
"(0, 3, 1)","[(0, 1), (0, 3), (1, 2), (1, 3), (1, 4), (1, 6), (1, 10), (1, 11), (1, 14), (2, 5), (2, 7), (2, 8), (6, 9), (10, 13), (11, 12)]","[1.82603223e+01 9.29491796e+00 5.23606798e+00 5.23606798e+00
 4.73756122e+00 4.00000000e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 1.21648945e+00 7.63932023e-01
 7.63932023e-01 4.90709037e-01 1.49511101e-16]",32768
"(0, 11, 1)","[(0, 1), (0, 11), (1, 2), (1, 3), (1, 4), (1, 6), (1, 10), (1, 11), (1, 14), (2, 5), (2, 7), (2, 8), (6, 9), (10, 13), (11, 12)]","[ 1.82607057e+01  9.29570856e+00  6.17690852e+00  5.23606798e+00
  4.89368903e+00  2.69884977e+00  2.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  1.34389282e+00  8.37492452e-01
  7.63932023e-01  4.92753115e-01 -1.93844147e-15]",32768
"(0, 5, 1)","[(0, 1), (0, 5), (1, 2), (1, 3), (1, 4), (1, 6), (1, 10), (1, 11), (1, 14), (2, 5), (2, 7), (2, 8), (6, 9), (10, 13), (11, 12)]","[ 1.82819004e+01  9.34829091e+00  5.23606798e+00  5.23606798e+00
  4.75829928e+00  3.69789365e+00  2.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  1.29943308e+00  7.63932023e-01
  7.63932023e-01  6.14182724e-01 -1.14446223e-15]",40960
