added,edges,eigenvalues,span_trees
"(0, 7, 1)","[(0, 2), (0, 3), (0, 4), (0, 7), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[ 8.82316277e+00  7.63416150e+00  6.32861135e+00  5.29043630e+00
  5.02838699e+00  4.26191005e+00  3.64350532e+00  2.98250906e+00
  2.36669428e+00  2.00000000e+00  1.89053262e+00  1.69679118e+00
  1.18448092e+00  8.68817678e-01 -1.15578022e-15]",547104
"(0, 10, 1)","[(0, 2), (0, 3), (0, 4), (0, 10), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[8.44465567e+00 7.02252864e+00 6.31725000e+00 6.01197551e+00
 5.07105133e+00 4.21849946e+00 3.78319102e+00 2.94387988e+00
 2.43576762e+00 2.00000000e+00 1.87270459e+00 1.69944179e+00
 1.34240546e+00 8.36649036e-01 1.27126892e-15]",622920
"(0, 12, 1)","[(0, 2), (0, 3), (0, 4), (0, 12), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[ 8.45380737e+00  7.03676729e+00  6.31432215e+00  5.22909259e+00
  4.97734126e+00  4.88475285e+00  3.81193251e+00  3.08034945e+00
  2.37398743e+00  2.10045530e+00  2.00000000e+00  1.76332499e+00
  1.13481192e+00  8.39054902e-01 -2.91355263e-16]",625952
"(0, 1, 1)","[(0, 2), (0, 3), (0, 4), (0, 1), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[ 8.45430351e+00  7.08873395e+00  6.31354887e+00  5.70235791e+00
  5.03462466e+00  4.29037099e+00  3.86290945e+00  3.31139946e+00
  2.41791343e+00  2.00000000e+00  1.87253362e+00  1.75896570e+00
  1.03979938e+00  8.52539062e-01 -4.33670955e-16]",561168
"(0, 6, 1)","[(0, 2), (0, 3), (0, 4), (0, 6), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[ 8.50909189e+00  7.27712283e+00  6.86244237e+00  5.27599671e+00
  5.15287095e+00  4.20282566e+00  3.85515513e+00  2.93860631e+00
  2.36584669e+00  2.00000000e+00  1.87424644e+00  1.69670757e+00
  1.11506329e+00  8.74024157e-01 -2.72492991e-16]",537752
"(0, 9, 1)","[(0, 2), (0, 3), (0, 4), (0, 9), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[ 8.43077006e+00  7.19393463e+00  6.30815958e+00  5.62081402e+00
  5.02948781e+00  4.72232781e+00  3.53435365e+00  2.94216611e+00
  2.44099243e+00  2.00000000e+00  1.90527079e+00  1.78975267e+00
  1.24080067e+00  8.41169758e-01 -2.86580425e-15]",615224
"(0, 14, 1)","[(0, 2), (0, 3), (0, 4), (0, 14), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[8.44518459e+00 7.09847471e+00 6.31205475e+00 5.67312786e+00
 4.96821583e+00 4.15876812e+00 3.88057855e+00 2.98781658e+00
 2.50810444e+00 2.32406097e+00 1.87256602e+00 1.71741564e+00
 1.17356606e+00 8.80065872e-01 1.70466242e-15]",663774
"(0, 11, 1)","[(0, 2), (0, 3), (0, 4), (0, 11), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[8.43779123e+00 7.06320817e+00 6.32297429e+00 5.52727722e+00
 4.96863182e+00 4.31883711e+00 3.96049085e+00 2.95089588e+00
 2.59432665e+00 2.29367434e+00 2.00000000e+00 1.72026371e+00
 9.68056461e-01 8.73572267e-01 6.27250674e-16]",602920
"(0, 5, 1)","[(0, 2), (0, 3), (0, 4), (0, 5), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[ 8.42941039e+00  7.04500794e+00  6.73985855e+00  5.31732942e+00
  5.02544727e+00  4.67049020e+00  3.97810879e+00  2.94328924e+00
  2.44673264e+00  2.00000000e+00  1.87440725e+00  1.68796155e+00
  9.94457892e-01  8.47498871e-01 -7.90061455e-16]",508800
"(0, 8, 1)","[(0, 2), (0, 3), (0, 4), (0, 8), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[ 8.49967120e+00  7.02300401e+00  6.82179799e+00  5.52040214e+00
  5.09895398e+00  4.08326754e+00  3.94756786e+00  2.94894791e+00
  2.37934805e+00  2.00000000e+00  1.89278274e+00  1.77666214e+00
  1.16746689e+00  8.40127543e-01 -1.98686238e-15]",570128
"(0, 13, 1)","[(0, 2), (0, 3), (0, 4), (0, 13), (1, 2), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[8.44518459e+00 7.09847471e+00 6.31205475e+00 5.67312786e+00
 4.96821583e+00 4.15876812e+00 3.88057855e+00 2.98781658e+00
 2.50810444e+00 2.32406097e+00 1.87256602e+00 1.71741564e+00
 1.17356606e+00 8.80065872e-01 1.25494439e-15]",663774
"(1, 3, 1)","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 7), (1, 8), (1, 3), (2, 3), (2, 4), (2, 5), (2, 6), (2, 11), (3, 5), (3, 12), (5, 6), (5, 8), (6, 7), (6, 13), (6, 14), (7, 9), (7, 11), (7, 13), (7, 14), (8, 9), (8, 10), (9, 10), (10, 12)]","[8.44293634e+00 7.15565486e+00 6.69257887e+00 5.62786208e+00
 4.96953540e+00 4.08941630e+00 3.66714695e+00 3.46451446e+00
 2.36410521e+00 2.00000000e+00 1.93775341e+00 1.79716576e+00
 9.22426364e-01 8.68904009e-01 5.16278015e-16]",516920
