added,edges,eigenv_1,eigenv_2,eigenv_3,eigenv_4,eigenv_5,eigenv_6,eigenv_7,eigenv_8,eigenv_9,eigenv_10,eigenv_11,eigenv_12,eigenv_13,eigenv_14,eigenv_15,span_trees,lower_bound_largest_laplacian_eigenv,lower_bound_second_largest_laplacian_eigenv,lower_bound_second_smallest_laplacian_eigenv,lower_bound_for_second_smallest_laplacian_eigenvalue_diam
base,"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 8), (0, 14), (1, 2), (1, 4), (2, 3), (2, 5), (2, 9), (2, 10), (2, 13), (3, 7), (3, 11), (3, 12), (4, 6), (4, 7), (4, 13), (5, 8), (6, 9), (6, 12), (8, 10), (9, 11), (12, 14)]",8.830907558110084,7.954145369203181,6.268203918440841,5.168797599899973,4.378656161687984,3.886951739633953,3.262265336559811,2.671099932771464,2.355778299298123,2.000000000000001,1.7475632294278989,1.302020192133295,1.1878095256346903,0.9858011371986999,7.313948897703159e-17,282456,5.8960087790951405,7.372281323269014,0.08740959706477724,-0.0009337649402390439
"(1, 11, 1)","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 8), (0, 14), (1, 2), (1, 4), (1, 11), (2, 3), (2, 5), (2, 9), (2, 10), (2, 13), (3, 7), (3, 11), (3, 12), (4, 6), (4, 7), (4, 13), (5, 8), (6, 9), (6, 12), (8, 10), (9, 11), (12, 14)]",8.859213965549417,8.00131680659745,6.293437583458143,5.216166636411843,4.652131101164851,3.957225841990946,3.3380852774938865,3.1378455418475193,2.5514977353909503,2.3551008321681968,1.7937445820211666,1.6168484957295595,1.2077022494058103,1.0196833507702443,-2.738805506394454e-16,642002,5.8960087790951405,7.372281323269014,0.08740959706477724,-0.0008985264166766503
"(1, 14, 1)","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 8), (0, 14), (1, 2), (1, 4), (1, 14), (2, 3), (2, 5), (2, 9), (2, 10), (2, 13), (3, 7), (3, 11), (3, 12), (4, 6), (4, 7), (4, 13), (5, 8), (6, 9), (6, 12), (8, 10), (9, 11), (12, 14)]",8.903173696209029,7.955369857386125,6.285594597131749,5.179755041974929,4.495094864517987,3.9530577160079607,3.881253002466372,2.8341010508263733,2.5207405001866454,2.3518081417643586,1.7691513507460588,1.578066473355572,1.2953503024920934,0.9974834049347887,-8.306606102023231e-17,642602,5.8960087790951405,7.372281323269014,0.08740959706477724,-0.0008985264166766503
"(1, 7, 1)","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 8), (0, 14), (1, 2), (1, 4), (1, 7), (2, 3), (2, 5), (2, 9), (2, 10), (2, 13), (3, 7), (3, 11), (3, 12), (4, 6), (4, 7), (4, 13), (5, 8), (6, 9), (6, 12), (8, 10), (9, 11), (12, 14)]",8.842229354381011,8.001683675710169,6.268396638326959,5.212303628633909,4.379384766926911,3.9525451606368667,3.797261910890396,3.111286956340707,2.6565286865734867,2.3551020854879883,1.920702561902751,1.3023967001814465,1.1918135450441754,1.0083643289632382,4.784980902271113e-16,592778,5.8960087790951405,7.372281323269014,0.08740959706477724,-0.0008985264166766503
"(1, 10, 1)","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 8), (0, 14), (1, 2), (1, 4), (1, 10), (2, 3), (2, 5), (2, 9), (2, 10), (2, 13), (3, 7), (3, 11), (3, 12), (4, 6), (4, 7), (4, 13), (5, 8), (6, 9), (6, 12), (8, 10), (9, 11), (12, 14)]",8.831091547199426,7.95439969195885,6.330587945548477,5.169095465965869,4.711238921893021,3.9607998933943427,3.442073367293348,3.226929858478831,2.6411547838236427,2.2051312251747723,1.8098345821687098,1.4294164894843482,1.2530546846020516,1.0351915430143008,-1.350697110606885e-15,620774,5.8960087790951405,7.372281323269014,0.08740959706477724,-0.0008985264166766503
"(1, 13, 1)","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 8), (0, 14), (1, 2), (1, 4), (1, 13), (2, 3), (2, 5), (2, 9), (2, 10), (2, 13), (3, 7), (3, 11), (3, 12), (4, 6), (4, 7), (4, 13), (5, 8), (6, 9), (6, 12), (8, 10), (9, 11), (12, 14)]",8.830907558110084,7.954145369203207,6.268203918440847,5.168797599899993,4.378656161687991,3.9999999999999996,3.886951739633955,3.262265336559808,2.671099932771467,2.3557782992981253,1.7475632294278975,1.3020201921332943,1.1878095256346899,0.9858011371987019,-1.8427952893793886e-16,564912,5.8960087790951405,7.372281323269014,0.08740959706477724,-0.0008985264166766503
"(7, 11, 1)","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 8), (0, 14), (1, 2), (1, 4), (2, 3), (2, 5), (2, 9), (2, 10), (2, 13), (3, 7), (3, 11), (3, 12), (4, 6), (4, 7), (4, 13), (5, 8), (6, 9), (6, 12), (7, 11), (8, 10), (9, 11), (12, 14)]",8.834595119912697,7.954145401519764,6.300748115338796,5.168841773613387,4.740172476630143,4.038418985279416,3.571840680080538,2.980721860001724,2.38406893535128,2.3545489944160276,2.000000000000001,1.4833034000675156,1.1979532931743555,0.9906409646144219,3.2476424141504946e-15,614520,5.8960087790951405,7.372281323269014,0.08740959706477724,-0.0008985264166766503
"(7, 14, 1)","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 8), (0, 14), (1, 2), (1, 4), (2, 3), (2, 5), (2, 9), (2, 10), (2, 13), (3, 7), (3, 11), (3, 12), (4, 6), (4, 7), (4, 13), (5, 8), (6, 9), (6, 12), (7, 14), (8, 10), (9, 11), (12, 14)]",8.860202697926066,8.017347120958666,6.289115471024934,5.2554213405633154,4.444707045905932,3.919458083719295,3.6374123422119515,3.077313513679095,2.478800532347977,2.33951091221683,2.0,1.4086603574541965,1.2862462990172905,0.985804282974445,-4.1672261742226803e-16,632312,5.8960087790951405,7.372281323269014,0.08740959706477724,-0.0008985264166766503
"(7, 13, 1)","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 8), (0, 14), (1, 2), (1, 4), (2, 3), (2, 5), (2, 9), (2, 10), (2, 13), (3, 7), (3, 11), (3, 12), (4, 6), (4, 7), (4, 13), (5, 8), (6, 9), (6, 12), (7, 13), (8, 10), (9, 11), (12, 14)]",8.842229354381033,8.001683675710161,6.268396638326959,5.212303628633913,4.3793847669269095,3.9525451606368645,3.7972619108903993,3.1112869563407037,2.6565286865734876,2.3551020854879914,1.92070256190275,1.3023967001814465,1.1918135450441747,1.00836432896324,8.611563847080296e-16,592778,5.8960087790951405,7.372281323269014,0.08740959706477724,-0.0008985264166766503
"(7, 10, 1)","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 8), (0, 14), (1, 2), (1, 4), (2, 3), (2, 5), (2, 9), (2, 10), (2, 13), (3, 7), (3, 11), (3, 12), (4, 6), (4, 7), (4, 13), (5, 8), (6, 9), (6, 12), (7, 10), (8, 10), (9, 11), (12, 14)]",8.839689978057615,8.010173805486799,6.332652215739368,5.208671569330814,4.627104569810868,3.9175096794887008,3.4456943705429732,3.1135994461002787,2.6638511959337112,2.0466135016128186,2.000000000000001,1.4367656043811483,1.2550741105902443,1.1025999529246746,-7.034225819017225e-16,656460,5.8960087790951405,7.372281323269014,0.08740959706477724,-0.0008985264166766503
"(10, 13, 1)","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 8), (0, 14), (1, 2), (1, 4), (2, 3), (2, 5), (2, 9), (2, 10), (2, 13), (3, 7), (3, 11), (3, 12), (4, 6), (4, 7), (4, 13), (5, 8), (6, 9), (6, 12), (8, 10), (9, 11), (10, 13), (12, 14)]",8.831091547199438,7.954399691958853,6.330587945548472,5.169095465965878,4.711238921893026,3.96079989339434,3.442073367293352,3.226929858478833,2.641154783823644,2.205131225174771,1.8098345821687107,1.4294164894843497,1.2530546846020552,1.0351915430142993,1.9315202195064285e-15,620774,5.8960087790951405,7.372281323269014,0.08740959706477724,-0.0008985264166766503
"(10, 14, 1)","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 8), (0, 14), (1, 2), (1, 4), (2, 3), (2, 5), (2, 9), (2, 10), (2, 13), (3, 7), (3, 11), (3, 12), (4, 6), (4, 7), (4, 13), (5, 8), (6, 9), (6, 12), (8, 10), (9, 11), (10, 14), (12, 14)]",8.89633638931303,7.954550714643551,6.280239861093989,5.184098799688649,4.51964926520855,4.099190665405042,3.7157013258942513,3.000000000000001,2.5151329824623905,2.0000000000000004,1.8778816718064082,1.6316894452323691,1.226844627159977,1.0986842520917923,-4.912768202295202e-15,659036,5.8960087790951405,7.372281323269014,0.08740959706477724,-0.0008985264166766503
"(10, 11, 1)","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 8), (0, 14), (1, 2), (1, 4), (2, 3), (2, 5), (2, 9), (2, 10), (2, 13), (3, 7), (3, 11), (3, 12), (4, 6), (4, 7), (4, 13), (5, 8), (6, 9), (6, 12), (8, 10), (9, 11), (10, 11), (12, 14)]",8.854896049244086,8.008146185057619,6.275139537163015,5.207656054292021,4.378740109418437,4.335830079284297,3.454977556813785,3.1582614880018847,2.529677406521478,1.9999999999999998,1.8014521703415718,1.60613896067954,1.2173201662453064,1.1717642369369325,8.331072349988926e-16,668268,5.8960087790951405,7.372281323269014,0.08740959706477724,-0.0008985264166766503
