added,edges,eigenvalues,span_trees
"(6, 10, 1)","[(0, 2), (0, 4), (0, 5), (0, 7), (0, 12), (1, 2), (1, 3), (1, 10), (1, 12), (2, 3), (2, 6), (2, 9), (2, 11), (3, 4), (3, 8), (3, 9), (3, 14), (4, 5), (4, 7), (5, 6), (5, 8), (5, 13), (6, 10), (7, 13), (8, 10), (9, 11), (9, 14)]","[7.86708451e+00 7.50364407e+00 6.15689592e+00 5.37682791e+00
 4.86531770e+00 4.45494099e+00 3.83130375e+00 3.30512794e+00
 2.80674512e+00 2.54542983e+00 1.76205001e+00 1.50198556e+00
 1.23795595e+00 7.84690746e-01 9.26441449e-16]",656784
"(6, 14, 1)","[(0, 2), (0, 4), (0, 5), (0, 7), (0, 12), (1, 2), (1, 3), (1, 10), (1, 12), (2, 3), (2, 6), (2, 9), (2, 11), (3, 4), (3, 8), (3, 9), (3, 14), (4, 5), (4, 7), (5, 6), (5, 8), (5, 13), (6, 14), (7, 13), (8, 10), (9, 11), (9, 14)]","[ 7.91895814e+00  7.43192803e+00  6.16391873e+00  5.47333904e+00
  4.82349945e+00  4.35534124e+00  3.86680140e+00  3.17186885e+00
  2.95448338e+00  2.55264365e+00  1.87405552e+00  1.49524646e+00
  1.07110771e+00  8.46808388e-01 -7.97599857e-16]",653769
"(6, 12, 1)","[(0, 2), (0, 4), (0, 5), (0, 7), (0, 12), (1, 2), (1, 3), (1, 10), (1, 12), (2, 3), (2, 6), (2, 9), (2, 11), (3, 4), (3, 8), (3, 9), (3, 14), (4, 5), (4, 7), (5, 6), (5, 8), (5, 13), (6, 12), (7, 13), (8, 10), (9, 11), (9, 14)]","[ 7.91217834e+00  7.49907742e+00  6.15958185e+00  5.33283939e+00
  4.76485820e+00  4.30032330e+00  3.89249639e+00  3.59738422e+00
  2.72267001e+00  2.53705391e+00  1.84800166e+00  1.54842416e+00
  1.10560105e+00  7.79510103e-01 -3.22110778e-16]",635076
"(10, 13, 1)","[(0, 2), (0, 4), (0, 5), (0, 7), (0, 12), (1, 2), (1, 3), (1, 10), (1, 12), (2, 3), (2, 6), (2, 9), (2, 11), (3, 4), (3, 8), (3, 9), (3, 14), (4, 5), (4, 7), (5, 6), (5, 8), (5, 13), (7, 13), (8, 10), (9, 11), (9, 14), (10, 13)]","[ 7.84050391e+00  7.49382853e+00  6.19082967e+00  5.32854869e+00
  4.83529188e+00  4.37106343e+00  4.19775089e+00  3.45177235e+00
  2.76963312e+00  1.87515130e+00  1.77239307e+00  1.55680957e+00
  1.46816258e+00  8.48261015e-01 -2.56534754e-16]",706221
"(10, 14, 1)","[(0, 2), (0, 4), (0, 5), (0, 7), (0, 12), (1, 2), (1, 3), (1, 10), (1, 12), (2, 3), (2, 6), (2, 9), (2, 11), (3, 4), (3, 8), (3, 9), (3, 14), (4, 5), (4, 7), (5, 6), (5, 8), (5, 13), (7, 13), (8, 10), (9, 11), (9, 14), (10, 14)]","[7.85930853e+00 7.46812958e+00 6.16370659e+00 5.38440397e+00
 5.08630813e+00 4.29535244e+00 3.80488196e+00 3.39829434e+00
 2.67821285e+00 2.53361916e+00 1.68700592e+00 1.50828146e+00
 1.33307244e+00 7.99422617e-01 7.64753826e-16]",675000
"(10, 11, 1)","[(0, 2), (0, 4), (0, 5), (0, 7), (0, 12), (1, 2), (1, 3), (1, 10), (1, 12), (2, 3), (2, 6), (2, 9), (2, 11), (3, 4), (3, 8), (3, 9), (3, 14), (4, 5), (4, 7), (5, 6), (5, 8), (5, 13), (7, 13), (8, 10), (9, 11), (9, 14), (10, 11)]","[ 7.85736901e+00  7.44600891e+00  6.17030046e+00  5.33355788e+00
  5.18941810e+00  4.29296892e+00  3.79932351e+00  3.51552427e+00
  2.57580245e+00  2.35433834e+00  1.73288085e+00  1.57176560e+00
  1.36361193e+00  7.97129782e-01 -2.03991519e-16]",685746
"(11, 13, 1)","[(0, 2), (0, 4), (0, 5), (0, 7), (0, 12), (1, 2), (1, 3), (1, 10), (1, 12), (2, 3), (2, 6), (2, 9), (2, 11), (3, 4), (3, 8), (3, 9), (3, 14), (4, 5), (4, 7), (5, 6), (5, 8), (5, 13), (7, 13), (8, 10), (9, 11), (9, 14), (11, 13)]","[ 7.85347403e+00  7.44047591e+00  6.24593676e+00  5.32559331e+00
  4.97476675e+00  4.27972713e+00  4.13532196e+00  3.15005241e+00
  3.08154886e+00  2.08721894e+00  1.70872772e+00  1.52128953e+00
  1.13726224e+00  1.05860445e+00 -1.04154784e-15]",723384
"(11, 12, 1)","[(0, 2), (0, 4), (0, 5), (0, 7), (0, 12), (1, 2), (1, 3), (1, 10), (1, 12), (2, 3), (2, 6), (2, 9), (2, 11), (3, 4), (3, 8), (3, 9), (3, 14), (4, 5), (4, 7), (5, 6), (5, 8), (5, 13), (7, 13), (8, 10), (9, 11), (9, 14), (11, 12)]","[ 7.89415089e+00  7.44666984e+00  6.16005292e+00  5.41343862e+00
  5.00327380e+00  4.30131697e+00  3.79981973e+00  3.25907351e+00
  2.97401369e+00  2.47873118e+00  1.67998745e+00  1.57520530e+00
  1.18394457e+00  8.30321522e-01 -7.55015264e-17]",667944
"(12, 14, 1)","[(0, 2), (0, 4), (0, 5), (0, 7), (0, 12), (1, 2), (1, 3), (1, 10), (1, 12), (2, 3), (2, 6), (2, 9), (2, 11), (3, 4), (3, 8), (3, 9), (3, 14), (4, 5), (4, 7), (5, 6), (5, 8), (5, 13), (7, 13), (8, 10), (9, 11), (9, 14), (12, 14)]","[7.84127184e+00 7.47542334e+00 6.15768357e+00 5.56929893e+00
 4.90523155e+00 4.29934194e+00 3.80675312e+00 3.34487208e+00
 2.69288257e+00 2.53452542e+00 1.81948035e+00 1.57645167e+00
 1.14361278e+00 8.33170844e-01 4.63804681e-15]",671274
"(12, 13, 1)","[(0, 2), (0, 4), (0, 5), (0, 7), (0, 12), (1, 2), (1, 3), (1, 10), (1, 12), (2, 3), (2, 6), (2, 9), (2, 11), (3, 4), (3, 8), (3, 9), (3, 14), (4, 5), (4, 7), (5, 6), (5, 8), (5, 13), (7, 13), (8, 10), (9, 11), (9, 14), (12, 13)]","[7.85625594e+00 7.49658777e+00 6.21101093e+00 5.38272519e+00
 4.74170742e+00 4.38112101e+00 4.10968406e+00 3.16123093e+00
 2.97339389e+00 2.29213680e+00 1.82685673e+00 1.59354161e+00
 1.14427427e+00 8.29473440e-01 8.95637766e-16]",667161
"(13, 14, 1)","[(0, 2), (0, 4), (0, 5), (0, 7), (0, 12), (1, 2), (1, 3), (1, 10), (1, 12), (2, 3), (2, 6), (2, 9), (2, 11), (3, 4), (3, 8), (3, 9), (3, 14), (4, 5), (4, 7), (5, 6), (5, 8), (5, 13), (7, 13), (8, 10), (9, 11), (9, 14), (13, 14)]","[ 7.86234443e+00  7.42885960e+00  6.23224137e+00  5.38762624e+00
  4.91083624e+00  4.28124558e+00  4.18430632e+00  3.18815736e+00
  2.92767571e+00  2.25619040e+00  1.62772829e+00  1.49679390e+00
  1.14803197e+00  1.06796259e+00 -2.17440076e-16]",723546
