eigenvalue_1,eigenvalue_2,span_trees
(14.298584364067468+0j),(12.064866877236758+0j),49152
(14.280135517452194+0j),(12.010821615384037+0j),32768
(14.320326459163564+0j),(12.013122187612156+0j),40960
(14.298584364067468+0j),(12.064866877236756+0j),49152
(14.280135517452162+0j),(12.010821615384017+0j),32768
(14.28013551745218+0j),(12.010821615384016+0j),32768
(14.302763314072987+0j),(12.011790438303013+0j),49152
(14.298584364067475+0j),(12.064866877236758+0j),49152
(14.298584364067475+0j),(12.064866877236762+0j),49152
(14.284541731493569+0j),(12.045625611861107+0j),57344
(14.284541731493569+0j),(12.045625611861096+0j),57344
(14.282707367834435+0j),(12.011126058028077+0j),40960
(14.320326459163557+0j),(12.013122187612153+0j),40960
(14.32032645916357+0j),(12.013122187612165+0j),40960
(14.284541731493569+0j),(12.045625611861093+0j),57344
(14.320326459163564+0j),(12.01312218761215+0j),40960
(14.284541731493569+0j),(12.045625611861107+0j),57344
(14.298584364067464+0j),(12.064866877236756+0j),49152
(14.298584364067475+0j),(12.064866877236762+0j),49152
(14.298584364067468+0j),(12.064866877236756+0j),49152
(14.280135517452173+0j),(12.010821615384014+0j),32768
(14.298584364067471+0j),(12.064866877236762+0j),49152
(14.280135517452162+0j),(12.010821615384017+0j),32768
(14.302763314072983+0j),(12.011790438303034+0j),49152
(14.28013551745217+0j),(12.010821615384016+0j),32768
(14.280377212124563+0j),(12.052341399725337+0j),65536
(14.298584364067468+0j),(12.064866877236755+0j),49152
(14.280135517452187+0j),(12.010821615384035+0j),32768
(14.298584364067475+0j),(12.064866877236767+0j),49152
(14.280135517452187+0j),(12.01082161538401+0j),32768
(14.280135517452187+0j),(12.010821615384035+0j),32768
(14.298584364067475+0j),(12.064866877236767+0j),49152
(14.29858436406746+0j),(12.064866877236769+0j),49152
(14.28037721212458+0j),(12.05234139972533+0j),65536
(14.280135517452162+0j),(12.010821615384014+0j),32768
(14.28037721212458+0j),(12.05234139972532+0j),65536
(14.302763314072983+0j),(12.011790438303034+0j),49152
(14.280377212124566+0j),(12.052341399725337+0j),65536
(14.302763314072987+0j),(12.011790438303025+0j),49152
(14.298584364067468+0j),(12.064866877236758+0j),49152
(14.28013551745217+0j),(12.01082161538401+0j),32768
(14.298584364067475+0j),(12.064866877236767+0j),49152
(14.28013551745217+0j),(12.01082161538402+0j),32768
(14.298584364067475+0j),(12.064866877236758+0j),49152
(14.298584364067475+0j),(12.064866877236767+0j),49152
