added,edges,eigenv_1,eigenv_2,eigenv_3,eigenv_4,eigenv_5,eigenv_6,eigenv_7,eigenv_8,eigenv_9,eigenv_10,eigenv_11,eigenv_12,eigenv_13,eigenv_14,eigenv_15,span_trees,lower_bound_largest_laplacian_eigenv,lower_bound_second_largest_laplacian_eigenv,lower_bound_second_smallest_laplacian_eigenv,lower_bound_for_second_smallest_laplacian_eigenvalue_diam
base,"[(0, 2), (0, 3), (0, 4), (0, 6), (0, 12), (1, 2), (1, 6), (1, 7), (1, 13), (2, 3), (2, 5), (2, 8), (2, 9), (2, 13), (3, 4), (3, 10), (3, 11), (4, 5), (4, 7), (4, 9), (4, 11), (4, 12), (4, 14), (5, 8), (6, 10), (12, 14)]",9.383667062888973,8.002140206877808,6.608355646342706,4.9626665879128895,4.459160570744084,3.5379232839244947,3.315372087841989,2.9049384116415937,1.9300512146773579,1.8598555230220577,1.639786575126416,1.3357513947533672,1.0687161275217967,0.9916153067244414,-2.5814434461199523e-15,207842,6.609171335944364,6.5,0.08740959706477724,-0.0007003128063868528
"(0, 7, 1)","[(0, 2), (0, 3), (0, 4), (0, 6), (0, 12), (0, 7), (1, 2), (1, 6), (1, 7), (1, 13), (2, 3), (2, 5), (2, 8), (2, 9), (2, 13), (3, 4), (3, 10), (3, 11), (4, 5), (4, 7), (4, 9), (4, 11), (4, 12), (4, 14), (5, 8), (6, 10), (12, 14)]",9.404506788031544,8.146065664368036,7.18030726002995,4.981871512157357,4.712633942262664,3.5397747691183286,3.372372173003569,3.28899090711245,2.299406335869278,1.909737843429676,1.6657541488597258,1.4250876435966864,1.06890534302582,1.0045856691349266,-1.1091870366339143e-15,378385,6.609171335944364,6.5,0.08740959706477724,-0.0006738847207870974
"(0, 10, 1)","[(0, 2), (0, 3), (0, 4), (0, 6), (0, 12), (0, 10), (1, 2), (1, 6), (1, 7), (1, 13), (2, 3), (2, 5), (2, 8), (2, 9), (2, 13), (3, 4), (3, 10), (3, 11), (4, 5), (4, 7), (4, 9), (4, 11), (4, 12), (4, 14), (5, 8), (6, 10), (12, 14)]",9.471470737850494,8.044450879373818,6.955171558713642,5.227677932298001,4.85055409535169,3.53856036815167,3.5211486168714994,3.3127719086633105,1.9414461784610437,1.8601533149925598,1.667987594664834,1.4387585620274532,1.177339411776956,0.992508840803033,1.0758758187835128e-15,374476,6.609171335944364,6.5,0.08740959706477724,-0.0006738847207870974
"(0, 1, 1)","[(0, 2), (0, 3), (0, 4), (0, 6), (0, 12), (0, 1), (1, 2), (1, 6), (1, 7), (1, 13), (2, 3), (2, 5), (2, 8), (2, 9), (2, 13), (3, 4), (3, 10), (3, 11), (4, 5), (4, 7), (4, 9), (4, 11), (4, 12), (4, 14), (5, 8), (6, 10), (12, 14)]",9.43244811251811,8.018714333445859,7.291329957213274,5.803974695748199,4.554832820387571,3.5500392731400443,3.4176790769201615,2.942273182224232,1.9304618553568076,1.867025843095458,1.6414703268890576,1.4210139842302256,1.0845169436407494,1.044219595190238,-2.4915756509918035e-17,330340,6.609171335944364,6.5,0.08740959706477724,-0.0006738847207870974
"(0, 9, 1)","[(0, 2), (0, 3), (0, 4), (0, 6), (0, 12), (0, 9), (1, 2), (1, 6), (1, 7), (1, 13), (2, 3), (2, 5), (2, 8), (2, 9), (2, 13), (3, 4), (3, 10), (3, 11), (4, 5), (4, 7), (4, 9), (4, 11), (4, 12), (4, 14), (5, 8), (6, 10), (12, 14)]",9.388361345060897,8.020748238614715,7.266402334180789,5.014232651123918,4.834705151307876,3.5381750623989023,3.47398832562155,3.119455033175293,2.3558844389831677,1.8922566382796169,1.6678110506916204,1.3361387794404331,1.0954140440010718,0.996426907120116,-2.67709746809052e-15,367663,6.609171335944364,6.5,0.08740959706477724,-0.0006738847207870974
"(0, 14, 1)","[(0, 2), (0, 3), (0, 4), (0, 6), (0, 12), (0, 14), (1, 2), (1, 6), (1, 7), (1, 13), (2, 3), (2, 5), (2, 8), (2, 9), (2, 13), (3, 4), (3, 10), (3, 11), (4, 5), (4, 7), (4, 9), (4, 11), (4, 12), (4, 14), (5, 8), (6, 10), (12, 14)]",9.405296572140593,8.08993809803818,7.133697699743074,5.0022072941118765,4.646165837436841,4.0,3.5159828020927923,3.1283371346088433,1.9390272689743004,1.8601244271106312,1.7011619430588347,1.388696507215551,1.1543233947254956,1.0350410207430139,-1.112809658280239e-15,376688,6.609171335944364,6.5,0.08740959706477724,-0.0008985264166766503
"(0, 11, 1)","[(0, 2), (0, 3), (0, 4), (0, 6), (0, 12), (0, 11), (1, 2), (1, 6), (1, 7), (1, 13), (2, 3), (2, 5), (2, 8), (2, 9), (2, 13), (3, 4), (3, 10), (3, 11), (4, 5), (4, 7), (4, 9), (4, 11), (4, 12), (4, 14), (5, 8), (6, 10), (12, 14)]",9.412337812518127,8.113016238332895,7.011488917578821,5.159125278690311,4.921219205295752,3.5418723396140503,3.4910459692340523,3.030959624405757,2.2201261744593914,1.871842507406782,1.8124533727203316,1.3470481628261426,1.0687500202362108,0.9987143766813693,-1.4130755411290922e-15,367816,6.609171335944364,6.5,0.08740959706477724,-0.0006738847207870974
"(0, 5, 1)","[(0, 2), (0, 3), (0, 4), (0, 6), (0, 12), (0, 5), (1, 2), (1, 6), (1, 7), (1, 13), (2, 3), (2, 5), (2, 8), (2, 9), (2, 13), (3, 4), (3, 10), (3, 11), (4, 5), (4, 7), (4, 9), (4, 11), (4, 12), (4, 14), (5, 8), (6, 10), (12, 14)]",9.385436931268055,8.029541460708455,7.317107755551793,5.115757467075805,4.91292642045742,3.9398734589014066,3.316208746698492,2.969995139290211,1.9301806298284707,1.882868770438191,1.640071835492111,1.3747969158976727,1.1736036857367664,1.011630782655068,-8.299948093770601e-16,348808,6.599805945957956,6.5,0.08740959706477724,-0.0006738847207870974
"(0, 8, 1)","[(0, 2), (0, 3), (0, 4), (0, 6), (0, 12), (0, 8), (1, 2), (1, 6), (1, 7), (1, 13), (2, 3), (2, 5), (2, 8), (2, 9), (2, 13), (3, 4), (3, 10), (3, 11), (4, 5), (4, 7), (4, 9), (4, 11), (4, 12), (4, 14), (5, 8), (6, 10), (12, 14)]",9.441342608426977,8.003135294346688,7.253292416451564,4.991507086322214,4.781767224580615,3.830269039614754,3.393718980233425,3.028459088770296,1.958870469848768,1.9278938525003544,1.6667926461515867,1.48402023440091,1.218110135495276,1.0208209228566036,8.604507798765065e-16,398778,6.609171335944364,6.5,0.08740959706477724,-0.0006738847207870974
"(0, 13, 1)","[(0, 2), (0, 3), (0, 4), (0, 6), (0, 12), (0, 13), (1, 2), (1, 6), (1, 7), (1, 13), (2, 3), (2, 5), (2, 8), (2, 9), (2, 13), (3, 4), (3, 10), (3, 11), (4, 5), (4, 7), (4, 9), (4, 11), (4, 12), (4, 14), (5, 8), (6, 10), (12, 14)]",9.431322402090386,8.008221688223049,7.285215514392542,5.035987341981795,4.7453616626669675,3.5380631345734845,3.3299893453615725,3.2962379059410574,2.198061017450068,1.8780403326334276,1.639981145640537,1.4518900230992067,1.0930358129260729,1.0685926730198312,-1.395930783493008e-15,390845,6.609171335944364,6.5,0.08740959706477724,-0.0008985264166766503
