added,edges,eigenv_1,eigenv_2,eigenv_3,eigenv_4,eigenv_5,eigenv_6,eigenv_7,eigenv_8,eigenv_9,eigenv_10,eigenv_11,eigenv_12,eigenv_13,eigenv_14,eigenv_15,span_trees,lower_bound_largest_laplacian_eigenv,lower_bound_second_largest_laplacian_eigenv,lower_bound_second_smallest_laplacian_eigenv,lower_bound_for_second_smallest_laplacian_eigenvalue_diam
base,"[(0, 2), (0, 3), (0, 4), (0, 6), (0, 12), (1, 2), (1, 6), (1, 7), (1, 13), (2, 3), (2, 5), (2, 8), (2, 9), (2, 13), (3, 4), (3, 10), (3, 11), (4, 5), (4, 7), (4, 9), (4, 11), (4, 12), (4, 14), (5, 8), (6, 10), (12, 14)]",9.383667062888973,8.002140206877808,6.608355646342706,4.9626665879128895,4.459160570744084,3.5379232839244947,3.315372087841989,2.9049384116415937,1.9300512146773579,1.8598555230220577,1.639786575126416,1.3357513947533672,1.0687161275217967,0.9916153067244414,-2.5814434461199523e-15,207842,6.609171335944364,6.5,0.08740959706477724,-0.0007003128063868528
"(7, 8, 1)","[(0, 2), (0, 3), (0, 4), (0, 6), (0, 12), (1, 2), (1, 6), (1, 7), (1, 13), (2, 3), (2, 5), (2, 8), (2, 9), (2, 13), (3, 4), (3, 10), (3, 11), (4, 5), (4, 7), (4, 9), (4, 11), (4, 12), (4, 14), (5, 8), (6, 10), (7, 8), (12, 14)]",9.392558435730681,8.083835291801275,6.608365877118686,5.055487428800951,4.462380412164399,4.120692519097418,3.392201841074943,2.924501011371892,2.6177721070532045,1.8938449675695515,1.7726261430889279,1.5489372681519655,1.1262205469495157,1.0005761500265544,-1.8152772712114907e-17,473193,6.609171335944364,6.5,0.08740959706477724,-0.0006738847207870974
"(7, 10, 1)","[(0, 2), (0, 3), (0, 4), (0, 6), (0, 12), (1, 2), (1, 6), (1, 7), (1, 13), (2, 3), (2, 5), (2, 8), (2, 9), (2, 13), (3, 4), (3, 10), (3, 11), (4, 5), (4, 7), (4, 9), (4, 11), (4, 12), (4, 14), (5, 8), (6, 10), (7, 10), (12, 14)]",9.406408825101668,8.018888704990125,6.683596464801775,5.1680260782086815,4.51453037964777,3.5425481693146508,3.4684459713077294,3.2523295434286124,2.6514777662071354,1.9209176243382764,1.7352372946288395,1.5289485375512857,1.1149961771471686,0.9936484633262805,-3.8284180379287463e-16,469131,6.609171335944364,6.5,0.08740959706477724,-0.0006738847207870974
"(8, 10, 1)","[(0, 2), (0, 3), (0, 4), (0, 6), (0, 12), (1, 2), (1, 6), (1, 7), (1, 13), (2, 3), (2, 5), (2, 8), (2, 9), (2, 13), (3, 4), (3, 10), (3, 11), (4, 5), (4, 7), (4, 9), (4, 11), (4, 12), (4, 14), (5, 8), (6, 10), (8, 10), (12, 14)]",9.387029678647517,8.029070530785367,6.6818932825213535,5.012225087939503,4.568875010587793,4.170692889313628,3.420955444840981,3.034358094095873,2.118284653467506,1.9116798310135326,1.6903583221000134,1.6381177127348927,1.3357511603391667,1.0007083016128193,-1.9319011497297425e-15,498908,6.609171335944364,6.5,0.08740959706477724,-0.0006738847207870974
"(8, 14, 1)","[(0, 2), (0, 3), (0, 4), (0, 6), (0, 12), (1, 2), (1, 6), (1, 7), (1, 13), (2, 3), (2, 5), (2, 8), (2, 9), (2, 13), (3, 4), (3, 10), (3, 11), (4, 5), (4, 7), (4, 9), (4, 11), (4, 12), (4, 14), (5, 8), (6, 10), (8, 14), (12, 14)]",9.3915536285718,8.051436730874055,6.614028919288485,4.96787418037894,4.668688147023076,4.23864902693136,3.332557541880188,2.996439006663649,2.163752714814441,1.9252057520750174,1.7616290575395757,1.6226751995246327,1.2021480680162313,1.0633620264185373,1.99519512145137e-15,498232,6.609171335944364,6.5,0.08740959706477724,-0.0008985264166766503
"(8, 11, 1)","[(0, 2), (0, 3), (0, 4), (0, 6), (0, 12), (1, 2), (1, 6), (1, 7), (1, 13), (2, 3), (2, 5), (2, 8), (2, 9), (2, 13), (3, 4), (3, 10), (3, 11), (4, 5), (4, 7), (4, 9), (4, 11), (4, 12), (4, 14), (5, 8), (6, 10), (8, 11), (12, 14)]",9.388326574571307,8.072508935136359,6.647747811756285,4.965093486477013,4.642122627241613,4.010539156286315,3.315372271671309,2.9176646733644893,2.7190816387889045,1.8893661027404571,1.848695500428661,1.3451101130451344,1.2079942221306779,1.0303768863614609,9.888760637479434e-16,477548,6.609171335944364,6.5,0.08740959706477724,-0.0006738847207870974
"(9, 10, 1)","[(0, 2), (0, 3), (0, 4), (0, 6), (0, 12), (1, 2), (1, 6), (1, 7), (1, 13), (2, 3), (2, 5), (2, 8), (2, 9), (2, 13), (3, 4), (3, 10), (3, 11), (4, 5), (4, 7), (4, 9), (4, 11), (4, 12), (4, 14), (5, 8), (6, 10), (9, 10), (12, 14)]",9.430377168100183,8.008662078248117,6.676900576470713,4.991055214406787,4.471779927152386,3.915606070981796,3.5379137083421033,3.157085346368701,2.5657830259172894,1.904840871459433,1.718419095466696,1.4117348228701805,1.2179588514691198,0.9918832427465061,1.6197043104554213e-15,470037,6.609171335944364,6.5,0.08740959706477724,-0.0006738847207870974
"(10, 13, 1)","[(0, 2), (0, 3), (0, 4), (0, 6), (0, 12), (1, 2), (1, 6), (1, 7), (1, 13), (2, 3), (2, 5), (2, 8), (2, 9), (2, 13), (3, 4), (3, 10), (3, 11), (4, 5), (4, 7), (4, 9), (4, 11), (4, 12), (4, 14), (5, 8), (6, 10), (10, 13), (12, 14)]",9.389986285259056,8.018707299375246,6.700891868670888,5.2507673420699055,4.4769770875599395,3.539048873726631,3.3959814156312813,3.2567405723499414,2.6784526780313533,1.8772270327873344,1.680392958543304,1.5812211394988858,1.13869986199564,1.0149055845006334,-2.0578298027302466e-15,477851,6.609171335944364,6.5,0.08740959706477724,-0.0006738847207870974
"(10, 14, 1)","[(0, 2), (0, 3), (0, 4), (0, 6), (0, 12), (1, 2), (1, 6), (1, 7), (1, 13), (2, 3), (2, 5), (2, 8), (2, 9), (2, 13), (3, 4), (3, 10), (3, 11), (4, 5), (4, 7), (4, 9), (4, 11), (4, 12), (4, 14), (5, 8), (6, 10), (10, 14), (12, 14)]",9.404806401926423,8.005947212892616,6.648620964362728,5.0095337571988106,4.780201836933988,3.948282614722894,3.5112002809125005,2.912406272093697,2.2045140515844386,1.8598760901338183,1.8388917116153651,1.6308873807486028,1.2341339906038211,1.0106974342702835,8.63372251457483e-16,494906,6.609171335944364,6.5,0.08740959706477724,-0.0006738847207870974
"(11, 13, 1)","[(0, 2), (0, 3), (0, 4), (0, 6), (0, 12), (1, 2), (1, 6), (1, 7), (1, 13), (2, 3), (2, 5), (2, 8), (2, 9), (2, 13), (3, 4), (3, 10), (3, 11), (4, 5), (4, 7), (4, 9), (4, 11), (4, 12), (4, 14), (5, 8), (6, 10), (11, 13), (12, 14)]",9.385826543737462,8.056018483362717,6.661809637562882,5.159820271609184,4.5254223065039065,3.6955570487068634,3.5363345567827467,2.991983217566644,2.6501740480619826,1.928005912710076,1.7967251626231984,1.4495304958561799,1.0943234231002674,1.0684688918159275,-1.035972067188746e-15,477067,6.609171335944364,6.5,0.08740959706477724,-0.0008985264166766503
"(13, 14, 1)","[(0, 2), (0, 3), (0, 4), (0, 6), (0, 12), (1, 2), (1, 6), (1, 7), (1, 13), (2, 3), (2, 5), (2, 8), (2, 9), (2, 13), (3, 4), (3, 10), (3, 11), (4, 5), (4, 7), (4, 9), (4, 11), (4, 12), (4, 14), (5, 8), (6, 10), (12, 14), (13, 14)]",9.388176873416006,8.037587210219202,6.619774627090987,5.210507244922244,4.563254927003441,3.923795897240889,3.5087025944875223,2.9403407072248613,2.3728536016635196,1.8909027845123034,1.7098006609336067,1.4628902689900998,1.3106966322913456,1.060715970003995,-1.1701306885905913e-15,500107,6.609171335944364,6.5,0.08740959706477724,-0.0008985264166766503
