eigenvalue_1,eigenvalue_2,span_trees
(13.47983698809777+0j),(11.729887862080528+0j),32768
(13.479836988097773+0j),(11.72988786208053+0j),32768
(13.609975417311464+0j),(11.713796513372568+0j),40960
(13.557379735852068+0j),(11.714078842935175+0j),32768
(13.475500868846442+0j),(11.742367076918839+0j),32768
(13.479836988097784+0j),(11.729887862080538+0j),32768
(13.45706474323376+0j),(11.76430118892827+0j),32768
(13.479836988097784+0j),(11.729887862080519+0j),32768
(13.475500868846463+0j),(11.742367076918852+0j),32768
(13.475500868846453+0j),(11.742367076918821+0j),32768
(13.74464863304706+0j),(12.09900106507028+0j),40960
(13.879820146572001+0j),(11.921588857878394+0j),40960
(13.832896274442719+0j),(11.956122625370048+0j),40960
(13.582684304211663+0j),(12.168377996261789+0j),32768
(13.599474175940504+0j),(12.142773112864665+0j),32768
(13.694978194032476+0j),(12.15249728119028+0j),49152
(13.449534013803145+0j),(13.25559152474553+0j),32768
(13.832896274442723+0j),(11.95612262537005+0j),40960
(13.83289627444269+0j),(11.956122625370016+0j),40960
(13.860210574092894+0j),(11.921204227932536+0j),40960
(13.777462419078338+0j),(12.056523008778619+0j),40960
(13.860210574092902+0j),(11.921204227932536+0j),40960
(13.615659578882267+0j),(12.134177358243214+0j),32768
(13.708315679299671+0j),(12.039429909796423+0j),32768
(13.631922867030188+0j),(12.10752804731488+0j),32768
(13.860210574092905+0j),(11.921204227932535+0j),40960
(13.860210574092916+0j),(11.921204227932526+0j),40960
(13.26297213766368+0j),(11.71359303336113+0j),32768
(13.26297213766368+0j),(11.713593033361136+0j),32768
(13.305824904690219+0j),(11.737730500614049+0j),40960
(13.280784959472836+0j),(11.726322164948822+0j),57344
(13.318847934822712+0j),(11.739063295688892+0j),40960
(13.264362322415515+0j),(11.835917768733582+0j),49152
(13.263006939388283+0j),(11.801790257238904+0j),49152
(13.270360424497452+0j),(11.736720747671209+0j),49152
(13.263006939388287+0j),(11.801790257238883+0j),49152
(13.262972137663684+0j),(11.713593033361132+0j),32768
(13.26300693938828+0j),(11.801790257238926+0j),49152
(13.32147737755556+0j),(11.732940564672147+0j),40960
(13.321477377555553+0j),(11.732940564672129+0j),40960
(13.318847934822703+0j),(11.739063295688902+0j),40960
(13.318847934822696+0j),(11.739063295688892+0j),40960
(13.318847934822703+0j),(11.739063295688902+0j),40960
(13.273337348698245+0j),(11.715925845051025+0j),49152
(13.26367758786481+0j),(11.71359599145501+0j),32768
(13.321477377555553+0j),(11.732940564672152+0j),40960
(13.339252831563764+0j),(11.749232876279015+0j),40960
(13.263006939388276+0j),(11.801790257238885+0j),49152
(13.263006939388276+0j),(11.801790257238878+0j),49152
(13.26436232241551+0j),(11.835917768733605+0j),49152
(13.263006939388283+0j),(11.80179025723889+0j),49152
(13.305824904690226+0j),(11.737730500614054+0j),40960
(13.270360424497456+0j),(11.73672074767118+0j),49152
(13.280784959472829+0j),(11.726322164948815+0j),57344
(13.26297213766367+0j),(11.713593033361128+0j),32768
(13.26297213766368+0j),(11.713593033361132+0j),32768
(13.277785643044274+0j),(11.713635461396853+0j),40960
(13.270360424497452+0j),(11.73672074767122+0j),49152
(13.270360424497452+0j),(11.736720747671237+0j),49152
(13.271387039696485+0j),(11.735433946539134+0j),49152
(13.271387039696464+0j),(11.735433946539118+0j),49152
(13.271387039696464+0j),(11.735433946539105+0j),49152
(13.27835186948255+0j),(11.753270952774205+0j),49152
(13.265262367047907+0j),(11.715107724074372+0j),57344
(13.280784959472825+0j),(11.726322164948803+0j),57344
(13.264362322415517+0j),(11.835917768733594+0j),49152
(13.26300693938828+0j),(11.801790257238883+0j),49152
(13.263006939388273+0j),(11.801790257238927+0j),49152
(13.263006939388276+0j),(11.801790257238933+0j),49152
(13.262972137663652+0j),(11.713593033361148+0j),32768
(13.305824904690226+0j),(11.737730500614068+0j),40960
(13.262972137663665+0j),(11.713593033361137+0j),32768
(13.263006939388276+0j),(11.80179025723893+0j),49152
(13.282520727903766+0j),(11.747741678605301+0j),40960
(13.308138158736448+0j),(11.732767072204435+0j),40960
(13.262972137663644+0j),(11.713593033361153+0j),32768
(13.263895473551885+0j),(11.716029708414798+0j),32768
(13.323526346703362+0j),(11.74878686539421+0j),40960
(13.308138158736462+0j),(11.732767072204444+0j),40960
(13.26844030819132+0j),(11.715662196910467+0j),49152
(13.305824904690226+0j),(11.737730500614052+0j),40960
(13.308138158736455+0j),(11.73276707220444+0j),40960
(13.263006939388273+0j),(11.801790257238919+0j),49152
(13.263006939388298+0j),(11.801790257238876+0j),49152
(13.264362322415495+0j),(11.835917768733621+0j),49152
(13.280784959472832+0j),(11.726322164948813+0j),57344
(13.263895473551885+0j),(11.71602970841481+0j),32768
(13.263895473551893+0j),(11.716029708414794+0j),32768
(13.282520727903751+0j),(11.747741678605294+0j),40960
(13.282520727903757+0j),(11.7477416786053+0j),40960
(13.262972137663668+0j),(11.713593033361155+0j),32768
