added,edges,eigenvalues,span_trees
"(3, 7, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (3, 7), (4, 6), (11, 12)]","[1.32629721e+01 1.17135930e+01 8.11836407e+00 4.94881194e+00
 4.56203487e+00 4.00000000e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 1.48359970e+00 1.01390684e+00
 5.95744622e-01 3.00972793e-01 4.82688337e-16]",32768
"(3, 10, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (3, 10), (4, 6), (11, 12)]","[ 1.32629721e+01  1.17135930e+01  8.11836407e+00  4.94881194e+00
  4.56203487e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  1.48359970e+00  1.01390684e+00
  5.95744622e-01  3.00972793e-01 -2.48362995e-16]",32768
"(3, 9, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (3, 9), (4, 6), (11, 12)]","[1.33058249e+01 1.17377305e+01 8.14118326e+00 4.95142428e+00
 4.67730943e+00 3.45495558e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 1.73169960e+00 1.01866484e+00
 6.54084360e-01 3.27123244e-01 1.40606961e-15]",40960
"(3, 12, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (3, 12), (4, 6), (11, 12)]","[1.32807850e+01 1.17263222e+01 8.15410806e+00 5.41494899e+00
 4.57487763e+00 2.99010866e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 1.49539110e+00 1.25740933e+00
 5.96432053e-01 5.09617070e-01 5.27692055e-17]",57344
"(3, 14, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (3, 14), (4, 6), (11, 12)]","[ 1.32630069e+01  1.18017903e+01  8.11850972e+00  4.97859751e+00
  4.56643769e+00  3.64907673e+00  2.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  1.48430782e+00  1.08265377e+00
  6.08960999e-01  4.46658571e-01 -1.13582389e-16]",49152
"(3, 6, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (3, 6), (4, 6), (11, 12)]","[1.32703604e+01 1.17367207e+01 8.19773234e+00 5.11731111e+00
 4.83979503e+00 2.97691999e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 1.52123134e+00 1.07725671e+00
 9.47378660e-01 3.15293651e-01 1.65042431e-15]",49152
"(3, 13, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (3, 13), (4, 6), (11, 12)]","[1.32630069e+01 1.18017903e+01 8.11850972e+00 4.97859751e+00
 4.56643769e+00 3.64907673e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 1.48430782e+00 1.08265377e+00
 6.08960999e-01 4.46658571e-01 1.12358171e-16]",49152
"(3, 5, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (3, 5), (4, 6), (11, 12)]","[ 1.32629721e+01  1.17135930e+01  8.11836407e+00  4.94881194e+00
  4.56203487e+00  4.00000000e+00  2.00000000e+00  2.00000000e+00
  2.00000000e+00  2.00000000e+00  1.48359970e+00  1.01390684e+00
  5.95744622e-01  3.00972793e-01 -1.40371932e-15]",32768
"(3, 8, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (3, 8), (4, 6), (11, 12)]","[1.32630069e+01 1.18017903e+01 8.11850972e+00 4.97859751e+00
 4.56643769e+00 3.64907673e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 1.48430782e+00 1.08265377e+00
 6.08960999e-01 4.46658571e-01 4.16993137e-16]",49152
"(5, 13, 1)","[(0, 1), (0, 2), (0, 4), (0, 9), (1, 3), (1, 5), (1, 7), (1, 10), (2, 8), (2, 11), (2, 13), (2, 14), (4, 6), (5, 13), (11, 12)]","[1.32630069e+01 1.18017903e+01 8.11850972e+00 4.97859751e+00
 4.56643769e+00 3.64907673e+00 2.00000000e+00 2.00000000e+00
 2.00000000e+00 2.00000000e+00 1.48430782e+00 1.08265377e+00
 6.08960999e-01 4.46658571e-01 8.11840137e-16]",49152
