added,edges,eigenv_1,eigenv_2,eigenv_3,eigenv_4,eigenv_5,eigenv_6,eigenv_7,eigenv_8,eigenv_9,eigenv_10,eigenv_11,eigenv_12,eigenv_13,eigenv_14,eigenv_15,span_trees
base,"[(0, 2), (0, 3), (1, 2), (1, 3), (1, 4), (1, 7), (1, 10), (1, 11), (2, 7), (3, 4), (3, 5), (3, 6), (3, 8), (3, 9), (3, 13), (3, 14), (4, 5), (4, 6), (4, 9), (4, 10), (7, 8), (8, 11), (8, 13), (9, 12), (10, 12), (10, 14)]",10.236409915045181,7.528477801026704,6.480598288306892,5.141976642990817,4.13874556599761,3.7667044415047317,3.2651327914463235,2.3359796050064596,2.0,1.802484821379317,1.7257058835979662,1.4012530378558115,1.31796057408259,0.8585706317596509,8.607827251979845e-16,200804
"(0, 12, 1)","[(0, 2), (0, 3), (0, 12), (1, 2), (1, 3), (1, 4), (1, 7), (1, 10), (1, 11), (2, 7), (3, 4), (3, 5), (3, 6), (3, 8), (3, 9), (3, 13), (3, 14), (4, 5), (4, 6), (4, 9), (4, 10), (7, 8), (8, 11), (8, 13), (9, 12), (10, 12), (10, 14)]",10.255682921747706,7.53053893894076,6.540522866027231,5.156551737670887,4.664362220533462,3.7672232224907556,3.510398192451174,2.7883332049576857,2.000000000000001,1.976271056317356,1.7982957736265963,1.6442497194096637,1.3446830756286272,1.0228870701980866,1.82997081093693e-15,480108
"(0, 11, 1)","[(0, 2), (0, 3), (0, 11), (1, 2), (1, 3), (1, 4), (1, 7), (1, 10), (1, 11), (2, 7), (3, 4), (3, 5), (3, 6), (3, 8), (3, 9), (3, 13), (3, 14), (4, 5), (4, 6), (4, 9), (4, 10), (7, 8), (8, 11), (8, 13), (9, 12), (10, 12), (10, 14)]",10.271358641898662,7.54668394941419,6.507189634240423,5.164831429812107,4.550680066956367,3.872755674685048,3.2661937975577753,2.9196056737192344,2.3304923471691072,1.9999999999999987,1.7275963092493944,1.6027366451402132,1.3803581265698885,0.8595177035875742,-2.1215502310503035e-15,446924
"(5, 11, 1)","[(0, 2), (0, 3), (1, 2), (1, 3), (1, 4), (1, 7), (1, 10), (1, 11), (2, 7), (3, 4), (3, 5), (3, 6), (3, 8), (3, 9), (3, 13), (3, 14), (4, 5), (4, 6), (4, 9), (4, 10), (5, 11), (7, 8), (8, 11), (8, 13), (9, 12), (10, 12), (10, 14)]",10.264390799218667,7.603883651959901,6.480629256460363,5.208420020378494,4.1402914022430926,3.9434251150291324,3.501393242308947,3.1867744887936547,2.2264852732433904,1.8432128136239643,1.7260656641132874,1.628096580681909,1.3236122070301082,0.9233194849150772,2.0684484472821314e-15,450965
"(5, 12, 1)","[(0, 2), (0, 3), (1, 2), (1, 3), (1, 4), (1, 7), (1, 10), (1, 11), (2, 7), (3, 4), (3, 5), (3, 6), (3, 8), (3, 9), (3, 13), (3, 14), (4, 5), (4, 6), (4, 9), (4, 10), (5, 12), (7, 8), (8, 11), (8, 13), (9, 12), (10, 12), (10, 14)]",10.250560078709295,7.5671223754854795,6.622045206628388,5.142770385785432,4.189917982582186,3.8697798725745374,3.54831656986331,3.0000000000000004,2.3338892076928635,1.8582997670316228,1.7454362796717662,1.6615530114112884,1.321477344600333,0.888831917963525,-1.2855185664878675e-15,449061
"(6, 11, 1)","[(0, 2), (0, 3), (1, 2), (1, 3), (1, 4), (1, 7), (1, 10), (1, 11), (2, 7), (3, 4), (3, 5), (3, 6), (3, 8), (3, 9), (3, 13), (3, 14), (4, 5), (4, 6), (4, 9), (4, 10), (6, 11), (7, 8), (8, 11), (8, 13), (9, 12), (10, 12), (10, 14)]",10.264390799218667,7.603883651959897,6.480629256460372,5.2084200203785045,4.140291402243095,3.943425115029137,3.5013932423089456,3.1867744887936578,2.2264852732433917,1.8432128136239625,1.7260656641132874,1.6280965806819083,1.3236122070301106,0.9233194849150755,2.3428998590959184e-16,450965
"(6, 12, 1)","[(0, 2), (0, 3), (1, 2), (1, 3), (1, 4), (1, 7), (1, 10), (1, 11), (2, 7), (3, 4), (3, 5), (3, 6), (3, 8), (3, 9), (3, 13), (3, 14), (4, 5), (4, 6), (4, 9), (4, 10), (6, 12), (7, 8), (8, 11), (8, 13), (9, 12), (10, 12), (10, 14)]",10.250560078709295,7.567122375485479,6.6220452066283935,5.142770385785431,4.189917982582193,3.869779872574541,3.548316569863313,3.000000000000001,2.333889207692864,1.858299767031624,1.7454362796717646,1.6615530114112878,1.321477344600335,0.8888319179635263,8.412715879574215e-16,449061
"(11, 14, 1)","[(0, 2), (0, 3), (1, 2), (1, 3), (1, 4), (1, 7), (1, 10), (1, 11), (2, 7), (3, 4), (3, 5), (3, 6), (3, 8), (3, 9), (3, 13), (3, 14), (4, 5), (4, 6), (4, 9), (4, 10), (7, 8), (8, 11), (8, 13), (9, 12), (10, 12), (10, 14), (11, 14)]",10.272969752204835,7.538015479171038,6.553015183201456,5.18254056147041,4.228911624190538,3.96947430799675,3.4119917616849857,3.1173673985012718,2.2131062924842615,2.0000000000000004,1.7877026473416904,1.421667257882719,1.3469177644745094,0.9563199693955865,-1.4577486294879963e-15,453600
"(11, 12, 1)","[(0, 2), (0, 3), (1, 2), (1, 3), (1, 4), (1, 7), (1, 10), (1, 11), (2, 7), (3, 4), (3, 5), (3, 6), (3, 8), (3, 9), (3, 13), (3, 14), (4, 5), (4, 6), (4, 9), (4, 10), (7, 8), (8, 11), (8, 13), (9, 12), (10, 12), (10, 14), (11, 12)]",10.23880388105998,7.537735009169378,6.638469068181585,5.192440459170756,4.231422085502826,4.059448336844225,3.512528351293674,2.792902653261903,2.1387540851340687,1.9999999999999984,1.7332407244232377,1.463103432125778,1.3868189423799915,1.0743329714526344,-3.7531876137075126e-16,483004
"(12, 13, 1)","[(0, 2), (0, 3), (1, 2), (1, 3), (1, 4), (1, 7), (1, 10), (1, 11), (2, 7), (3, 4), (3, 5), (3, 6), (3, 8), (3, 9), (3, 13), (3, 14), (4, 5), (4, 6), (4, 9), (4, 10), (7, 8), (8, 11), (8, 13), (9, 12), (10, 12), (10, 14), (12, 13)]",10.249088297079858,7.528653761586812,6.5697198887206305,5.243859779775024,4.401843829601734,4.072155430250538,3.3611907117028847,2.550242906768587,2.333467724217124,1.9999999999999991,1.7542749861818732,1.5762309051735461,1.3614573696976202,0.9978144092437873,4.0589548997847553e-17,477360
