added,edges,eigenv_1,eigenv_2,eigenv_3,eigenv_4,eigenv_5,eigenv_6,eigenv_7,eigenv_8,eigenv_9,eigenv_10,eigenv_11,eigenv_12,eigenv_13,eigenv_14,eigenv_15,span_trees
base,"[(0, 2), (0, 4), (1, 2), (1, 3), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",10.323576586316483,8.85168813896313,5.956918554925534,4.295566271751934,4.233543313848921,4.019166407261096,2.936048500581567,2.4927305755919753,1.8903467894845747,1.8728895985987528,1.7410662750583132,1.567549248691921,0.9156192334209804,0.9032905055048522,-4.2204595432821036e-16,155138
"(0, 7, 1)","[(0, 2), (0, 4), (0, 7), (1, 2), (1, 3), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",10.365078317988,8.861077360872546,5.969124029710335,4.717222332905683,4.244909568088997,4.01924930767294,3.999999999999993,2.4929463879839124,2.0000000000000018,1.8883809165291068,1.87279182983122,1.7408738285970748,0.917989918153975,0.9103562016661941,-1.0831555513533327e-15,301840
"(0, 10, 1)","[(0, 2), (0, 4), (0, 10), (1, 2), (1, 3), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",10.324372085918174,8.851984950600505,5.958730842706703,4.909165311848858,4.247968216879734,4.020658769362359,3.0,2.8783549403831503,2.4923819683277983,1.8816920268101611,1.8722216579510857,1.74070649729165,0.9160070437928574,0.9057556881270165,2.6992219933852815e-15,333330
"(0, 12, 1)","[(0, 2), (0, 4), (0, 12), (1, 2), (1, 3), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",10.35578552986566,8.859165560553611,6.021546891735819,4.617208105260274,4.257240851034072,4.0217350287262805,3.432490670316685,2.635163576877249,2.492730080987362,1.8747427907000351,1.7944371834441883,1.6590623221074534,1.0676277680310082,0.9110636403602895,-3.4317510135448683e-16,356375
"(0, 1, 1)","[(0, 2), (0, 4), (0, 1), (1, 2), (1, 3), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",10.325579604294916,8.916272380627895,6.218462785143817,5.0979019522610045,4.254579228263997,4.190610195612256,3.084569033964444,2.495820199025334,1.9999999999999998,1.8834818132271738,1.8035787024584389,1.7380473053170589,1.0816430777358639,0.9094537220678205,2.0921566584246683e-15,310224
"(0, 6, 1)","[(0, 2), (0, 4), (0, 6), (1, 2), (1, 3), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",10.353361825757368,8.854323365292045,5.960367918880031,5.271221588929798,4.2479115572825235,4.060201507957298,3.140892888825536,2.5691608654998137,2.000000000000001,1.8740853652327778,1.809234751061952,1.740964142275807,1.2028103117386972,0.9154639112663601,-1.0334683833745059e-16,347408
"(0, 9, 1)","[(0, 2), (0, 4), (0, 9), (1, 2), (1, 3), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",10.340846902138738,8.861545327830962,5.996047835902305,4.77452943441477,4.283473079323923,4.094307565679993,3.2919949318220953,2.4927848918756377,2.3841610448452357,1.8872376438225453,1.8363238526190881,1.6770444734220247,1.172967959538455,0.9067350567642596,6.983386174029107e-16,370948
"(0, 14, 1)","[(0, 2), (0, 4), (0, 14), (1, 2), (1, 3), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",10.32360140175312,8.85173626435673,6.06066300171484,4.532395801881911,4.256577061925168,4.02931498648966,3.6611466906895105,2.575297200541626,2.484684264235414,1.87825579578932,1.7868168885115796,1.6187253866740423,1.0335680606386501,0.9072171947984152,-4.2743006399394743e-17,342517
"(0, 3, 1)","[(0, 2), (0, 4), (0, 3), (1, 2), (1, 3), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",10.559769114710964,9.62307997578346,5.976403470908522,4.355610841404592,4.2388565745463405,4.058530156609543,3.2559091934442654,2.4965387755705635,2.000000000000002,1.888603131269212,1.856987760326521,1.7218253484723052,1.0526680412869371,0.9152176156668239,1.3377011425756981e-15,286932
"(0, 11, 1)","[(0, 2), (0, 4), (0, 11), (1, 2), (1, 3), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 8), (2, 10), (2, 11), (2, 14), (3, 5), (3, 6), (3, 7), (3, 11), (3, 12), (3, 13), (4, 7), (5, 6), (6, 13), (7, 10), (8, 9), (8, 12), (8, 14)]",10.325155694666513,8.873682830736158,5.958291448001298,4.646298209800246,4.250558720517055,4.022481740805594,3.5887398137747843,2.679828297536279,2.458952591617417,1.8893090860488138,1.7942682578681828,1.6192960100828135,0.9782521170960292,0.9148851814488406,5.155521746302298e-16,335901
