added,edges,eigenv_1,eigenv_2,eigenv_3,eigenv_4,eigenv_5,eigenv_6,eigenv_7,eigenv_8,eigenv_9,eigenv_10,eigenv_11,eigenv_12,eigenv_13,eigenv_14,eigenv_15,span_trees,lower_bound_largest_laplacian_eigenv,lower_bound_second_largest_laplacian_eigenv,lower_bound_second_smallest_laplacian_eigenv,lower_bound_for_second_smallest_laplacian_eigenvalue_diam
base,"[(0, 2), (0, 5), (0, 7), (0, 9), (0, 11), (1, 2), (1, 3), (1, 4), (1, 6), (2, 3), (2, 4), (2, 7), (2, 8), (3, 10), (3, 12), (3, 13), (4, 5), (4, 6), (4, 9), (4, 10), (5, 14), (6, 11), (7, 8), (7, 12), (9, 13), (10, 14)]",8.145636782468754,6.531038065704123,6.446696896776486,5.889025067843049,4.43787557397807,4.017790036326557,3.5692904236715974,3.186770316954509,2.598158497489354,2.1274710388727387,1.7532567520246245,1.2372483332763289,1.12575704164496,0.933985172968856,-2.161525752686614e-16,344277,5.182244166420668,6.23606797749979,0.08740959706477724,-0.0007003128063868528
"(0, 10, 1)","[(0, 2), (0, 5), (0, 7), (0, 9), (0, 11), (0, 10), (1, 2), (1, 3), (1, 4), (1, 6), (2, 3), (2, 4), (2, 7), (2, 8), (3, 10), (3, 12), (3, 13), (4, 5), (4, 6), (4, 9), (4, 10), (5, 14), (6, 11), (7, 8), (7, 12), (9, 13), (10, 14)]",8.530266551890989,6.800346051173951,6.526446399432778,6.114760299244896,4.448043114522185,4.345146590980381,3.569858154059106,3.364503364445868,2.8139621880480976,2.2953632672809077,1.7810049840373459,1.2375631158303688,1.1979157306995676,0.9748201883535673,-1.168218735048896e-15,595603,5.19011116771055,6.23606797749979,0.08740959706477724,-0.0006738847207870974
"(0, 4, 1)","[(0, 2), (0, 5), (0, 7), (0, 9), (0, 11), (0, 4), (1, 2), (1, 3), (1, 4), (1, 6), (2, 3), (2, 4), (2, 7), (2, 8), (3, 10), (3, 12), (3, 13), (4, 5), (4, 6), (4, 9), (4, 10), (5, 14), (6, 11), (7, 8), (7, 12), (9, 13), (10, 14)]",8.490196650470173,7.624846207729108,6.494477383528036,6.082588827898366,4.460026337890886,4.101021477029002,3.5897871802649535,3.1905508086675685,2.5998848696388324,2.2964580677978144,1.7586048222739636,1.239491111762392,1.1279021814149104,0.9441640736340003,-1.1997521146491999e-15,494991,5.8960087790951405,6.645751311064591,0.08740959706477724,-0.0006738847207870974
"(0, 12, 1)","[(0, 2), (0, 5), (0, 7), (0, 9), (0, 11), (0, 12), (1, 2), (1, 3), (1, 4), (1, 6), (2, 3), (2, 4), (2, 7), (2, 8), (3, 10), (3, 12), (3, 13), (4, 5), (4, 6), (4, 9), (4, 10), (5, 14), (6, 11), (7, 8), (7, 12), (9, 13), (10, 14)]",8.363061428421608,6.83528263446403,6.5226897362786085,6.107507381926334,4.628191320518065,4.1901345755952,3.6768595334861836,3.2393339894596433,2.6269312201210737,2.268827175707531,2.1268177197585842,1.2374384552487456,1.207984091528105,0.9689407374863216,1.0868862797922662e-15,643807,5.182244166420668,6.23606797749979,0.08740959706477724,-0.0006738847207870974
"(0, 1, 1)","[(0, 2), (0, 5), (0, 7), (0, 9), (0, 11), (0, 1), (1, 2), (1, 3), (1, 4), (1, 6), (2, 3), (2, 4), (2, 7), (2, 8), (3, 10), (3, 12), (3, 13), (4, 5), (4, 6), (4, 9), (4, 10), (5, 14), (6, 11), (7, 8), (7, 12), (9, 13), (10, 14)]",8.399004242540672,7.129259295463284,6.489860904568175,6.270920525454063,4.624675548851449,4.038013334923619,3.5738567674526456,3.291291526737634,2.5987174888069786,2.5151930854194675,1.771011697458563,1.23842712305497,1.12576705681866,0.9340014024497947,-1.2627107794740538e-15,537921,5.182244166420668,6.449489742783178,0.08740959706477724,-0.0006738847207870974
"(0, 6, 1)","[(0, 2), (0, 5), (0, 7), (0, 9), (0, 11), (0, 6), (1, 2), (1, 3), (1, 4), (1, 6), (2, 3), (2, 4), (2, 7), (2, 8), (3, 10), (3, 12), (3, 13), (4, 5), (4, 6), (4, 9), (4, 10), (5, 14), (6, 11), (7, 8), (7, 12), (9, 13), (10, 14)]",8.43200867045579,6.962458898497315,6.530874580314872,5.9062253789925965,4.66310525931369,4.30595910606814,3.785348513306675,3.293345375445489,2.617226763082449,2.3659946433084458,1.7829616403200477,1.2381721697912937,1.1796524497919763,0.9366665513112141,1.9034925734928954e-16,570807,5.182244166420668,6.23606797749979,0.08740959706477724,-0.0006738847207870974
"(0, 14, 1)","[(0, 2), (0, 5), (0, 7), (0, 9), (0, 11), (0, 14), (1, 2), (1, 3), (1, 4), (1, 6), (2, 3), (2, 4), (2, 7), (2, 8), (3, 10), (3, 12), (3, 13), (4, 5), (4, 6), (4, 9), (4, 10), (5, 14), (6, 11), (7, 8), (7, 12), (9, 13), (10, 14)]",8.256304079805576,7.078221820896913,6.528398634327032,6.0042336332916575,4.525615930536837,4.089811814777018,3.902913995776549,3.2916709525375305,2.7362839068493656,2.1431480259924087,1.7650906374612347,1.428840549993103,1.2203911408682404,1.029074876886545,-2.4351590385417982e-15,674496,5.182244166420668,6.23606797749979,0.08740959706477724,-0.0008985264166766503
"(0, 3, 1)","[(0, 2), (0, 5), (0, 7), (0, 9), (0, 11), (0, 3), (1, 2), (1, 3), (1, 4), (1, 6), (2, 3), (2, 4), (2, 7), (2, 8), (3, 10), (3, 12), (3, 13), (4, 5), (4, 6), (4, 9), (4, 10), (5, 14), (6, 11), (7, 8), (7, 12), (9, 13), (10, 14)]",8.14575123386369,7.919604613564445,6.529733498320501,5.891264309829672,4.540531928320989,4.024247896916229,3.5808906757916548,3.212644221147939,2.7003572192317367,2.294701315854382,1.806829816576571,1.2657829715076694,1.1527707348023037,0.9348895642722325,2.265674577662693e-15,531153,5.182244166420668,6.449489742783178,0.08740959706477724,-0.0006738847207870974
"(0, 8, 1)","[(0, 2), (0, 5), (0, 7), (0, 9), (0, 11), (0, 8), (1, 2), (1, 3), (1, 4), (1, 6), (2, 3), (2, 4), (2, 7), (2, 8), (3, 10), (3, 12), (3, 13), (4, 5), (4, 6), (4, 9), (4, 10), (5, 14), (6, 11), (7, 8), (7, 12), (9, 13), (10, 14)]",8.229029500420301,6.96988124736158,6.530297787736368,6.0362367680894,4.759627489463213,4.212365181632169,3.637166621260307,3.2584463306140194,2.80016241114959,2.250111088339395,1.8455988526099534,1.3155110808078017,1.162670974040272,0.9928946664756148,8.870476222966569e-16,632461,5.182244166420668,6.449489742783178,0.08740959706477724,-0.0008985264166766503
"(0, 13, 1)","[(0, 2), (0, 5), (0, 7), (0, 9), (0, 11), (0, 13), (1, 2), (1, 3), (1, 4), (1, 6), (2, 3), (2, 4), (2, 7), (2, 8), (3, 10), (3, 12), (3, 13), (4, 5), (4, 6), (4, 9), (4, 10), (5, 14), (6, 11), (7, 8), (7, 12), (9, 13), (10, 14)]",8.326590101931878,6.9107321918444935,6.525271413163766,6.141097953565634,4.438857686062175,4.142377303823308,3.587422916372978,3.558978161767874,2.7811771059137826,2.1628367021495887,1.7548355279443244,1.6043798311731212,1.1312914743138889,0.9341516299732016,1.215162450611404e-15,645894,5.182244166420668,6.23606797749979,0.08740959706477724,-0.0006738847207870974
