added,edges,eigenv_1,eigenv_2,eigenv_3,eigenv_4,eigenv_5,eigenv_6,eigenv_7,eigenv_8,eigenv_9,eigenv_10,eigenv_11,eigenv_12,eigenv_13,eigenv_14,eigenv_15,span_trees,lower_bound_largest_laplacian_eigenv,lower_bound_second_largest_laplacian_eigenv,lower_bound_second_smallest_laplacian_eigenv,lower_bound_for_second_smallest_laplacian_eigenvalue_diam
base,"[(0, 2), (0, 3), (0, 10), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 10), (1, 11), (2, 7), (2, 14), (3, 4), (3, 8), (3, 13), (3, 14), (4, 5), (5, 6), (5, 8), (5, 9), (5, 12), (5, 13), (6, 9), (8, 12), (9, 11)]",9.595830067507906,7.77579848899139,6.814285246629352,4.929944209090828,4.0962468623237,3.5092510109243182,3.2118566610347377,2.6333984510189503,2.390307652056332,1.9071956608748273,1.6692177536289856,1.5153728767756471,1.1096124323363594,0.8416826268067081,6.44649311488817e-16,218813,6.599805945957956,7.372281323269014,0.08740959706477724,-0.0007003128063868528
"(0, 7, 1)","[(0, 2), (0, 3), (0, 10), (0, 7), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 10), (1, 11), (2, 7), (2, 14), (3, 4), (3, 8), (3, 13), (3, 14), (4, 5), (5, 6), (5, 8), (5, 9), (5, 12), (5, 13), (6, 9), (8, 12), (9, 11)]",9.637719912628928,7.784247162868198,6.864496086490625,4.935479606183868,4.540126388559453,4.074264344767066,3.469547874457795,2.6334015428892914,2.397978210665815,2.3396019602826335,1.768763330139229,1.595412124591167,1.1172784517167644,0.8416830037591555,2.2014199935488215e-16,426368,6.599805945957956,7.372281323269014,0.08740959706477724,-0.0006738847207870974
"(0, 4, 1)","[(0, 2), (0, 3), (0, 10), (0, 4), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 10), (1, 11), (2, 7), (2, 14), (3, 4), (3, 8), (3, 13), (3, 14), (4, 5), (5, 6), (5, 8), (5, 9), (5, 12), (5, 13), (6, 9), (8, 12), (9, 11)]",9.611200555165308,7.907237757366599,6.8171065734575835,5.317573447368709,4.2806583853766735,4.052890556918859,3.5090443717418296,2.9070529181235925,2.4115709029780388,1.922438664915941,1.6758405478116505,1.567344378211239,1.109622432395931,0.9104185081680591,2.2022958164360746e-15,399860,6.599805945957956,7.372281323269014,0.08740959706477724,-0.0006738847207870974
"(0, 12, 1)","[(0, 2), (0, 3), (0, 10), (0, 12), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 10), (1, 11), (2, 7), (2, 14), (3, 4), (3, 8), (3, 13), (3, 14), (4, 5), (5, 6), (5, 8), (5, 9), (5, 12), (5, 13), (6, 9), (8, 12), (9, 11)]",9.599412449110075,7.805982482106742,6.996943119950088,5.122998434467573,4.226374363566723,4.093410824343895,3.4641851357079054,2.6382582084350914,2.400850998567861,1.9534818455451612,1.894300743370424,1.5434241812852902,1.2546710335899076,1.0057061799532638,-3.170301112333736e-15,489886,6.599805945957956,7.372281323269014,0.08740959706477724,-0.0006738847207870974
"(0, 1, 1)","[(0, 2), (0, 3), (0, 10), (0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 10), (1, 11), (2, 7), (2, 14), (3, 4), (3, 8), (3, 13), (3, 14), (4, 5), (5, 6), (5, 8), (5, 9), (5, 12), (5, 13), (6, 9), (8, 12), (9, 11)]",10.297996381380951,7.949893365203638,7.017874579558149,5.148952389417026,4.139451818865586,3.738356070692595,3.474953346469217,2.6479105767447564,2.3951788392937905,1.9247673894568504,1.6739323800448676,1.5802010302104508,1.1262572876425014,0.8842745450196131,-2.6373297168186654e-15,341047,7.313147066884712,7.372281323269014,0.08740959706477724,-0.0006738847207870974
"(0, 6, 1)","[(0, 2), (0, 3), (0, 10), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 10), (1, 11), (2, 7), (2, 14), (3, 4), (3, 8), (3, 13), (3, 14), (4, 5), (5, 6), (5, 8), (5, 9), (5, 12), (5, 13), (6, 9), (8, 12), (9, 11)]",9.635127161459538,7.878417414181201,6.900155771984648,5.184044349448461,4.6841191489484535,3.6649104131018815,3.464228392213108,2.7144194814937204,2.56416262132505,1.9158812471686508,1.669261214835728,1.592007230008099,1.1785350467896767,0.9547305070418329,-2.218307379280789e-16,429254,6.599805945957956,7.372281323269014,0.08740959706477724,-0.0006738847207870974
"(0, 9, 1)","[(0, 2), (0, 3), (0, 10), (0, 9), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 10), (1, 11), (2, 7), (2, 14), (3, 4), (3, 8), (3, 13), (3, 14), (4, 5), (5, 6), (5, 8), (5, 9), (5, 12), (5, 13), (6, 9), (8, 12), (9, 11)]",9.595830619498159,7.807857209450641,7.025788963337979,5.406140481327785,4.6209940830433744,3.563903748507481,3.401565826629676,2.655497515786828,2.4276256755607575,1.90760304892958,1.6770877586041244,1.6677280100850587,1.281872019152309,0.9605050400862344,-7.213846307673151e-16,450077,6.599805945957956,7.372281323269014,0.08740959706477724,-0.0008985264166766503
"(0, 14, 1)","[(0, 2), (0, 3), (0, 10), (0, 14), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 10), (1, 11), (2, 7), (2, 14), (3, 4), (3, 8), (3, 13), (3, 14), (4, 5), (5, 6), (5, 8), (5, 9), (5, 12), (5, 13), (6, 9), (8, 12), (9, 11)]",9.596856549092912,7.776226388882102,6.819022228223869,5.058796574993499,4.609607658512742,4.095069062359094,3.4934263567815838,2.6358724184779625,2.4021782349920198,2.17142063514767,1.7344841532688555,1.6512333960900836,1.1141235838326908,0.8416827593448629,-1.887480555368633e-15,417914,6.599805945957956,7.372281323269014,0.08740959706477724,-0.0006738847207870974
"(0, 11, 1)","[(0, 2), (0, 3), (0, 10), (0, 11), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 10), (1, 11), (2, 7), (2, 14), (3, 4), (3, 8), (3, 13), (3, 14), (4, 5), (5, 6), (5, 8), (5, 9), (5, 12), (5, 13), (6, 9), (8, 12), (9, 11)]",9.654638676460255,7.784007449456717,6.864978509959135,5.1870801829573665,4.405659121111277,3.858579247768005,3.481866204007405,2.720119209128456,2.54979904282327,1.92568805529843,1.6767084476555683,1.6544709830870914,1.322425279867981,0.9139795904190237,9.395316386685543e-16,472895,6.609171335944364,7.372281323269014,0.08740959706477724,-0.0006738847207870974
"(0, 5, 1)","[(0, 2), (0, 3), (0, 10), (0, 5), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 10), (1, 11), (2, 7), (2, 14), (3, 4), (3, 8), (3, 13), (3, 14), (4, 5), (5, 6), (5, 8), (5, 9), (5, 12), (5, 13), (6, 9), (8, 12), (9, 11)]",10.012360502065295,8.375167760148983,6.816398590217814,5.12882367771358,4.096950888177005,3.73305302755259,3.4694955100123996,2.6361989868486218,2.4098656178721107,1.9273827200238536,1.6692245029839303,1.6020935008457022,1.1096686261310784,1.0133160894070612,-2.1960571527403247e-15,381841,6.599805945957956,8.3166247903554,0.08740959706477724,-0.0006738847207870974
"(0, 8, 1)","[(0, 2), (0, 3), (0, 10), (0, 8), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 10), (1, 11), (2, 7), (2, 14), (3, 4), (3, 8), (3, 13), (3, 14), (4, 5), (5, 6), (5, 8), (5, 9), (5, 12), (5, 13), (6, 9), (8, 12), (9, 11)]",9.596098790124108,7.831355577016281,6.826628440082697,5.5557942688221695,4.417647598258642,4.095159219007903,3.2659653668496165,2.641704430475548,2.390489679974184,1.907229612309428,1.7230996787586743,1.573387887025058,1.1904926792279296,0.9849467720677578,6.621163629118463e-16,429859,6.599805945957956,7.372281323269014,0.08740959706477724,-0.0006738847207870974
