added,edges,eigenv_1,eigenv_2,eigenv_3,eigenv_4,eigenv_5,eigenv_6,eigenv_7,eigenv_8,eigenv_9,eigenv_10,eigenv_11,eigenv_12,eigenv_13,eigenv_14,eigenv_15,span_trees
base,"[(0, 2), (0, 4), (0, 5), (0, 11), (1, 2), (1, 3), (1, 4), (2, 3), (2, 5), (2, 6), (2, 9), (2, 11), (2, 13), (2, 14), (3, 7), (3, 8), (4, 6), (4, 12), (5, 7), (6, 8), (6, 9), (6, 10), (7, 10), (10, 14), (11, 12), (11, 13)]",10.198084729572408,6.455637589131339,5.644835694058414,5.290321952407042,4.540864064176387,4.093523204059257,3.274926242722529,2.696965839645386,2.3220243058900545,1.868542880620665,1.6964658674324673,1.6121416415144871,1.3511952574532287,0.9544707313163668,1.113371957574415e-15,329315
"(8, 13, 1)","[(0, 2), (0, 4), (0, 5), (0, 11), (1, 2), (1, 3), (1, 4), (2, 3), (2, 5), (2, 6), (2, 9), (2, 11), (2, 13), (2, 14), (3, 7), (3, 8), (4, 6), (4, 12), (5, 7), (6, 8), (6, 9), (6, 10), (7, 10), (8, 13), (10, 14), (11, 12), (11, 13)]",10.223583505223107,6.488083629584943,5.663841704997666,5.471076247118582,4.597872616497479,4.22161251734359,3.440998979201484,3.234164034111244,2.4393369212057716,2.129771707238857,1.86145387732076,1.6465726329758463,1.5292294302861866,1.0524021968944712,1.6091164947408377e-15,758554
"(8, 12, 1)","[(0, 2), (0, 4), (0, 5), (0, 11), (1, 2), (1, 3), (1, 4), (2, 3), (2, 5), (2, 6), (2, 9), (2, 11), (2, 13), (2, 14), (3, 7), (3, 8), (4, 6), (4, 12), (5, 7), (6, 8), (6, 9), (6, 10), (7, 10), (8, 12), (10, 14), (11, 12), (11, 13)]",10.199693903663121,6.593529480267667,5.659303469179258,5.471447674166838,4.550641401654119,4.12427209567711,3.6255279150625634,3.0762350328646617,2.3326805434962505,2.3089973230086027,1.8242720980903595,1.6216659644474412,1.4795249762675897,1.1322081221544138,3.00153265707803e-16,775654
"(8, 9, 1)","[(0, 2), (0, 4), (0, 5), (0, 11), (1, 2), (1, 3), (1, 4), (2, 3), (2, 5), (2, 6), (2, 9), (2, 11), (2, 13), (2, 14), (3, 7), (3, 8), (4, 6), (4, 12), (5, 7), (6, 8), (6, 9), (6, 10), (7, 10), (8, 9), (10, 14), (11, 12), (11, 13)]",10.220233602897713,6.462622289858759,5.645975362796469,5.366394391582282,4.55716017136347,4.152772911317356,3.8043061977274344,3.187160984538626,2.568539683386151,2.294319264040593,1.7186599316307158,1.6738904187814283,1.384543308745853,0.963421481333151,1.107342017505355e-15,692296
"(8, 14, 1)","[(0, 2), (0, 4), (0, 5), (0, 11), (1, 2), (1, 3), (1, 4), (2, 3), (2, 5), (2, 6), (2, 9), (2, 11), (2, 13), (2, 14), (3, 7), (3, 8), (4, 6), (4, 12), (5, 7), (6, 8), (6, 9), (6, 10), (7, 10), (8, 14), (10, 14), (11, 12), (11, 13)]",10.230764705254447,6.482023529409372,5.760709808446521,5.321970673890174,4.659976317645231,4.09390456583732,3.6643351799831416,2.9375091211910638,2.692491246676491,2.0881883148872107,1.8585578345994944,1.6506762425817934,1.6042192207894541,0.9546732388082827,-2.60953949860069e-16,735279
"(9, 14, 1)","[(0, 2), (0, 4), (0, 5), (0, 11), (1, 2), (1, 3), (1, 4), (2, 3), (2, 5), (2, 6), (2, 9), (2, 11), (2, 13), (2, 14), (3, 7), (3, 8), (4, 6), (4, 12), (5, 7), (6, 8), (6, 9), (6, 10), (7, 10), (9, 14), (10, 14), (11, 12), (11, 13)]",10.19910238804769,6.515874709594599,5.733263953750736,5.293666814922668,4.616840047586193,4.1380299060832755,3.6525160155833665,3.240428068003957,2.5337251660530016,2.263658553732286,1.7142334203558949,1.6803507728655473,1.4525808746816808,0.965729308739181,1.1816869060536563e-15,704646
"(9, 12, 1)","[(0, 2), (0, 4), (0, 5), (0, 11), (1, 2), (1, 3), (1, 4), (2, 3), (2, 5), (2, 6), (2, 9), (2, 11), (2, 13), (2, 14), (3, 7), (3, 8), (4, 6), (4, 12), (5, 7), (6, 8), (6, 9), (6, 10), (7, 10), (9, 12), (10, 14), (11, 12), (11, 13)]",10.210163389851601,6.640945561272525,5.648700829871901,5.330045677018787,4.589009074198718,4.189757995395267,3.3365410166143765,3.18029685845313,2.686648329521807,2.2831171519116866,1.7983085044788354,1.6817061876796628,1.3552882970325242,1.0694711266992003,-1.3103120069880823e-15,746581
"(9, 13, 1)","[(0, 2), (0, 4), (0, 5), (0, 11), (1, 2), (1, 3), (1, 4), (2, 3), (2, 5), (2, 6), (2, 9), (2, 11), (2, 13), (2, 14), (3, 7), (3, 8), (4, 6), (4, 12), (5, 7), (6, 8), (6, 9), (6, 10), (7, 10), (9, 13), (10, 14), (11, 12), (11, 13)]",10.198194576084498,6.522237252178027,5.650575170911631,5.325676265076608,4.590024215993613,4.405185091360377,3.563155893982506,2.962621353414181,2.6687052577332224,2.318423701097067,1.7701186341259796,1.6238422294337638,1.3850118354064682,1.0162285232020611,-4.477088156635169e-15,712969
"(12, 14, 1)","[(0, 2), (0, 4), (0, 5), (0, 11), (1, 2), (1, 3), (1, 4), (2, 3), (2, 5), (2, 6), (2, 9), (2, 11), (2, 13), (2, 14), (3, 7), (3, 8), (4, 6), (4, 12), (5, 7), (6, 8), (6, 9), (6, 10), (7, 10), (10, 14), (11, 12), (11, 13), (12, 14)]",10.218071509373686,6.503042849627831,5.713308378504173,5.3638940916068,4.729433997457175,4.110639711797808,3.4855862183469575,3.266519979472708,2.506194059111238,1.9714207621681599,1.7970142961555513,1.6701450669296607,1.5157808571474558,1.1489482223007614,-2.1957661674619516e-16,776030
"(12, 13, 1)","[(0, 2), (0, 4), (0, 5), (0, 11), (1, 2), (1, 3), (1, 4), (2, 3), (2, 5), (2, 6), (2, 9), (2, 11), (2, 13), (2, 14), (3, 7), (3, 8), (4, 6), (4, 12), (5, 7), (6, 8), (6, 9), (6, 10), (7, 10), (10, 14), (11, 12), (11, 13), (12, 13)]",10.212422655041014,6.492403372274968,5.644855146652855,5.292533276285371,4.709057096286373,4.1619533812801714,3.774654826818099,2.9459897634505627,2.6941443535480043,2.2595596829822773,1.8601256450147658,1.6286790973525664,1.3612835836296218,0.9623381193833989,4.483816542227136e-15,695341
"(13, 14, 1)","[(0, 2), (0, 4), (0, 5), (0, 11), (1, 2), (1, 3), (1, 4), (2, 3), (2, 5), (2, 6), (2, 9), (2, 11), (2, 13), (2, 14), (3, 7), (3, 8), (4, 6), (4, 12), (5, 7), (6, 8), (6, 9), (6, 10), (7, 10), (10, 14), (11, 12), (11, 13), (13, 14)]",10.198542816507452,6.4559858304049795,5.7144823987199285,5.347526849663772,4.573967510445705,4.32510637979994,3.8054469553575703,3.046422888822113,2.383212249390632,2.181831869717167,1.8684893287568378,1.6171340427727838,1.3867305183016025,1.0951203613395217,-1.1329197199873618e-15,734006
