basic_graph_collector,basic_span_collector,correct_span_collector,correct_edge_collector,algorithm_span_collector,algorithm_edge_collector,algorithm_time,improved_algorithm_span_collector,improved_algorithm_edge_collector,improved_algorithm_time,algorithm_1_span_collector,algorithm_1_edge_collector,algorithm_1_time
"[(0, 2), (0, 3), (0, 6), (1, 2), (1, 5), (2, 3), (2, 4), (2, 7), (2, 9), (2, 8), (3, 4), (3, 5), (3, 8), (4, 5), (4, 6), (4, 8), (6, 7), (6, 8), (8, 9)]",1344,17056,"[((1, 5, 1), (1, 7, 1), (5, 9, 1))]",9393,"[(1, 5, 1), (2, 8, 1), (4, 8, 1)]",0.0031630992889404297,17056,"[(1, 5, 1), (1, 7, 1), (5, 9, 1)]",0.0058135986328125,15247,"{(0, 1), (1, 5), (5, 7)}",0.11143374443054199
"[(0, 2), (0, 4), (0, 6), (0, 8), (0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 9), (2, 3), (2, 5), (2, 9), (2, 8), (3, 7), (4, 8), (5, 8)]",1312,14611,"[((5, 8, 1), (6, 9, 1), (7, 8, 1))]",7818,"[(5, 8, 1), (0, 1, 1), (2, 8, 1)]",0.014855146408081055,14611,"[(7, 8, 1), (6, 9, 1), (5, 8, 1)]",0.010781526565551758,13875,"{(6, 9), (5, 7), (7, 8)}",0.10923457145690918
"[(0, 2), (0, 3), (0, 5), (0, 6), (0, 7), (0, 9), (1, 2), (1, 4), (1, 5), (1, 9), (2, 3), (2, 8), (3, 4), (4, 7), (4, 6), (5, 6), (6, 8), (7, 8), (8, 9)]",2140,19182,"[((4, 6, 1), (6, 8, 1), (8, 9, 1))]",19182,"[(8, 9, 1), (4, 6, 1), (6, 8, 1)]",0.013620615005493164,19074,"[(8, 9, 1), (4, 6, 1), (5, 8, 1)]",0.010761499404907227,18087,"{(6, 9), (5, 7), (6, 8)}",0.10952591896057129
"[(0, 2), (0, 3), (0, 9), (1, 2), (1, 3), (1, 4), (1, 6), (2, 4), (2, 8), (3, 5), (3, 7), (3, 8), (4, 5), (4, 6), (4, 9), (5, 9), (5, 8), (6, 7), (7, 9)]",1908,19129,"[((0, 9, 1), (6, 8, 1), (7, 9, 1))]",18532,"[(0, 9, 1), (5, 8, 1), (7, 9, 1)]",0.004832744598388672,8920,"[(7, 9, 1), (0, 8, 1), (0, 8, 1)]",0.008558511734008789,15844,"{(0, 9), (5, 7), (2, 7)}",0.10814714431762695
"[(0, 2), (0, 3), (0, 6), (1, 2), (1, 4), (1, 9), (1, 5), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 9), (3, 8), (4, 5), (4, 7), (4, 8), (4, 9), (7, 8)]",992,10512,"[((1, 9, 1), (3, 8, 1), (5, 6, 1))]",9045,"[(3, 8, 1), (1, 9, 1), (1, 5, 1)]",0.011525154113769531,10512,"[(6, 8, 1), (1, 5, 1), (3, 9, 1)]",0.01128697395324707,9177,"{(0, 1), (5, 7), (6, 8)}",0.1064753532409668
"[(0, 2), (0, 9), (1, 2), (1, 3), (1, 4), (1, 7), (2, 3), (2, 5), (2, 6), (3, 4), (3, 8), (3, 9), (4, 5), (4, 6), (5, 7), (5, 8), (6, 8), (7, 9)]",1440,19448,"[((0, 8, 1), (0, 9, 1), (6, 9, 1))]",9209,"[(0, 9, 1), (6, 8, 1), (0, 9, 1)]",0.0066986083984375,9209,"[(0, 9, 1), (6, 8, 1), (0, 9, 1)]",0.006907224655151367,17448,"{(0, 9), (6, 9), (6, 8)}",0.11750149726867676
"[(0, 2), (0, 7), (0, 8), (0, 5), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 8), (2, 3), (2, 4), (2, 6), (2, 7), (3, 5), (4, 8), (4, 9), (6, 9), (7, 9)]",1296,14964,"[((0, 8, 1), (5, 7, 1), (6, 9, 1))]",14781,"[(6, 9, 1), (0, 8, 1), (0, 5, 1)]",0.021091699600219727,14781,"[(6, 9, 1), (0, 8, 1), (0, 5, 1)]",0.012388229370117188,10772,"{(0, 1), (5, 9), (5, 7)}",0.10255742073059082
"[(0, 2), (0, 8), (0, 7), (1, 2), (1, 3), (1, 4), (1, 5), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 7), (4, 9), (5, 9), (6, 7), (8, 9)]",1396,15324,"[((0, 7, 1), (5, 9, 1), (6, 9, 1))]",14976,"[(5, 9, 1), (6, 7, 1), (0, 7, 1)]",0.006439685821533203,14976,"[(5, 9, 1), (6, 7, 1), (0, 7, 1)]",0.007217884063720703,10614,"{(0, 1), (6, 9), (2, 7)}",0.1087961196899414
"[(0, 2), (0, 5), (1, 2), (1, 3), (1, 9), (1, 4), (2, 3), (2, 4), (2, 5), (2, 6), (2, 9), (3, 4), (3, 7), (3, 9), (5, 6), (5, 7), (5, 8), (6, 8), (8, 9)]",1302,14044,"[((0, 4, 1), (1, 8, 1), (7, 9, 1))]",10211,"[(8, 9, 1), (1, 4, 1), (3, 9, 1)]",0.004488468170166016,13094,"[(8, 9, 1), (4, 7, 1), (0, 9, 1)]",0.008832693099975586,10913,"{(8, 9), (0, 1), (2, 7)}",0.10200142860412598
"[(0, 2), (0, 4), (0, 9), (1, 2), (1, 3), (1, 7), (2, 3), (2, 5), (3, 4), (3, 6), (3, 9), (3, 7), (3, 8), (4, 5), (4, 6), (4, 7), (4, 8), (5, 9), (7, 8)]",1829,16953,"[((0, 9, 1), (6, 7, 1), (8, 9, 1))]",11973,"[(0, 9, 1), (3, 7, 1), (3, 8, 1)]",0.011464118957519531,8745,"[(0, 9, 1), (6, 8, 1), (6, 8, 1)]",0.014754533767700195,14198,"{(8, 9), (0, 1), (2, 7)}",0.10552549362182617
