basic_graph_collector,basic_span_collector,correct_span_collector,correct_edge_collector,algorithm_span_collector,algorithm_edge_collector,algorithm_time,improved_algorithm_span_collector,improved_algorithm_edge_collector,improved_algorithm_time,algorithm_1_span_collector,algorithm_1_edge_collector,algorithm_1_time
"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (1, 2), (1, 3), (1, 5), (1, 6), (1, 8), (2, 7), (2, 8), (3, 4), (4, 5), (6, 9), (7, 9)]",1412,12924,"[((4, 6, 1), (5, 7, 1), (8, 9, 1))]",12381,"[(6, 9), (4, 5), (2, 8)]",0.012349605560302734,12924,"[(8, 9), (4, 6), (5, 7)]",0.40363574028015137,10416,"{(4, 7), (5, 7), (4, 9)}",0.1301591396331787
"[(0, 2), (0, 3), (0, 8), (1, 2), (1, 4), (1, 5), (1, 6), (2, 3), (3, 4), (3, 5), (3, 7), (3, 9), (4, 7), (4, 8), (4, 9), (5, 6), (6, 9), (6, 8), (7, 8)]",1455,16620,"[((0, 8, 1), (6, 9, 1), (6, 8, 1))]",16620,"[(0, 8), (6, 9), (6, 8)]",0.010556459426879883,16017,"[(6, 8), (0, 9), (0, 6)]",0.2621021270751953,13319,"{(0, 1), (2, 7), (6, 8)}",0.1637248992919922
"[(0, 2), (0, 6), (0, 7), (1, 2), (1, 3), (1, 4), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (3, 5), (4, 7), (5, 8), (5, 9), (6, 8), (6, 9), (7, 8), (7, 9)]",1760,18282,"[((1, 8, 1), (3, 9, 1), (5, 8, 1))]",17890,"[(5, 8), (5, 9), (1, 8)]",0.007485866546630859,18282,"[(5, 8), (3, 9), (1, 8)]",0.2643294334411621,15165,"{(0, 1), (0, 9), (5, 8)}",0.1247398853302002
"[(0, 2), (0, 4), (0, 5), (0, 6), (0, 7), (1, 2), (1, 3), (1, 4), (1, 5), (1, 9), (2, 3), (2, 5), (3, 6), (3, 8), (4, 8), (5, 8), (6, 7), (7, 9), (8, 9)]",2145,19365,"[((5, 7, 1), (6, 9, 1), (7, 8, 1))]",18403,"[(7, 9), (5, 8), (2, 5)]",0.013028144836425781,19239,"[(7, 9), (5, 8), (2, 7)]",0.12519311904907227,17731,"{(2, 7), (5, 7), (7, 9)}",0.13186955451965332
"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 7), (1, 2), (1, 5), (1, 6), (1, 8), (2, 3), (2, 4), (2, 6), (2, 7), (2, 8), (2, 9), (3, 8), (4, 6), (5, 9), (7, 9)]",1264,12464,"[((3, 8, 1), (4, 6, 1), (7, 9, 1))]",12464,"[(3, 8), (7, 9), (4, 6)]",0.029639720916748047,12464,"[(7, 8), (4, 6), (3, 9)]",0.2891223430633545,9319,"{(4, 7), (5, 7), (4, 6)}",0.13291287422180176
"[(0, 2), (0, 3), (0, 8), (1, 2), (1, 3), (1, 4), (1, 5), (1, 9), (2, 7), (3, 4), (3, 6), (3, 7), (3, 9), (4, 5), (4, 6), (4, 7), (5, 8), (6, 8), (8, 9)]",1398,16116,"[((0, 8, 1), (2, 7, 1), (8, 9, 1))]",16116,"[(0, 8), (2, 7), (8, 9)]",0.014583587646484375,15591,"[(2, 8), (0, 7), (8, 9)]",0.2598860263824463,12959,"{(0, 1), (2, 8), (2, 7)}",0.12476563453674316
"[(0, 2), (0, 5), (0, 8), (1, 2), (1, 3), (1, 4), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 7), (2, 8), (2, 9), (3, 6), (4, 7), (5, 6), (6, 9), (8, 9)]",1092,11901,"[((4, 5, 1), (6, 8, 1), (7, 9, 1))]",11528,"[(5, 6), (4, 7), (6, 9)]",0.017760515213012695,11852,"[(6, 9), (5, 7), (0, 4)]",0.3935098648071289,10199,"{(0, 1), (6, 9), (5, 7)}",0.13596248626708984
"[(0, 2), (0, 4), (0, 5), (0, 6), (0, 9), (1, 2), (1, 3), (1, 7), (1, 9), (2, 3), (2, 4), (2, 5), (2, 7), (2, 8), (3, 8), (4, 6), (5, 7), (6, 7), (8, 9)]",1302,14044,"[((3, 6, 1), (5, 7, 1), (8, 9, 1))]",13711,"[(6, 7), (8, 9), (5, 7)]",0.007634878158569336,13916,"[(6, 8), (5, 7), (8, 9)]",0.26821041107177734,12590,"{(4, 7), (5, 7), (6, 8)}",0.13119935989379883
"[(0, 2), (0, 3), (0, 4), (0, 6), (0, 7), (0, 8), (1, 2), (1, 5), (1, 7), (1, 9), (2, 3), (3, 4), (3, 8), (3, 9), (4, 5), (5, 6), (5, 8), (6, 9), (7, 9)]",2056,17595,"[((1, 8, 1), (5, 9, 1), (6, 8, 1))]",17388,"[(6, 9), (5, 8), (1, 9)]",0.025203466415405273,17472,"[(6, 9), (5, 8), (7, 8)]",0.261690616607666,13948,"{(2, 7), (6, 9), (5, 7)}",0.13747429847717285
"[(0, 2), (0, 9), (0, 5), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 7), (3, 9), (4, 6)]",720,8772,"[((0, 6, 1), (0, 9, 1), (7, 8, 1))]",8360,"[(0, 9), (4, 6), (0, 5)]",0.028536558151245117,8384,"[(0, 9), (0, 7), (6, 8)]",0.2472829818725586,7968,"{(0, 9), (4, 7), (5, 7)}",0.1275644302368164
