basic_graph_collector,basic_span_collector,correct_span_collector,correct_edge_collector,algorithm_span_collector,algorithm_edge_collector,algorithm_time,improved_algorithm_span_collector,improved_algorithm_edge_collector,improved_algorithm_time,algorithm_1_span_collector,algorithm_1_edge_collector,algorithm_1_time
"[(0, 2), (0, 3), (0, 5), (0, 6), (1, 2), (1, 4), (1, 7), (1, 6), (2, 3), (2, 5), (2, 8), (3, 4), (3, 9), (4, 7), (5, 6), (5, 8), (6, 9), (7, 9), (8, 9)]",2025,18949,"[((3, 9, 1), (4, 6, 1), (7, 8, 1))]",18103,"[(8, 9), (3, 9), (1, 6)]",0.007757663726806641,18283,"[(8, 9), (4, 6), (3, 9)]",0.11684131622314453,16269,"{(8, 9), (5, 7), (0, 1)}",0.13264894485473633
"[(0, 2), (0, 3), (0, 5), (0, 6), (0, 7), (1, 2), (1, 3), (1, 5), (1, 7), (1, 8), (1, 9), (2, 4), (2, 6), (3, 4), (4, 9), (4, 5), (5, 8), (6, 8), (7, 9)]",1670,17469,"[((4, 8, 1), (4, 9, 1), (6, 8, 1))]",17206,"[(4, 9), (6, 8), (4, 5)]",0.013717889785766602,17469,"[(4, 9), (6, 8), (4, 8)]",0.25540661811828613,12032,"{(4, 7), (5, 7), (4, 9)}",0.1313915252685547
"[(0, 2), (0, 3), (0, 5), (0, 8), (1, 2), (1, 4), (1, 9), (2, 3), (2, 4), (2, 6), (2, 7), (2, 9), (3, 6), (3, 8), (4, 5), (4, 9), (5, 7), (6, 7), (7, 8)]",1348,15261,"[((1, 8, 1), (5, 7, 1), (8, 9, 1))]",13136,"[(7, 8), (1, 9), (5, 7)]",0.016121387481689453,15261,"[(8, 9), (5, 7), (1, 8)]",0.11645054817199707,14224,"{(8, 9), (5, 7), (0, 1)}",0.12196493148803711
"[(0, 2), (0, 3), (0, 4), (0, 7), (0, 9), (1, 2), (1, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 8), (3, 6), (4, 5), (4, 8), (5, 9), (6, 9), (7, 8), (8, 9)]",1959,19277,"[((6, 9, 1), (6, 8, 1), (7, 8, 1))]",19112,"[(6, 9), (7, 8), (8, 9)]",0.00720977783203125,18660,"[(6, 8), (7, 9), (6, 9)]",0.2432239055633545,14545,"{(2, 7), (5, 7), (6, 8)}",0.13370323181152344
"[(0, 2), (0, 3), (0, 5), (0, 7), (1, 2), (1, 4), (1, 8), (1, 9), (2, 3), (2, 6), (3, 4), (3, 5), (4, 6), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (8, 9)]",2268,20937,"[((2, 6, 1), (5, 9, 1), (6, 8, 1))]",20834,"[(6, 9), (5, 8), (2, 6)]",0.0044362545013427734,20834,"[(6, 9), (5, 8), (2, 6)]",0.12307620048522949,19042,"{(2, 7), (6, 9), (0, 9)}",0.13405752182006836
"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 9), (1, 2), (1, 8), (1, 6), (2, 3), (2, 7), (2, 9), (3, 4), (3, 8), (4, 5), (5, 6), (7, 8), (8, 9)]",1028,14301,"[((1, 6, 1), (1, 8, 1), (8, 9, 1))]",14301,"[(1, 8), (1, 6), (8, 9)]",0.01663827896118164,14301,"[(1, 6), (1, 8), (8, 9)]",0.24182915687561035,12709,"{(8, 9), (6, 9), (1, 6)}",0.13711261749267578
"[(0, 2), (0, 4), (0, 7), (1, 2), (1, 3), (1, 4), (1, 5), (1, 8), (2, 3), (2, 5), (2, 6), (2, 7), (2, 8), (3, 9), (4, 6), (5, 9), (6, 7), (6, 9), (8, 9)]",1528,15120,"[((0, 9, 1), (5, 7, 1), (8, 9, 1))]",14715,"[(8, 9), (0, 7), (5, 9)]",0.01945209503173828,15120,"[(0, 9), (7, 8), (5, 9)]",0.2585408687591553,12157,"{(0, 9), (5, 7), (0, 1)}",0.12660694122314453
"[(0, 2), (0, 4), (0, 5), (1, 2), (1, 3), (1, 5), (1, 6), (1, 7), (1, 9), (2, 3), (2, 6), (2, 7), (2, 8), (3, 4), (3, 5), (4, 7), (4, 9), (6, 8), (8, 9)]",1349,15175,"[((0, 9, 1), (4, 7, 1), (5, 8, 1))]",15160,"[(0, 5), (4, 7), (4, 9)]",0.0084991455078125,15160,"[(4, 9), (0, 5), (4, 7)]",0.11334967613220215,12856,"{(0, 1), (5, 7), (4, 9)}",0.11793398857116699
"[(0, 2), (0, 4), (0, 5), (0, 6), (1, 2), (1, 3), (1, 5), (1, 9), (2, 3), (2, 4), (2, 6), (2, 7), (2, 8), (3, 7), (4, 8), (5, 9), (6, 8), (7, 9), (8, 9)]",1395,15286,"[((4, 9, 1), (5, 7, 1), (8, 9, 1))]",14649,"[(7, 9), (4, 8), (8, 9)]",0.026552677154541016,15012,"[(8, 9), (4, 7), (7, 9)]",0.2643749713897705,14739,"{(8, 9), (4, 7), (5, 7)}",0.12679171562194824
"[(0, 2), (0, 5), (0, 9), (1, 2), (1, 3), (1, 4), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 8), (4, 9), (5, 6), (6, 9), (7, 8)]",1080,10944,"[((0, 9, 1), (5, 8, 1), (6, 7, 1))]",10296,"[(7, 8), (0, 9), (6, 9)]",0.02028965950012207,10920,"[(6, 8), (0, 9), (5, 7)]",0.3891768455505371,9429,"{(0, 1), (6, 9), (5, 7)}",0.11847138404846191
"[(0, 2), (0, 3), (0, 9), (1, 2), (1, 3), (1, 5), (1, 9), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 4), (3, 6), (4, 9), (5, 6), (5, 7), (6, 8), (7, 8)]",1557,15888,"[((0, 9, 1), (3, 8, 1), (7, 9, 1))]",14688,"[(0, 9), (7, 8), (3, 6)]",0.018561363220214844,15570,"[(8, 9), (0, 7), (7, 9)]",0.24931955337524414,13930,"{(8, 9), (4, 7), (0, 1)}",0.1201784610748291
"[(0, 2), (0, 3), (0, 4), (0, 5), (1, 2), (1, 7), (1, 9), (2, 3), (2, 4), (2, 5), (2, 6), (2, 8), (3, 9), (4, 6), (5, 7), (5, 9), (6, 7), (6, 8), (8, 9)]",1218,15856,"[((1, 9, 1), (1, 7, 1), (3, 9, 1))]",15856,"[(1, 7), (3, 9), (1, 9)]",0.004433393478393555,15856,"[(1, 9), (1, 7), (3, 9)]",0.3446476459503174,12831,"{(0, 1), (4, 7), (1, 9)}",0.13784408569335938
"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 8), (0, 9), (1, 2), (1, 9), (1, 6), (2, 3), (2, 4), (2, 8), (3, 5), (3, 7), (4, 8), (5, 6), (5, 7), (7, 9)]",980,13515,"[((1, 6, 1), (1, 9, 1), (7, 8, 1))]",13192,"[(1, 9), (1, 6), (4, 8)]",0.0034193992614746094,13192,"[(1, 9), (1, 6), (4, 8)]",0.1115870475769043,11910,"{(4, 7), (6, 9), (1, 9)}",0.11851906776428223
"[(0, 2), (0, 3), (0, 9), (1, 2), (1, 3), (1, 4), (1, 5), (1, 7), (2, 3), (2, 4), (2, 6), (2, 8), (2, 9), (4, 5), (5, 6), (5, 9), (6, 7), (7, 8), (8, 9)]",1289,14875,"[((0, 7, 1), (0, 3, 1), (5, 9, 1))]",14517,"[(0, 3), (0, 9), (5, 9)]",0.007122039794921875,14517,"[(0, 9), (0, 3), (5, 9)]",0.24682879447937012,12157,"{(0, 9), (6, 9), (0, 1)}",0.12075924873352051
"[(0, 2), (0, 3), (0, 6), (1, 2), (1, 9), (1, 8), (2, 3), (2, 4), (2, 5), (2, 7), (2, 8), (3, 4), (3, 5), (4, 7), (4, 8), (4, 9), (5, 6), (6, 9), (6, 7)]",1188,14739,"[((1, 9, 1), (1, 7, 1), (6, 8, 1))]",14739,"[(1, 9), (1, 8), (6, 7)]",0.012465953826904297,14739,"[(1, 9), (1, 7), (6, 8)]",0.13049030303955078,13155,"{(0, 1), (5, 7), (1, 9)}",0.1314561367034912
"[(0, 2), (0, 3), (0, 4), (0, 7), (1, 2), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 7), (2, 8), (2, 9), (3, 6), (3, 8), (4, 5), (4, 6), (5, 9), (8, 9)]",983,12892,"[((1, 6, 1), (1, 7, 1), (8, 9, 1))]",12892,"[(1, 6), (8, 9), (1, 7)]",0.01727914810180664,12693,"[(1, 6), (1, 9), (7, 8)]",0.12055540084838867,10173,"{(0, 1), (5, 7), (1, 6)}",0.10779452323913574
"[(0, 2), (0, 5), (0, 8), (1, 2), (1, 3), (1, 5), (1, 7), (2, 3), (2, 4), (2, 9), (3, 4), (3, 6), (3, 8), (4, 6), (4, 9), (5, 9), (5, 6), (6, 7), (7, 8)]",1793,18692,"[((5, 6, 1), (7, 8, 1), (7, 9, 1))]",18484,"[(7, 8), (5, 9), (5, 6)]",0.0201413631439209,18484,"[(5, 9), (7, 8), (7, 9)]",0.25537657737731934,13344,"{(0, 1), (5, 9), (2, 7)}",0.12523508071899414
"[(0, 2), (0, 3), (0, 5), (0, 7), (0, 8), (1, 2), (1, 3), (1, 4), (1, 9), (2, 4), (2, 6), (2, 7), (2, 9), (3, 5), (4, 6), (4, 5), (5, 7), (6, 8), (8, 9)]",1635,16186,"[((4, 7, 1), (5, 6, 1), (8, 9, 1))]",16031,"[(8, 9), (5, 7), (4, 5)]",0.011729955673217773,15844,"[(5, 9), (7, 8), (5, 6)]",0.23102355003356934,13957,"{(5, 9), (4, 7), (5, 7)}",0.11041712760925293
"[(0, 2), (0, 6), (0, 9), (1, 2), (1, 3), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (3, 4), (3, 6), (3, 7), (3, 8), (4, 5), (5, 8), (5, 9), (6, 7), (7, 9)]",1747,17070,"[((0, 8, 1), (1, 9, 1), (7, 9, 1))]",16384,"[(7, 9), (1, 8), (1, 9)]",0.018566370010375977,16384,"[(7, 9), (1, 8), (1, 9)]",0.2419266700744629,14222,"{(0, 1), (5, 7), (7, 9)}",0.12576961517333984
"[(0, 2), (0, 3), (0, 4), (0, 6), (1, 2), (1, 4), (1, 5), (2, 3), (2, 5), (3, 7), (3, 6), (4, 6), (4, 7), (4, 8), (5, 9), (5, 6), (7, 8), (7, 9), (8, 9)]",1701,18699,"[((1, 9, 1), (5, 8, 1), (6, 9, 1))]",17473,"[(5, 9), (5, 6), (3, 6)]",0.019318819046020508,18480,"[(5, 9), (6, 9), (1, 8)]",0.33936190605163574,16757,"{(0, 1), (5, 9), (6, 9)}",0.1492137908935547
