basic_graph_collector,basic_span_collector,correct_span_collector,correct_edge_collector,algorithm_span_collector,algorithm_edge_collector,algorithm_time,improved_algorithm_span_collector,improved_algorithm_edge_collector,improved_algorithm_time,algorithm_1_span_collector,algorithm_1_edge_collector,algorithm_1_time
"[(0, 2), (0, 9), (0, 5), (1, 2), (1, 3), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 8), (4, 5), (4, 9), (6, 7), (7, 8), (7, 9), (8, 9)]",1179,16536,"[((0, 6, 1), (0, 9, 1), (5, 9, 1))]",16064,"[(0, 9), (0, 5), (4, 9)]",0.004143953323364258,16192,"[(0, 9), (0, 5), (5, 8)]",0.12529492378234863,14880,"{(0, 9), (5, 7), (0, 1)}",0.20163702964782715
"[(0, 2), (0, 3), (0, 5), (0, 6), (0, 9), (1, 2), (1, 3), (1, 5), (1, 8), (2, 4), (3, 4), (3, 7), (4, 5), (4, 6), (4, 7), (6, 8), (7, 8), (7, 9), (8, 9)]",2083,20283,"[((1, 9, 1), (1, 8, 1), (5, 8, 1))]",19572,"[(1, 5), (8, 9), (1, 8)]",0.017261505126953125,19628,"[(1, 8), (5, 9), (1, 5)]",0.25493383407592773,15136,"{(2, 7), (1, 8), (5, 7)}",0.12630176544189453
"[(0, 2), (0, 3), (0, 4), (0, 8), (1, 2), (1, 4), (1, 7), (2, 3), (2, 5), (2, 6), (2, 7), (2, 8), (3, 4), (3, 5), (3, 9), (5, 6), (5, 7), (6, 9), (8, 9)]",980,13868,"[((1, 4, 1), (1, 7, 1), (6, 9, 1))]",13868,"[(1, 4), (6, 9), (1, 7)]",0.014762163162231445,13868,"[(1, 4), (7, 9), (1, 6)]",0.26279568672180176,13158,"{(4, 7), (6, 9), (1, 4)}",0.13060522079467773
"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 9), (1, 2), (1, 9), (1, 6), (2, 3), (2, 8), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (4, 6), (5, 7), (5, 9), (7, 8)]",885,14071,"[((1, 6, 1), (1, 7, 1), (8, 9, 1))]",13771,"[(1, 9), (1, 6), (7, 8)]",0.00664067268371582,13771,"[(1, 9), (1, 6), (7, 8)]",0.22772574424743652,12391,"{(6, 9), (7, 8), (1, 9)}",0.1314527988433838
"[(0, 2), (0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (1, 8), (2, 5), (2, 6), (2, 7), (2, 9), (3, 4), (3, 6), (3, 9), (4, 5), (4, 7), (5, 8), (6, 9), (7, 8)]",1836,17739,"[((1, 7, 1), (6, 8, 1), (8, 9, 1))]",16776,"[(7, 8), (6, 9), (1, 8)]",0.015012264251708984,17739,"[(8, 9), (6, 7), (1, 8)]",0.26149797439575195,14338,"{(8, 9), (5, 7), (0, 1)}",0.12613916397094727
"[(0, 2), (0, 6), (0, 8), (1, 2), (1, 3), (1, 4), (2, 3), (2, 5), (2, 7), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (4, 8), (4, 9), (5, 6), (6, 9), (7, 9)]",1061,15039,"[((0, 8, 1), (0, 9, 1), (6, 9, 1))]",15024,"[(0, 6), (0, 8), (6, 9)]",0.00772857666015625,14851,"[(0, 9), (0, 6), (0, 8)]",0.2355196475982666,13141,"{(0, 9), (6, 9), (0, 1)}",0.12685179710388184
"[(0, 2), (0, 3), (0, 5), (0, 6), (1, 2), (1, 9), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 4), (3, 7), (4, 8), (5, 9), (6, 8)]",861,10792,"[((1, 9, 1), (1, 7, 1), (6, 8, 1))]",10792,"[(1, 9), (6, 8), (1, 7)]",0.019404888153076172,10640,"[(1, 8), (1, 9), (6, 7)]",0.26746678352355957,8573,"{(0, 1), (5, 7), (1, 9)}",0.1324305534362793
"[(0, 2), (0, 3), (0, 4), (1, 2), (1, 3), (1, 5), (1, 7), (1, 8), (1, 9), (2, 4), (2, 5), (2, 6), (2, 7), (3, 6), (4, 9), (4, 8), (5, 6), (5, 9), (7, 8)]",1308,14836,"[((0, 8, 1), (3, 6, 1), (4, 9, 1))]",14790,"[(3, 6), (4, 9), (4, 8)]",0.020530223846435547,14790,"[(4, 8), (3, 6), (4, 9)]",0.2541980743408203,11196,"{(6, 9), (5, 7), (4, 8)}",0.13207411766052246
"[(0, 2), (0, 4), (0, 9), (1, 2), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 8), (3, 7), (4, 7), (5, 9), (6, 9), (8, 9)]",1208,13419,"[((4, 7, 1), (5, 9, 1), (8, 9, 1))]",13419,"[(4, 7), (8, 9), (5, 9)]",0.014929771423339844,13173,"[(7, 9), (4, 5), (8, 9)]",0.2605597972869873,11694,"{(4, 7), (5, 7), (7, 9)}",0.13428354263305664
"[(0, 2), (0, 3), (0, 7), (1, 2), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 8), (2, 9), (3, 4), (3, 5), (3, 8), (4, 9), (5, 6), (5, 7), (6, 8), (7, 9)]",1301,14872,"[((1, 7, 1), (6, 8, 1), (7, 9, 1))]",14872,"[(6, 8), (7, 9), (1, 7)]",0.018106460571289062,14872,"[(6, 9), (1, 7), (6, 8)]",0.3849143981933594,11459,"{(0, 1), (6, 9), (2, 7)}",0.1118764877319336
