basic_graph_collector,basic_span_collector,correct_span_collector,correct_edge_collector,algorithm_span_collector,algorithm_edge_collector,algorithm_time,improved_algorithm_span_collector,improved_algorithm_edge_collector,improved_algorithm_time,algorithm_1_span_collector,algorithm_1_edge_collector,algorithm_1_time
"[(0, 2), (0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (1, 5), (1, 4), (2, 4), (2, 7), (2, 8), (2, 9), (3, 5), (4, 6), (5, 6), (5, 8), (5, 9), (6, 7)]",1936,8861,"[((6, 8, 1), (7, 9, 1))]",7952,"[(6, 7, 1), (1, 4, 1)]",0.010259151458740234,8736,"[(6, 7, 1), (8, 9, 1)]",0.004046440124511719,7332,"{(0, 1), (6, 7)}",0.11391973495483398
"[(0, 2), (0, 7), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 9), (2, 3), (2, 4), (4, 5), (4, 6), (4, 7), (4, 8), (5, 8), (8, 9)]",896,6100,"[((0, 6, 1), (0, 9, 1))]",5787,"[(0, 7, 1), (0, 6, 1)]",0.010764360427856445,5787,"[(0, 6, 1), (0, 7, 1)]",0.0064411163330078125,5760,"{(0, 9), (0, 3)}",0.11841177940368652
"[(0, 2), (0, 3), (0, 7), (0, 8), (0, 9), (1, 2), (1, 4), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 9), (4, 5), (4, 6), (5, 7), (6, 7), (6, 8)]",1616,7861,"[((5, 7, 1), (8, 9, 1))]",6508,"[(5, 7, 1), (1, 7, 1)]",0.014163970947265625,7861,"[(5, 8, 1), (7, 9, 1)]",0.010969877243041992,6256,"{(0, 1), (5, 7)}",0.10701394081115723
"[(0, 2), (0, 9), (0, 8), (1, 2), (1, 3), (1, 4), (1, 9), (2, 3), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (5, 9), (6, 7), (6, 8)]",964,6432,"[((0, 8, 1), (0, 9, 1))]",6432,"[(0, 9, 1), (0, 8, 1)]",0.018926143646240234,6152,"[(0, 9, 1), (0, 4, 1)]",0.010252714157104492,5524,"{(0, 9), (5, 7)}",0.10979485511779785
"[(0, 2), (0, 7), (0, 9), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 3), (2, 4), (2, 5), (3, 7), (3, 9), (4, 8), (5, 6), (5, 9), (6, 7), (6, 8)]",1343,9063,"[((0, 8, 1), (0, 9, 1))]",8698,"[(0, 7, 1), (0, 9, 1)]",0.013280391693115234,8698,"[(0, 9, 1), (0, 7, 1)]",0.008893966674804688,7974,"{(4, 7), (0, 8)}",0.11436152458190918
"[(0, 2), (0, 8), (1, 2), (1, 3), (1, 4), (1, 6), (1, 9), (2, 3), (2, 7), (3, 4), (3, 5), (3, 7), (3, 8), (4, 5), (4, 6), (4, 9), (5, 8), (6, 7)]",896,6541,"[((0, 8, 1), (0, 9, 1))]",6261,"[(0, 8, 1), (6, 7, 1)]",0.015194416046142578,6120,"[(0, 6, 1), (0, 9, 1)]",0.008575201034545898,6541,"{(0, 9), (0, 8)}",0.11459732055664062
"[(0, 2), (0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (1, 7), (1, 9), (1, 6), (2, 8), (3, 4), (3, 5), (3, 6), (4, 5), (5, 6), (5, 8), (5, 9), (6, 8)]",1728,9378,"[((2, 9, 1), (7, 8, 1))]",7738,"[(2, 8, 1), (1, 6, 1)]",0.010098457336425781,9378,"[(7, 8, 1), (2, 9, 1)]",0.007010698318481445,8308,"{(2, 7), (7, 8)}",0.10893726348876953
"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 8), (1, 2), (1, 6), (1, 5), (2, 3), (2, 4), (2, 7), (2, 8), (2, 9), (3, 5), (3, 7), (4, 6), (4, 9)]",864,5415,"[((1, 6, 1), (1, 5, 1))]",5415,"[(1, 6, 1), (1, 5, 1)]",0.00806570053100586,5385,"[(1, 6, 1), (5, 9, 1)]",0.009485483169555664,4974,"{(5, 7), (1, 6)}",0.1111447811126709
"[(0, 2), (0, 8), (0, 9), (1, 2), (1, 3), (1, 5), (2, 3), (2, 4), (2, 6), (2, 7), (3, 4), (4, 5), (4, 7), (4, 8), (4, 9), (5, 6), (7, 8), (7, 9)]",1100,7179,"[((0, 9, 1), (6, 8, 1))]",6900,"[(0, 8, 1), (0, 9, 1)]",0.010539531707763672,7179,"[(0, 8, 1), (6, 9, 1)]",0.0047702789306640625,6419,"{(0, 9), (0, 1)}",0.1090395450592041
"[(0, 2), (0, 4), (1, 2), (1, 3), (1, 6), (2, 3), (2, 4), (2, 5), (2, 8), (2, 9), (3, 5), (3, 6), (3, 7), (3, 8), (4, 7), (5, 7), (6, 9), (8, 9)]",1050,6206,"[((0, 6, 1), (4, 7, 1))]",6070,"[(4, 7, 1), (6, 9, 1)]",0.007512331008911133,6206,"[(4, 7, 1), (0, 6, 1)]",0.00652766227722168,5484,"{(0, 1), (4, 7)}",0.10829043388366699
