basic_graph_collector,basic_span_collector,algorithm_span_collector,algorithm_edge_collector,algorithm_time,improved_algorithm_span_collector,improved_algorithm_edge_collector,improved_algorithm_time,algorithm_1_span_collector,algorithm_1_edge_collector,algorithm_1_time,greedy_span_collector,greedy_edge_collector,greedy_time
"[(0, 2), (0, 3), (0, 4), (0, 7), (0, 8), (0, 9), (1, 2), (1, 6), (1, 7), (2, 3), (2, 4), (2, 6), (3, 5), (4, 5), (4, 7), (4, 8), (4, 9), (5, 6), (8, 9)]",1044,12608,"[(5, 6), (1, 7), (8, 9)]",0.010713577270507812,12608,"[(6, 8), (1, 5), (7, 9)]",0.24338841438293457,9128,"{(0, 1), (6, 9), (2, 7)}",0.13672089576721191,9128,"{(6, 9), (5, 7), (1, 8)}",0.05024313926696777
"[(0, 2), (0, 3), (0, 6), (1, 2), (1, 5), (1, 6), (2, 3), (2, 4), (2, 7), (2, 9), (3, 4), (3, 8), (4, 5), (4, 7), (4, 9), (5, 8), (6, 7), (6, 9), (8, 9)]",1728,17140,"[(8, 9), (6, 7), (6, 9)]",0.008502483367919922,16130,"[(6, 8), (7, 9), (6, 7)]",0.2532210350036621,13984,"{(0, 1), (5, 7), (6, 8)}",0.13548922538757324,13984,"{(8, 9), (6, 9), (7, 8)}",0.05150246620178223
"[(0, 2), (0, 3), (0, 7), (1, 2), (1, 4), (1, 5), (2, 3), (2, 5), (2, 6), (2, 7), (2, 8), (3, 4), (3, 9), (4, 5), (4, 6), (4, 9), (6, 7), (7, 8), (8, 9)]",1476,14112,"[(8, 9), (1, 5), (6, 7)]",0.007303476333618164,14112,"[(8, 9), (5, 6), (1, 7)]",0.24917364120483398,13734,"{(8, 9), (5, 7), (0, 1)}",0.13129425048828125,13734,"{(1, 5), (6, 8), (7, 9)}",0.05089402198791504
"[(0, 2), (0, 3), (0, 6), (0, 7), (0, 8), (0, 9), (1, 2), (1, 5), (1, 9), (2, 3), (2, 4), (2, 7), (3, 4), (3, 5), (3, 6), (3, 8), (3, 9), (4, 8), (5, 7)]",1064,11455,"[(5, 7), (1, 9), (4, 8)]",0.008658409118652344,11455,"[(1, 8), (5, 7), (4, 6)]",0.24753093719482422,10528,"{(1, 8), (5, 7), (4, 7)}",0.13135051727294922,10528,"{(4, 9), (1, 6), (5, 8)}",0.05346965789794922
"[(0, 2), (0, 8), (0, 9), (1, 2), (1, 3), (1, 4), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 9), (3, 5), (3, 6), (3, 7), (3, 8), (4, 8), (5, 6), (7, 9)]",1200,12576,"[(4, 8), (7, 9), (5, 6)]",0.0034394264221191406,12576,"[(7, 9), (4, 8), (5, 6)]",0.12035942077636719,9508,"{(0, 1), (5, 7), (7, 9)}",0.13018274307250977,9508,"{(7, 8), (6, 9), (4, 9)}",0.05331134796142578
"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 9), (1, 2), (1, 9), (1, 8), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 6), (4, 7), (5, 9), (6, 8), (7, 9)]",915,12140,"[(1, 9), (1, 8), (7, 9)]",0.003488779067993164,12140,"[(1, 9), (1, 8), (7, 9)]",0.12106847763061523,10315,"{(6, 9), (5, 7), (1, 9)}",0.13211488723754883,10315,"{(8, 9), (1, 5), (1, 7)}",0.05188894271850586
"[(0, 2), (0, 7), (0, 8), (1, 2), (1, 3), (1, 9), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 4), (3, 6), (3, 8), (3, 9), (4, 5), (5, 9), (6, 7)]",960,10780,"[(5, 9), (0, 8), (6, 7)]",0.006516456604003906,10512,"[(7, 9), (0, 5), (6, 8)]",0.25898313522338867,9144,"{(0, 9), (5, 7), (0, 1)}",0.11465215682983398,9144,"{(0, 9), (5, 7), (6, 7)}",0.05228018760681152
"[(0, 2), (0, 3), (0, 5), (0, 6), (0, 8), (0, 9), (1, 2), (1, 9), (1, 6), (2, 3), (2, 4), (2, 5), (2, 7), (3, 4), (4, 6), (5, 7), (5, 8), (6, 7), (8, 9)]",1056,14461,"[(1, 9), (6, 7), (1, 6)]",0.0036695003509521484,14461,"[(1, 9), (1, 6), (6, 7)]",0.3602867126464844,12983,"{(4, 7), (6, 9), (1, 9)}",0.13007211685180664,12983,"{(1, 8), (6, 9), (7, 9)}",0.05276989936828613
"[(0, 2), (0, 3), (0, 4), (0, 6), (0, 8), (0, 9), (1, 2), (1, 4), (1, 9), (2, 3), (2, 5), (2, 6), (2, 7), (2, 8), (3, 4), (3, 5), (5, 7), (5, 9), (7, 8)]",924,12108,"[(1, 4), (1, 9), (7, 8)]",0.0050809383392333984,12108,"[(1, 4), (1, 9), (7, 8)]",0.2552201747894287,11048,"{(4, 7), (6, 9), (1, 4)}",0.12734436988830566,11048,"{(1, 8), (4, 9), (1, 7)}",0.05129075050354004
"[(0, 2), (0, 6), (0, 5), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 8), (2, 9), (3, 6), (3, 9), (4, 5), (4, 7), (4, 8), (7, 9)]",876,12503,"[(0, 6), (7, 9), (0, 5)]",0.006018161773681641,12503,"[(0, 5), (0, 6), (7, 9)]",0.24997758865356445,9813,"{(6, 9), (5, 7), (0, 5)}",0.1318683624267578,9813,"{(5, 9), (6, 8), (0, 7)}",0.051580190658569336
