basic_graph_collector,basic_span_collector,correct_span_collector,correct_edge_collector,algorithm_span_collector,algorithm_edge_collector,algorithm_time,improved_algorithm_span_collector,improved_algorithm_edge_collector,improved_algorithm_time,algorithm_1_span_collector,algorithm_1_edge_collector,algorithm_1_time,greedy_span_collector,greedy_edge_collector,greedy_time,diam_span_collector,diam_edge_collector,diam_time
"[(0, 2), (0, 3), (0, 9), (1, 2), (1, 3), (1, 8), (1, 9), (2, 4), (2, 5), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (4, 6), (5, 9), (6, 7), (6, 8), (7, 9)]",1732,16395,"[((1, 7, 1), (5, 9, 1), (8, 9, 1))]",16170,"[(5, 9), (1, 8), (1, 9)]",0.02155017852783203,15495,"[(8, 9), (1, 5), (5, 9)]",0.24444341659545898,13559,"{(8, 9), (0, 1), (2, 7)}",0.13287782669067383,13559,"{(4, 9), (1, 9), (5, 8)}",0.048154592514038086,13059,"{(2, 7), (2, 8), (1, 9)}",0.001374959945678711
"[(0, 2), (0, 5), (0, 8), (0, 9), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 6), (2, 9), (3, 5), (4, 7), (4, 8), (6, 8), (7, 9)]",1400,14964,"[((3, 8, 1), (5, 6, 1), (7, 9, 1))]",14964,"[(6, 8), (7, 9), (3, 5)]",0.004520416259765625,14964,"[(7, 9), (6, 8), (3, 5)]",0.23473596572875977,12193,"{(6, 9), (5, 7), (7, 9)}",0.13498163223266602,12193,"{(3, 8), (6, 9), (5, 7)}",0.04801535606384277,12321,"{(3, 8), (6, 8), (0, 7)}",0.0013730525970458984
"[(0, 2), (0, 9), (0, 8), (1, 2), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (2, 3), (2, 4), (2, 5), (3, 4), (3, 6), (4, 8), (4, 9), (5, 7), (6, 9), (7, 9)]",1237,16745,"[((0, 8, 1), (0, 9, 1), (6, 9, 1))]",16745,"[(0, 9), (0, 8), (6, 9)]",0.0057675838470458984,16651,"[(0, 9), (0, 6), (0, 8)]",0.23896574974060059,16745,"{(0, 9), (6, 9), (0, 8)}",0.14424920082092285,16745,"{(6, 9), (0, 7), (5, 8)}",0.048597097396850586,15083,"{(0, 6), (0, 8), (0, 7)}",0.0013852119445800781
"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (1, 2), (1, 8), (1, 4), (2, 3), (2, 4), (2, 5), (2, 9), (3, 9), (5, 6), (5, 7), (5, 8), (6, 9), (7, 8)]",861,12853,"[((1, 4, 1), (1, 8, 1), (6, 9, 1))]",12853,"[(1, 8), (6, 9), (1, 4)]",0.004227638244628906,12853,"[(1, 8), (6, 9), (1, 4)]",0.239396333694458,12061,"{(1, 3), (1, 8), (6, 9)}",0.13357901573181152,12061,"{(8, 9), (1, 6), (1, 7)}",0.04970574378967285,11224,"{(3, 8), (1, 6), (1, 7)}",0.0013842582702636719
"[(0, 2), (0, 3), (0, 4), (1, 2), (1, 4), (1, 9), (2, 3), (2, 5), (2, 6), (2, 7), (3, 8), (3, 9), (4, 5), (4, 6), (4, 8), (5, 9), (6, 7), (6, 9), (7, 8)]",1820,18060,"[((1, 9, 1), (5, 9, 1), (7, 8, 1))]",18060,"[(5, 9), (7, 8), (1, 9)]",0.015842199325561523,18060,"[(7, 8), (5, 9), (1, 9)]",0.24453043937683105,14952,"{(0, 1), (5, 7), (7, 8)}",0.12932634353637695,14952,"{(8, 9), (1, 8), (5, 7)}",0.04873085021972656,18060,"{(5, 9), (7, 8), (1, 9)}",0.0015156269073486328
"[(0, 2), (0, 3), (0, 5), (0, 6), (0, 8), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (2, 4), (3, 4), (5, 7), (6, 7), (6, 9), (8, 9)]",1328,12720,"[((3, 4, 1), (5, 7, 1), (8, 9, 1))]",12720,"[(8, 9), (5, 7), (3, 4)]",0.014391422271728516,12296,"[(4, 9), (7, 8), (3, 5)]",0.2506442070007324,9340,"{(2, 7), (4, 7), (5, 7)}",0.12531137466430664,9340,"{(8, 9), (4, 7), (3, 4)}",0.04847240447998047,5600,"{(0, 1), (0, 7), (0, 4)}",0.0013697147369384766
"[(0, 2), (0, 5), (0, 9), (1, 2), (1, 3), (1, 4), (1, 5), (1, 9), (2, 3), (2, 4), (2, 6), (2, 8), (3, 7), (4, 7), (4, 9), (5, 6), (5, 7), (5, 8), (6, 8)]",1520,15288,"[((0, 9, 1), (3, 8, 1), (6, 7, 1))]",15136,"[(3, 7), (0, 9), (6, 8)]",0.021886110305786133,15136,"[(8, 9), (3, 7), (0, 6)]",0.12337470054626465,10991,"{(0, 1), (6, 9), (2, 7)}",0.12650489807128906,10991,"{(6, 9), (7, 8), (0, 3)}",0.050642967224121094,15180,"{(0, 9), (3, 7), (6, 9)}",0.0014908313751220703
"[(0, 2), (0, 6), (0, 8), (0, 5), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 3), (2, 7), (3, 4), (3, 5), (3, 7), (3, 8), (3, 9), (4, 8), (6, 9), (7, 9)]",1244,14776,"[((0, 5, 1), (0, 8, 1), (6, 9, 1))]",14776,"[(0, 8), (6, 9), (0, 5)]",0.005396842956542969,14776,"[(0, 8), (6, 9), (0, 5)]",0.11971759796142578,14344,"{(6, 9), (0, 8), (5, 7)}",0.12881207466125488,14344,"{(0, 9), (5, 9), (6, 8)}",0.04950380325317383,11373,"{(0, 9), (0, 5), (0, 4)}",0.0014069080352783203
"[(0, 2), (0, 5), (0, 7), (0, 9), (1, 2), (1, 3), (1, 6), (1, 7), (2, 3), (2, 4), (3, 4), (3, 6), (4, 5), (4, 7), (4, 8), (5, 6), (5, 8), (7, 9), (8, 9)]",1743,19684,"[((1, 9, 1), (1, 8, 1), (6, 9, 1))]",18135,"[(8, 9), (1, 6), (1, 7)]",0.0068662166595458984,18512,"[(1, 9), (6, 8), (8, 9)]",0.23792409896850586,16473,"{(6, 9), (6, 7), (1, 9)}",0.13300085067749023,16473,"{(6, 9), (1, 7), (1, 8)}",0.060965776443481445,14192,"{(1, 5), (3, 9), (1, 7)}",0.002079010009765625
"[(0, 2), (0, 3), (0, 5), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (1, 8), (2, 4), (2, 6), (2, 7), (3, 9), (4, 9), (5, 8), (5, 9), (6, 7), (6, 9), (7, 8)]",1750,18844,"[((3, 9, 1), (7, 8, 1), (8, 9, 1))]",18595,"[(3, 9), (7, 8), (5, 9)]",0.00992894172668457,18671,"[(8, 9), (3, 7), (7, 8)]",0.24266552925109863,16266,"{(8, 9), (4, 7), (5, 7)}",0.132857084274292,16266,"{(3, 9), (4, 8), (5, 7)}",0.04890179634094238,16096,"{(3, 7), (3, 9), (5, 7)}",0.0013861656188964844
