basic_graph_collector,basic_span_collector,algorithm_span_collector,algorithm_edge_collector,algorithm_time,improved_algorithm_span_collector,improved_algorithm_edge_collector,improved_algorithm_time,algorithm_1_span_collector,algorithm_1_edge_collector,algorithm_1_time,greedy_span_collector,greedy_edge_collector,greedy_time
"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 10), (0, 14), (1, 2), (1, 12), (2, 3), (2, 5), (2, 8), (2, 9), (2, 10), (2, 11), (2, 13), (3, 4), (3, 6), (3, 7), (3, 12), (4, 13), (4, 14), (5, 11), (5, 12), (6, 9), (7, 8), (8, 14), (11, 14)]",9782415612,305821358477,"[(1, 12, 5), (8, 14, 1), (11, 14, 3)]",0.04138064384460449,1058375259332,"[(1, 12, 5), (12, 13, 5), (1, 14, 4)]",0.38019800186157227,566177282252,"{(1, 10), (9, 11), (1, 12)}",0.32532310485839844,566177282252,"{(1, 3), (12, 14), (5, 13)}",0.15315747261047363
"[(0, 2), (0, 3), (0, 4), (0, 7), (0, 8), (0, 11), (1, 2), (1, 5), (1, 10), (2, 3), (2, 4), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (2, 14), (3, 5), (3, 11), (5, 6), (5, 7), (6, 13), (7, 13), (8, 9), (9, 12), (9, 13), (11, 12), (11, 14), (12, 13)]",384600292200,2973789274050,"[(5, 7, 2), (7, 13, 1), (6, 13, 4)]",0.0302274227142334,6595782537780,"[(13, 14, 3), (6, 12, 5), (10, 13, 3)]",0.37470412254333496,6035218417440,"{(4, 13), (6, 12), (6, 13)}",0.30877685546875,6035218417440,"{(5, 12), (7, 14), (7, 10)}",0.15180635452270508
"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 7), (0, 8), (0, 10), (1, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 8), (2, 11), (2, 12), (2, 13), (3, 14), (4, 6), (4, 9), (4, 10), (4, 14), (5, 11), (5, 14), (6, 7), (6, 9), (7, 12), (9, 12), (10, 11), (11, 13)]",77569795200,3335461806840,"[(10, 11, 5), (7, 12, 5), (3, 14, 4)]",0.03927755355834961,3408446871840,"[(10, 13, 4), (7, 12, 5), (3, 14, 4)]",0.4086918830871582,1934285613600,"{(9, 11), (10, 11), (1, 12)}",0.3172593116760254,1934285613600,"{(3, 7), (10, 11), (3, 13)}",0.1538851261138916
"[(0, 2), (0, 4), (0, 14), (0, 9), (1, 2), (1, 3), (1, 7), (1, 8), (1, 10), (1, 12), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 10), (2, 11), (2, 12), (2, 14), (3, 9), (4, 5), (4, 6), (7, 13), (8, 9), (8, 11), (10, 13), (11, 13), (12, 13)]",226331016912,1884839138700,"[(0, 9, 2), (10, 13, 4), (7, 13, 1)]",0.0413508415222168,4851727568688,"[(9, 13, 5), (7, 9, 3), (10, 13, 4)]",0.4102668762207031,5243789914400,"{(9, 13), (0, 10), (3, 5)}",0.3156118392944336,5243789914400,"{(5, 9), (0, 8), (7, 11)}",0.16071701049804688
"[(0, 2), (0, 3), (0, 5), (0, 8), (0, 11), (1, 2), (1, 3), (1, 4), (1, 6), (1, 7), (1, 8), (1, 10), (2, 4), (2, 6), (2, 14), (3, 5), (3, 7), (3, 14), (5, 13), (6, 9), (7, 11), (8, 9), (8, 10), (8, 12), (8, 14), (10, 11), (10, 12), (12, 13), (13, 14)]",324254021499,2644180252077,"[(13, 14, 1), (7, 11, 3), (8, 14, 3)]",0.07117295265197754,6777226302444,"[(13, 14, 1), (11, 14, 5), (9, 13, 5)]",0.39948058128356934,8698877755009,"{(4, 13), (9, 13), (7, 12)}",0.3169994354248047,8698877755009,"{(11, 12), (6, 13), (9, 14)}",0.15464162826538086
"[(0, 2), (0, 3), (0, 4), (0, 6), (0, 7), (0, 8), (0, 9), (0, 11), (0, 14), (1, 2), (1, 13), (2, 3), (2, 5), (2, 8), (3, 4), (3, 10), (4, 5), (4, 6), (4, 10), (4, 12), (5, 9), (5, 13), (6, 7), (7, 11), (7, 12), (7, 14), (10, 14), (11, 13), (12, 13)]",174739410990,1963262085039,"[(10, 14, 1), (12, 13, 3), (11, 13, 4)]",0.04426383972167969,7678008398256,"[(1, 14, 5), (8, 13, 4), (9, 10, 5)]",0.38675451278686523,7206999496560,"{(13, 14), (1, 4), (8, 12)}",0.31368446350097656,7206999496560,"{(13, 14), (7, 9), (8, 12)}",0.15099191665649414
"[(0, 2), (0, 6), (1, 2), (1, 3), (1, 6), (1, 9), (1, 11), (1, 12), (1, 13), (2, 3), (2, 4), (2, 5), (2, 7), (2, 10), (2, 13), (3, 4), (3, 5), (3, 6), (3, 7), (3, 14), (4, 12), (5, 8), (6, 14), (7, 8), (8, 9), (8, 11), (9, 10), (9, 12), (10, 14)]",249160888552,7461827051404,"[(0, 6, 5), (4, 12, 4), (10, 14, 3)]",0.044367074966430664,9082814792218,"[(0, 6, 5), (12, 14, 4), (10, 11, 4)]",0.4111483097076416,6521933637622,"{(4, 13), (0, 6), (10, 11)}",0.3106105327606201,6521933637622,"{(0, 11), (10, 13), (4, 12)}",0.1518254280090332
"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 8), (0, 10), (0, 11), (0, 12), (0, 14), (1, 2), (2, 3), (2, 6), (2, 8), (2, 9), (2, 10), (2, 13), (3, 4), (3, 5), (3, 6), (3, 7), (4, 7), (5, 9), (5, 11), (5, 12), (7, 8), (7, 11), (9, 13), (11, 13), (12, 14)]",17157692160,241173028440,"[(7, 8, 3), (7, 11, 1), (11, 13, 3)]",0.02462458610534668,648714792720,"[(7, 10, 4), (11, 13, 3), (13, 14, 5)]",0.39720869064331055,657216447040,"{(4, 10), (1, 13), (10, 11)}",0.31667351722717285,657216447040,"{(1, 8), (10, 11), (6, 7)}",0.16399192810058594
"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 11), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 12), (2, 7), (2, 11), (2, 13), (3, 10), (4, 9), (5, 8), (5, 9), (5, 10), (5, 14), (6, 14), (7, 9), (8, 10), (9, 13), (10, 12), (11, 14)]",190560367116,2086780190229,"[(3, 10, 3), (6, 14, 1), (7, 9, 5)]",0.05875563621520996,6148311096792,"[(12, 14, 5), (7, 9, 5), (6, 10, 4)]",0.4483609199523926,5416299311016,"{(7, 12), (12, 14), (6, 13)}",0.33772945404052734,5416299311016,"{(7, 12), (6, 13), (3, 14)}",0.1592395305633545
"[(0, 2), (0, 3), (0, 4), (0, 6), (0, 7), (0, 9), (0, 11), (1, 2), (1, 3), (2, 4), (2, 5), (3, 5), (3, 6), (3, 13), (4, 7), (4, 8), (4, 10), (5, 11), (5, 14), (5, 10), (6, 9), (6, 10), (6, 12), (7, 8), (7, 13), (7, 14), (8, 12), (11, 12), (13, 14)]",16947529603600,167487183681440,"[(8, 12, 4), (5, 14, 2), (5, 10, 4)]",0.07059335708618164,350613558580600,"[(12, 14, 5), (1, 10, 5), (9, 14, 5)]",0.467623233795166,314437215752760,"{(1, 10), (12, 14), (8, 12)}",0.33339977264404297,314437215752760,"{(8, 14), (10, 12), (9, 13)}",0.15170788764953613
