added,edges,eigenvalues,span_trees
"(0, 7, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 10), (0, 13), (0, 7), (1, 5), (2, 11), (4, 6), (4, 7), (4, 8), (4, 9), (4, 14), (8, 12)]","[ 8.33207983e+00  6.59855550e+00  2.61803399e+00  2.52299518e+00
  2.45148718e+00  1.71704153e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.33090808e-01  5.02481105e-01
  3.81966011e-01  2.42268879e-01 -1.18462770e-15]",3
"(0, 12, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 10), (0, 13), (0, 12), (1, 5), (2, 11), (4, 6), (4, 7), (4, 8), (4, 9), (4, 14), (8, 12)]","[ 8.46767274e+00  6.39091446e+00  2.87727038e+00  2.61803399e+00
  2.39700595e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  5.98561402e-01
  3.81966011e-01  2.68575062e-01 -8.83651639e-16]",4
"(0, 6, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 10), (0, 13), (0, 6), (1, 5), (2, 11), (4, 6), (4, 7), (4, 8), (4, 9), (4, 14), (8, 12)]","[ 8.33207983e+00  6.59855550e+00  2.61803399e+00  2.52299518e+00
  2.45148718e+00  1.71704153e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.33090808e-01  5.02481105e-01
  3.81966011e-01  2.42268879e-01 -4.25596190e-16]",3
"(0, 9, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 10), (0, 13), (0, 9), (1, 5), (2, 11), (4, 6), (4, 7), (4, 8), (4, 9), (4, 14), (8, 12)]","[ 8.33207983e+00  6.59855550e+00  2.61803399e+00  2.52299518e+00
  2.45148718e+00  1.71704153e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.33090808e-01  5.02481105e-01
  3.81966011e-01  2.42268879e-01 -9.19991782e-17]",3
"(0, 14, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 10), (0, 13), (0, 14), (1, 5), (2, 11), (4, 6), (4, 7), (4, 8), (4, 9), (4, 14), (8, 12)]","[ 8.33207983e+00  6.59855550e+00  2.61803399e+00  2.52299518e+00
  2.45148718e+00  1.71704153e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.33090808e-01  5.02481105e-01
  3.81966011e-01  2.42268879e-01 -7.32620407e-16]",3
"(0, 11, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 10), (0, 13), (0, 11), (1, 5), (2, 11), (4, 6), (4, 7), (4, 8), (4, 9), (4, 14), (8, 12)]","[8.41579401e+00 6.40680922e+00 3.00000000e+00 2.53120426e+00
 2.49424786e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 5.03131174e-01
 4.57295589e-01 1.91517882e-01 5.69433821e-16]",3
"(0, 5, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 10), (0, 13), (0, 5), (1, 5), (2, 11), (4, 6), (4, 7), (4, 8), (4, 9), (4, 14), (8, 12)]","[8.41579401e+00 6.40680922e+00 3.00000000e+00 2.53120426e+00
 2.49424786e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 5.03131174e-01
 4.57295589e-01 1.91517882e-01 1.33844298e-16]",3
"(0, 8, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 10), (0, 13), (0, 8), (1, 5), (2, 11), (4, 6), (4, 7), (4, 8), (4, 9), (4, 14), (8, 12)]","[ 8.33311231e+00  6.67088771e+00  3.09519465e+00  2.61803399e+00
  2.37035195e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.67983402e-01  5.75403223e-01
  3.81966011e-01  2.87066745e-01 -3.41367276e-17]",3
"(1, 3, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 10), (0, 13), (1, 5), (1, 3), (2, 11), (4, 6), (4, 7), (4, 8), (4, 9), (4, 14), (8, 12)]","[7.78295769e+00 6.07844342e+00 3.84090346e+00 2.52047508e+00
 2.48652164e+00 1.50026291e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 7.05799191e-01 4.86442932e-01
 4.11980566e-01 1.86213116e-01 4.47394855e-16]",3
"(1, 6, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 10), (0, 13), (1, 5), (1, 6), (2, 11), (4, 6), (4, 7), (4, 8), (4, 9), (4, 14), (8, 12)]","[ 7.85017293e+00  6.07776088e+00  3.69453828e+00  2.50607463e+00
  2.48045205e+00  1.56220342e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.01354181e-01  5.59516000e-01
  4.19736512e-01  2.48191116e-01 -4.15741901e-16]",4
"(1, 11, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 10), (0, 13), (1, 5), (1, 11), (2, 11), (4, 6), (4, 7), (4, 8), (4, 9), (4, 14), (8, 12)]","[ 7.81028644e+00  6.13934101e+00  3.69902508e+00  2.60267528e+00
  2.49908357e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  5.82865554e-01
  4.81351059e-01  1.85372014e-01 -3.00479647e-16]",4
"(1, 14, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 10), (0, 13), (1, 5), (1, 14), (2, 11), (4, 6), (4, 7), (4, 8), (4, 9), (4, 14), (8, 12)]","[ 7.85017293e+00  6.07776088e+00  3.69453828e+00  2.50607463e+00
  2.48045205e+00  1.56220342e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.01354181e-01  5.59516000e-01
  4.19736512e-01  2.48191116e-01 -1.96095207e-16]",4
"(1, 4, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 10), (0, 13), (1, 5), (1, 4), (2, 11), (4, 6), (4, 7), (4, 8), (4, 9), (4, 14), (8, 12)]","[ 8.31988957e+00  6.69401142e+00  3.11230902e+00  2.52256608e+00
  2.43147391e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.48192789e-01  5.67497803e-01
  4.46153999e-01  2.57905412e-01 -2.65246025e-16]",3
"(1, 9, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 10), (0, 13), (1, 5), (1, 9), (2, 11), (4, 6), (4, 7), (4, 8), (4, 9), (4, 14), (8, 12)]","[ 7.85017293e+00  6.07776088e+00  3.69453828e+00  2.50607463e+00
  2.48045205e+00  1.56220342e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.01354181e-01  5.59516000e-01
  4.19736512e-01  2.48191116e-01 -4.16661366e-16]",4
