id,k,algorithm,nodes,edges,complementer_edges,betweenness_centrality (new edges),betweenness_centrality (all edges),number_of_spanning_trees,time
0,1,graph_enumeration,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[(0, 4), (1, 4), (1, 8), (2, 7), (2, 8), (3, 8), (5, 6), (6, 8)]","{(0, 1, 1), (4, 7, 1), (1, 3, 1), (6, 7, 1), (0, 8, 1), (3, 4, 1), (7, 8, 1), (0, 2, 1), (2, 4, 1), (5, 8, 1), (2, 3, 1), (0, 5, 1), (1, 7, 1), (3, 7, 1), (0, 6, 1), (4, 5, 1), (1, 2, 1), (5, 7, 1), (2, 6, 1), (0, 3, 1), (2, 5, 1), (4, 6, 1), (4, 8, 1), (1, 6, 1), (3, 5, 1), (3, 6, 1), (0, 7, 1), (1, 5, 1)}","[((0, 7), 0.16666666666666666)]","{(0, 4): 0.16666666666666666, (0, 7): 0.16666666666666666, (1, 4): 0.25, (1, 8): 0.3333333333333333, (2, 7): 0.25, (2, 8): 0.3333333333333333, (3, 8): 0.2222222222222222, (5, 6): 0.2222222222222222, (6, 8): 0.38888888888888884}",6,0.13460469245910645
0,2,graph_enumeration,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[(0, 4), (1, 4), (1, 8), (2, 7), (2, 8), (3, 8), (5, 6), (6, 8)]","{(0, 1, 1), (4, 7, 1), (1, 3, 1), (6, 7, 1), (0, 8, 1), (3, 4, 1), (7, 8, 1), (0, 2, 1), (2, 4, 1), (5, 8, 1), (2, 3, 1), (0, 5, 1), (1, 7, 1), (3, 7, 1), (0, 6, 1), (4, 5, 1), (1, 2, 1), (5, 7, 1), (2, 6, 1), (0, 3, 1), (2, 5, 1), (4, 6, 1), (4, 8, 1), (1, 6, 1), (3, 5, 1), (3, 6, 1), (0, 7, 1), (1, 5, 1)}","[((0, 5), 0.18518518518518517), ((0, 7), 0.18518518518518517)]","{(0, 4): 0.18518518518518517, (0, 5): 0.18518518518518517, (0, 7): 0.18518518518518517, (1, 4): 0.18518518518518517, (1, 8): 0.2407407407407407, (2, 7): 0.18518518518518517, (2, 8): 0.2407407407407407, (3, 8): 0.2222222222222222, (5, 6): 0.18518518518518517, (6, 8): 0.2407407407407407}",27,0.7439913749694824
0,3,graph_enumeration,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[(0, 4), (1, 4), (1, 8), (2, 7), (2, 8), (3, 8), (5, 6), (6, 8)]","{(0, 1, 1), (4, 7, 1), (1, 3, 1), (6, 7, 1), (0, 8, 1), (3, 4, 1), (7, 8, 1), (0, 2, 1), (2, 4, 1), (5, 8, 1), (2, 3, 1), (0, 5, 1), (1, 7, 1), (3, 7, 1), (0, 6, 1), (4, 5, 1), (1, 2, 1), (5, 7, 1), (2, 6, 1), (0, 3, 1), (2, 5, 1), (4, 6, 1), (4, 8, 1), (1, 6, 1), (3, 5, 1), (3, 6, 1), (0, 7, 1), (1, 5, 1)}","[((5, 7), 0.16666666666666666), ((0, 3), 0.1388888888888889), ((0, 7), 0.2222222222222222)]","{(0, 4): 0.16666666666666666, (0, 3): 0.1388888888888889, (0, 7): 0.2222222222222222, (1, 4): 0.1388888888888889, (1, 8): 0.2222222222222222, (2, 7): 0.1388888888888889, (2, 8): 0.16666666666666666, (3, 8): 0.16666666666666666, (5, 6): 0.1388888888888889, (5, 7): 0.16666666666666666, (6, 8): 0.2222222222222222}",85,8.979997634887695
1,1,graph_enumeration,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 4), (0, 2), (1, 7), (2, 5), (3, 6), (4, 6), (5, 7)]","{(0, 1, 1), (2, 7, 1), (4, 7, 1), (1, 3, 1), (6, 7, 1), (3, 4, 1), (2, 4, 1), (2, 3, 1), (0, 5, 1), (1, 4, 1), (3, 7, 1), (0, 6, 1), (4, 5, 1), (1, 2, 1), (2, 6, 1), (0, 3, 1), (1, 6, 1), (3, 5, 1), (0, 7, 1), (1, 5, 1), (5, 6, 1)}","[((1, 3), 0.2857142857142857)]","{(0, 4): 0.2857142857142857, (0, 2): 0.2857142857142857, (1, 7): 0.2857142857142857, (1, 3): 0.2857142857142857, (2, 5): 0.2857142857142857, (3, 6): 0.2857142857142857, (4, 6): 0.2857142857142857, (5, 7): 0.2857142857142857}",8,0.13186311721801758
1,2,graph_enumeration,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 4), (0, 2), (1, 7), (2, 5), (3, 6), (4, 6), (5, 7)]","{(0, 1, 1), (2, 7, 1), (4, 7, 1), (1, 3, 1), (6, 7, 1), (3, 4, 1), (2, 4, 1), (2, 3, 1), (0, 5, 1), (1, 4, 1), (3, 7, 1), (0, 6, 1), (4, 5, 1), (1, 2, 1), (2, 6, 1), (0, 3, 1), (1, 6, 1), (3, 5, 1), (0, 7, 1), (1, 5, 1), (5, 6, 1)}","[((1, 4), 0.22619047619047616), ((3, 5), 0.22619047619047616)]","{(0, 4): 0.22619047619047616, (0, 2): 0.1904761904761905, (1, 7): 0.19047619047619047, (1, 4): 0.22619047619047616, (2, 5): 0.2261904761904762, (3, 6): 0.19047619047619047, (3, 5): 0.22619047619047616, (4, 6): 0.22619047619047616, (5, 7): 0.22619047619047616}",27,0.5433797836303711
1,3,graph_enumeration,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 4), (0, 2), (1, 7), (2, 5), (3, 6), (4, 6), (5, 7)]","{(0, 1, 1), (2, 7, 1), (4, 7, 1), (1, 3, 1), (6, 7, 1), (3, 4, 1), (2, 4, 1), (2, 3, 1), (0, 5, 1), (1, 4, 1), (3, 7, 1), (0, 6, 1), (4, 5, 1), (1, 2, 1), (2, 6, 1), (0, 3, 1), (1, 6, 1), (3, 5, 1), (0, 7, 1), (1, 5, 1), (5, 6, 1)}","[((4, 7), 0.21428571428571427), ((1, 3), 0.1607142857142857), ((2, 3), 0.21428571428571427)]","{(0, 4): 0.1607142857142857, (0, 2): 0.1607142857142857, (1, 7): 0.1607142857142857, (1, 3): 0.1607142857142857, (2, 5): 0.1607142857142857, (2, 3): 0.21428571428571427, (3, 6): 0.1607142857142857, (4, 6): 0.1607142857142857, (4, 7): 0.21428571428571427, (5, 7): 0.1607142857142857}",72,4.566877365112305
2,1,graph_enumeration,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 5), (0, 4), (1, 2), (1, 4), (1, 6), (3, 6), (6, 7)]","{(0, 1, 1), (2, 7, 1), (4, 7, 1), (1, 3, 1), (3, 4, 1), (0, 2, 1), (2, 4, 1), (2, 3, 1), (1, 7, 1), (3, 7, 1), (0, 6, 1), (4, 5, 1), (5, 7, 1), (2, 6, 1), (0, 3, 1), (2, 5, 1), (4, 6, 1), (3, 5, 1), (0, 7, 1), (1, 5, 1), (5, 6, 1)}","[((3, 5), 0.23214285714285712)]","{(0, 5): 0.19642857142857142, (0, 4): 0.23214285714285712, (1, 2): 0.25, (1, 4): 0.30357142857142855, (1, 6): 0.375, (3, 6): 0.30357142857142855, (3, 5): 0.23214285714285712, (6, 7): 0.25}",6,0.13569068908691406
2,2,graph_enumeration,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 5), (0, 4), (1, 2), (1, 4), (1, 6), (3, 6), (6, 7)]","{(0, 1, 1), (2, 7, 1), (4, 7, 1), (1, 3, 1), (3, 4, 1), (0, 2, 1), (2, 4, 1), (2, 3, 1), (1, 7, 1), (3, 7, 1), (0, 6, 1), (4, 5, 1), (5, 7, 1), (2, 6, 1), (0, 3, 1), (2, 5, 1), (4, 6, 1), (3, 5, 1), (0, 7, 1), (1, 5, 1), (5, 6, 1)}","[((2, 3), 0.13095238095238093), ((5, 7), 0.23214285714285712)]","{(0, 5): 0.18452380952380948, (0, 4): 0.23214285714285712, (1, 2): 0.21428571428571425, (1, 4): 0.30357142857142855, (1, 6): 0.25595238095238093, (2, 3): 0.13095238095238093, (3, 6): 0.21428571428571427, (5, 7): 0.23214285714285712, (6, 7): 0.30357142857142855}",23,0.5434873104095459
2,3,graph_enumeration,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 5), (0, 4), (1, 2), (1, 4), (1, 6), (3, 6), (6, 7)]","{(0, 1, 1), (2, 7, 1), (4, 7, 1), (1, 3, 1), (3, 4, 1), (0, 2, 1), (2, 4, 1), (2, 3, 1), (1, 7, 1), (3, 7, 1), (0, 6, 1), (4, 5, 1), (5, 7, 1), (2, 6, 1), (0, 3, 1), (2, 5, 1), (4, 6, 1), (3, 5, 1), (0, 7, 1), (1, 5, 1), (5, 6, 1)}","[((2, 5), 0.1607142857142857), ((3, 5), 0.1607142857142857), ((0, 7), 0.1607142857142857)]","{(0, 5): 0.21428571428571427, (0, 4): 0.1607142857142857, (0, 7): 0.1607142857142857, (1, 2): 0.1607142857142857, (1, 4): 0.1607142857142857, (1, 6): 0.21428571428571427, (2, 5): 0.1607142857142857, (3, 6): 0.1607142857142857, (3, 5): 0.1607142857142857, (6, 7): 0.1607142857142857}",72,4.369208097457886
3,1,graph_enumeration,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 7), (1, 5), (1, 4), (2, 4), (3, 6), (3, 7), (4, 7)]","{(0, 1, 1), (2, 7, 1), (1, 3, 1), (6, 7, 1), (3, 4, 1), (0, 2, 1), (2, 3, 1), (0, 5, 1), (1, 7, 1), (0, 6, 1), (4, 5, 1), (1, 2, 1), (5, 7, 1), (2, 6, 1), (0, 3, 1), (2, 5, 1), (4, 6, 1), (1, 6, 1), (3, 5, 1), (0, 4, 1), (5, 6, 1)}","[((5, 6), 0.19642857142857142)]","{(0, 7): 0.25, (1, 5): 0.23214285714285712, (1, 4): 0.30357142857142855, (2, 4): 0.25, (3, 6): 0.23214285714285712, (3, 7): 0.30357142857142855, (4, 7): 0.375, (5, 6): 0.19642857142857142}",6,0.13628625869750977
