added,edges,eigenvalues,span_trees
"(0, 7, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 6), (0, 8), (0, 9), (0, 13), (0, 7), (3, 5), (3, 10), (3, 14), (4, 12), (5, 11), (6, 7)]","[1.00718666e+01+0.00000000e+00j 4.77412291e+00+0.00000000e+00j
 3.00000000e+00+0.00000000e+00j 2.55342596e+00+0.00000000e+00j
 2.38352205e+00+0.00000000e+00j 1.00000000e+00+0.00000000e+00j
 1.00000000e+00+0.00000000e+00j 1.00000000e+00+0.00000000e+00j
 1.00000000e+00+0.00000000e+00j 1.00000000e+00+1.35973996e-16j
 1.00000000e+00-1.35973996e-16j 5.72114279e-01+0.00000000e+00j
 4.42469643e-01+0.00000000e+00j 2.02478533e-01+0.00000000e+00j
 4.82291821e-16+0.00000000e+00j]",3
"(0, 10, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 6), (0, 8), (0, 9), (0, 13), (0, 10), (3, 5), (3, 10), (3, 14), (4, 12), (5, 11), (6, 7)]","[1.00618983e+01 4.90965499e+00 2.61803399e+00 2.50283275e+00
 2.44719431e+00 1.60508969e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 7.03976414e-01 5.12565863e-01
 3.81966011e-01 2.56787714e-01 6.40417991e-16]",3
"(0, 12, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 6), (0, 8), (0, 9), (0, 13), (0, 12), (3, 5), (3, 10), (3, 14), (4, 12), (5, 11), (6, 7)]","[ 1.00718666e+01  4.77412291e+00  3.00000000e+00  2.55342596e+00
  2.38352205e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  5.72114279e-01
  4.42469643e-01  2.02478533e-01 -4.19373196e-16]",3
"(0, 14, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 6), (0, 8), (0, 9), (0, 13), (0, 14), (3, 5), (3, 10), (3, 14), (4, 12), (5, 11), (6, 7)]","[ 1.00618983e+01  4.90965499e+00  2.61803399e+00  2.50283275e+00
  2.44719431e+00  1.60508969e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  7.03976414e-01  5.12565863e-01
  3.81966011e-01  2.56787714e-01 -1.64794471e-16]",3
"(0, 11, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 6), (0, 8), (0, 9), (0, 13), (0, 11), (3, 5), (3, 10), (3, 14), (4, 12), (5, 11), (6, 7)]","[1.01037790e+01 4.75540948e+00 2.79293740e+00 2.61803399e+00
 2.46690337e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 5.53544335e-01
 3.81966011e-01 3.27426439e-01 2.50089923e-16]",4
"(0, 5, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 6), (0, 8), (0, 9), (0, 13), (0, 5), (3, 5), (3, 10), (3, 14), (4, 12), (5, 11), (6, 7)]","[ 1.00741827e+01  5.02856214e+00  2.90221923e+00  2.61803399e+00
  2.43762391e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.49626763e-01  5.66735755e-01
  3.81966011e-01  3.41049512e-01 -6.51210043e-17]",3
"(1, 3, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 6), (0, 8), (0, 9), (0, 13), (1, 3), (3, 5), (3, 10), (3, 14), (4, 12), (5, 11), (6, 7)]","[9.12399277e+00 5.81319886e+00 2.61803399e+00 2.50420091e+00
 2.46852732e+00 1.69310979e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 6.32908091e-01 5.15703526e-01
 3.81966011e-01 2.48358726e-01 3.69415993e-16]",3
"(1, 6, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 6), (0, 8), (0, 9), (0, 13), (1, 6), (3, 5), (3, 10), (3, 14), (4, 12), (5, 11), (6, 7)]","[ 9.11443740e+00  4.75170723e+00  3.85462559e+00  2.54502629e+00
  2.38232911e+00  1.55652211e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.32530204e-01  5.54561237e-01
  4.09334460e-01  1.98926372e-01 -7.13038543e-16]",3
"(1, 11, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 6), (0, 8), (0, 9), (0, 13), (1, 11), (3, 5), (3, 10), (3, 14), (4, 12), (5, 11), (6, 7)]","[9.13023953e+00 4.78822210e+00 3.22655991e+00 2.61803399e+00
 2.44397554e+00 1.85545077e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 6.88796098e-01 5.66003988e-01
 3.81966011e-01 3.00752060e-01 4.39615703e-16]",5
"(1, 14, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 6), (0, 8), (0, 9), (0, 13), (1, 14), (3, 5), (3, 10), (3, 14), (4, 12), (5, 11), (6, 7)]","[ 9.13927862e+00  4.81768863e+00  2.87095999e+00  2.61803399e+00
  2.43916248e+00  2.30059587e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.76284850e-01  5.11515389e-01
  3.81966011e-01  2.44514172e-01 -6.49999418e-16]",4
"(1, 4, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 6), (0, 8), (0, 9), (0, 13), (1, 4), (3, 5), (3, 10), (3, 14), (4, 12), (5, 11), (6, 7)]","[9.11443740e+00 4.75170723e+00 3.85462559e+00 2.54502629e+00
 2.38232911e+00 1.55652211e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 6.32530204e-01 5.54561237e-01
 4.09334460e-01 1.98926372e-01 1.03096870e-17]",3
"(1, 9, 1)","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 6), (0, 8), (0, 9), (0, 13), (1, 9), (3, 5), (3, 10), (3, 14), (4, 12), (5, 11), (6, 7)]","[ 9.11397860e+00  4.75032336e+00  3.00000000e+00  2.61803399e+00
  2.46944577e+00  2.37267289e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  5.84323018e-01  5.11356166e-01
  3.81966011e-01  1.97900198e-01 -4.43918437e-16]",3
