eigenvalue_1,eigenvalue_2,span_trees
(10.071866621079199+0j),(4.774122910895683+0j),3
(10.061898264546416+0j),(4.909654990917638+0j),3
(10.071866621079188+0j),(4.774122910895669+0j),3
(10.061898264546414+0j),(4.909654990917638+0j),3
(10.103778983746722+0j),(4.755409480606811+0j),4
(10.074182692172787+0j),(5.028562139443962+0j),3
(9.123992768402385+0j),(5.813198862433627+0j),3
(9.114437397882675+0j),(4.75170722896181+0j),3
(9.130239529508263+0j),(4.788222100064437+0j),5
(9.13927861654301+0j),(4.817688634866441+0j),4
(9.114437397882678+0j),(4.7517072289618065+0j),3
(9.113978599555193+0j),(4.7503233619127725+0j),3
(9.136505659159404+0j),(4.757853937265794+0j),4
(9.136505659159404+0j),(4.757853937265794+0j),4
(9.113978599555189+0j),(4.750323361912766+0j),3
(9.141443944517402+0j),(4.946571777389798+0j),4
(9.13927861654301+0j),(4.817688634866432+0j),4
(9.113978599555196+0j),(4.750323361912767+0j),3
(9.113978599555193+0j),(4.7503233619127725+0j),3
(9.113978599555193+0j),(4.750323361912768+0j),3
(9.141443944517402+0j),(4.946571777389797+0j),4
(9.113978599555178+0j),(4.7503233619127725+0j),3
(9.114437397882668+0j),(4.7517072289617985+0j),3
(9.123992768402372+0j),(5.813198862433626+0j),3
(9.13927861654301+0j),(4.817688634866432+0j),4
(9.130239529508266+0j),(4.7882221000644245+0j),5
(9.114437397882675+0j),(4.751707228961809+0j),3
(9.136505659159404+0j),(4.7578539372657955+0j),4
(9.113978599555196+0j),(4.750323361912773+0j),3
(9.13927861654302+0j),(4.817688634866439+0j),4
(9.13650565915939+0j),(4.757853937265801+0j),4
(9.17978866173738+0j),(5.706410670306677+0j),4
(9.123992768402385+0j),(5.813198862433627+0j),3
(9.179788661737359+0j),(5.706410670306686+0j),4
(9.120211073670486+0j),(5.932033229971277+0j),3
(9.167897110847262+0j),(5.619120299702956+0j),3
(9.120211073670486+0j),(5.932033229971277+0j),3
(9.123992768402385+0j),(5.813198862433627+0j),3
(9.123992768402385+0j),(5.813198862433627+0j),3
(9.114437397882678+0j),(4.751707228961806+0j),3
(9.114437397882675+0j),(4.7517072289618065+0j),3
(9.147182722326288+0j),(4.8188253758032635+0j),4
(9.149807776561314+0j),(4.970518644651197+0j),4
(9.143970873518171+0j),(4.768608954568959+0j),4
(9.114437397882668+0j),(4.7517072289617985+0j),3
(9.147182722326285+0j),(4.818825375803262+0j),4
(9.13660863643037+0j),(4.815902166934946+0j),5
(9.113978599555217+0j),(4.750323361912769+0j),3
(9.141443944517409+0j),(4.946571777389797+0j),4
(9.141443944517409+0j),(4.946571777389801+0j),4
(9.113999162152016+0j),(4.787861688631243+0j),3
(9.141443944517412+0j),(4.9465717773897895+0j),4
(9.149807776561314+0j),(4.970518644651199+0j),4
(9.114167464480161+0j),(5.0334000183637295+0j),5
(9.113999162152016+0j),(4.787861688631237+0j),3
(9.114167464480161+0j),(5.0334000183637295+0j),5
(9.114437397882675+0j),(4.7517072289618065+0j),3
(9.147182722326288+0j),(4.818825375803267+0j),4
(9.114437397882668+0j),(4.751707228961799+0j),3
(9.114437397882678+0j),(4.751707228961805+0j),3
(9.147182722326285+0j),(4.818825375803262+0j),4
(9.13660863643037+0j),(4.815902166934946+0j),5
(9.143970873518157+0j),(4.768608954568955+0j),4
(9.113978599555189+0j),(4.750323361912766+0j),5
(9.114501472529394+0j),(4.763496762633579+0j),6
(9.11406067902844+0j),(4.872998052954269+0j),5
(9.136505659159404+0j),(4.757853937265793+0j),4
(9.136505659159404+0j),(4.757853937265796+0j),4
(9.11406067902844+0j),(4.872998052954268+0j),5
(9.136505659159404+0j),(4.757853937265791+0j),4
(9.113978599555203+0j),(4.750323361912762+0j),3
(9.13927861654301+0j),(4.817688634866437+0j),4
(9.136505659159404+0j),(4.757853937265793+0j),4
(9.1139785995552+0j),(4.750323361912764+0j),3
(9.13927861654301+0j),(4.817688634866437+0j),4
(9.130239529508259+0j),(4.7882221000644245+0j),5
(9.130239529508277+0j),(4.788222100064433+0j),5
(9.13927861654301+0j),(4.817688634866437+0j),4
(9.13650565915939+0j),(4.757853937265804+0j),4
(9.13927861654302+0j),(4.817688634866438+0j),4
(9.113978599555207+0j),(4.75032336191276+0j),3
(9.139278616543017+0j),(4.817688634866436+0j),4
(9.11397859955519+0j),(4.750323361912766+0j),3
(9.114999665206167+0j),(4.941099971947457+0j),4
(9.11406067902844+0j),(4.872998052954268+0j),5
(9.114999665206174+0j),(4.941099971947464+0j),4
(9.130239529508266+0j),(4.788222100064433+0j),5
(9.114501472529401+0j),(4.763496762633567+0j),6
(9.11406067902844+0j),(4.872998052954269+0j),5
(9.13650565915939+0j),(4.757853937265796+0j),4
(9.13927861654301+0j),(4.817688634866437+0j),4
