eigenvalue_1,eigenvalue_2,span_trees
(8.2581043333158+0j),(4.699038987925382+0j),4
(8.258104333315792+0j),(4.699038987925378+0j),4
(8.212269927713034+0j),(4.628732809732209+0j),3
(8.211480802653+0j),(4.626508856046914+0j),3
(8.213335013221975+0j),(5.03032741175972+0j),3
(8.212269927713024+0j),(4.62873280973221+0j),3
(8.25435033946631+0j),(4.6678834294227585+0j),4
(8.254350339466303+0j),(4.66788342942277+0j),4
(8.212269927713036+0j),(4.62873280973221+0j),3
(8.258104333315792+0j),(4.699038987925382+0j),4
(8.252066830596434+0j),(4.653288725334922+0j),4
(8.225169760603443+0j),(5.85725035151479+0j),3
(9.136581109643862+0j),(4.655084841822264+0j),3
(9.130613864194654+0j),(4.649132468494313+0j),3
(9.13061386419464+0j),(4.649132468494314+0j),3
(9.121799290969669+0j),(4.810335213112038+0j),3
(9.121799290969669+0j),(4.810335213112042+0j),3
(9.136581109643885+0j),(4.655084841822267+0j),3
(9.121799290969669+0j),(4.810335213112043+0j),3
(8.232250771238059+0j),(5.723664626986119+0j),3
(8.316058220874156+0j),(5.582565968311048+0j),4
(8.21707778997734+0j),(6.104467612377321+0j),3
(8.31605822087414+0j),(5.5825659683110445+0j),4
(8.319700943450115+0j),(5.568122583451695+0j),4
(8.319700943450108+0j),(5.568122583451694+0j),4
(8.232250771238059+0j),(5.723664626986121+0j),3
(8.225169760603434+0j),(5.857250351514805+0j),3
(8.232250771238055+0j),(5.723664626986119+0j),3
(8.21169452659987+0j),(4.767885518607445+0j),5
(8.211694526599866+0j),(4.7678855186074225+0j),5
(8.240684713246852+0j),(4.636935302377519+0j),4
(8.252066830596466+0j),(4.6532887253349315+0j),4
(8.240684713246857+0j),(4.636935302377525+0j),4
(8.211512373835083+0j),(4.628175507715769+0j),5
(8.211512373835074+0j),(4.628175507715766+0j),5
(8.272719158183897+0j),(4.84857694651812+0j),4
(8.211480802652979+0j),(4.626508856046911+0j),5
(8.240684713246852+0j),(4.6369353023775215+0j),4
(8.211694526599864+0j),(4.767885518607428+0j),5
(8.245798402327763+0j),(4.6991116500077545+0j),4
(8.240684713246843+0j),(4.636935302377517+0j),4
(8.245798402327763+0j),(4.699111650007748+0j),4
(8.211480802653007+0j),(4.626508856046905+0j),3
(8.245798402327754+0j),(4.699111650007748+0j),4
(8.212269927713029+0j),(4.628732809732204+0j),3
(8.211480802653012+0j),(4.6265088560469065+0j),3
(8.242609556894335+0j),(4.645847819846226+0j),4
(8.242609556894335+0j),(4.645847819846222+0j),4
(8.216520809365338+0j),(4.8480110805009735+0j),3
(8.240684713246843+0j),(4.636935302377516+0j),4
(8.245798402327763+0j),(4.699111650007748+0j),4
(8.242609556894335+0j),(4.645847819846225+0j),4
(8.242609556894335+0j),(4.645847819846224+0j),4
(8.21148080265301+0j),(4.626508856046913+0j),3
(8.216520809365358+0j),(4.848011080500966+0j),3
(8.212269927713027+0j),(4.628732809732201+0j),3
(8.24579840232775+0j),(4.69911165000775+0j),4
(8.245798402327758+0j),(4.699111650007749+0j),4
(8.216520809365361+0j),(4.848011080500977+0j),3
(8.280123011652464+0j),(4.74495942089171+0j),4
(8.280123011652469+0j),(4.744959420891714+0j),4
(8.280123011652453+0j),(4.744959420891704+0j),4
(8.272719158183872+0j),(4.848576946518123+0j),4
(8.21333501322198+0j),(5.030327411759732+0j),3
(8.25810433331579+0j),(4.699038987925387+0j),4
(8.211561835508448+0j),(4.795039454472623+0j),5
(8.211561835508448+0j),(4.795039454472628+0j),5
(8.211694526599867+0j),(4.767885518607422+0j),5
(8.21148080265301+0j),(4.626508856046909+0j),3
(8.211480802653012+0j),(4.626508856046907+0j),3
(8.24579840232775+0j),(4.699111650007753+0j),4
(8.211694526599864+0j),(4.767885518607427+0j),5
(8.211480802652986+0j),(4.626508856046922+0j),3
(8.258104333315803+0j),(4.699038987925385+0j),4
(8.24579840232775+0j),(4.699111650007752+0j),4
(8.211561835508448+0j),(4.795039454472631+0j),5
(8.211561835508446+0j),(4.795039454472627+0j),5
(8.242609556894347+0j),(4.645847819846232+0j),4
(8.24260955689432+0j),(4.645847819846236+0j),4
(8.212269927713033+0j),(4.628732809732201+0j),3
(8.245798402327763+0j),(4.699111650007748+0j),4
(8.240684713246841+0j),(4.636935302377511+0j),4
(8.21169452659987+0j),(4.767885518607423+0j),5
(8.211561835508448+0j),(4.795039454472624+0j),5
(8.211561835508448+0j),(4.795039454472624+0j),5
(8.258104333315792+0j),(4.699038987925391+0j),4
(8.21148080265301+0j),(4.626508856046911+0j),3
(8.211512373835081+0j),(4.628175507715775+0j),5
(8.254350339466301+0j),(4.667883429422762+0j),4
(8.254350339466297+0j),(4.667883429422762+0j),4
(8.211512373835074+0j),(4.628175507715776+0j),5
