eigenvalue_1,eigenvalue_2,span_trees
(7.782355115450235+0j),(6.075802726644052+0j),3
(7.836203162157773+0j),(6.075825161580853+0j),4
(7.791559191917608+0j),(6.116740375623035+0j),5
(7.7823551154502475+0j),(6.075802726644053+0j),3
(7.801243646369768+0j),(6.1165761847184905+0j),4
(7.836203162157778+0j),(6.075825161580853+0j),4
(7.79155919191761+0j),(6.116740375623046+0j),5
(7.836203162157772+0j),(6.07582516158085+0j),4
(7.782355115450244+0j),(6.075802726644049+0j),3
(7.801243646369787+0j),(6.1165761847184985+0j),4
(7.79195857673858+0j),(6.115315649121013+0j),5
(7.8012436463697865+0j),(6.1165761847184985+0j),4
(7.791958576738574+0j),(6.1153156491210146+0j),5
(7.784099002295301+0j),(6.075804360333341+0j),6
(7.784099002295318+0j),(6.075804360333334+0j),6
(7.801243646369794+0j),(6.116576184718501+0j),4
(7.791958576738578+0j),(6.115315649121011+0j),5
(7.801804845920248+0j),(6.114213037647693+0j),4
(7.836203162157765+0j),(6.075825161580846+0j),4
(7.782355115450246+0j),(6.075802726644048+0j),3
(7.836203162157769+0j),(6.075825161580851+0j),4
(7.8018048459202625+0j),(6.114213037647696+0j),4
(7.836203162157787+0j),(6.075825161580853+0j),4
(7.782355115450241+0j),(6.075802726644052+0j),3
(7.836203162157782+0j),(6.075825161580856+0j),4
(7.782355115450253+0j),(6.075802726644052+0j),3
(7.791559191917606+0j),(6.11674037562304+0j),5
(7.782355115450244+0j),(6.07580272664405+0j),3
(7.83620316215777+0j),(6.075825161580852+0j),4
(7.791559191917605+0j),(6.116740375623037+0j),5
(7.791559191917603+0j),(6.116740375623035+0j),5
(7.782355115450243+0j),(6.075802726644057+0j),5
(7.80180484592025+0j),(6.114213037647691+0j),4
(7.801804845920253+0j),(6.114213037647691+0j),4
(7.791559191917603+0j),(6.116740375623035+0j),5
(7.836203162157774+0j),(6.075825161580853+0j),4
(7.801804845920245+0j),(6.114213037647696+0j),4
(7.836203162157765+0j),(6.075825161580844+0j),4
(7.782355115450237+0j),(6.075802726644047+0j),3
(7.791559191917608+0j),(6.116740375623046+0j),5
(7.782355115450234+0j),(6.075802726644051+0j),3
(7.836203162157779+0j),(6.075825161580854+0j),4
(7.801804845920245+0j),(6.114213037647696+0j),4
(7.836203162157775+0j),(6.075825161580855+0j),4
(7.791559191917605+0j),(6.116740375623037+0j),5
