added,edges,eigenvalues,span_trees
"(0, 7, 1)","[(0, 1), (0, 7), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (5, 12), (11, 14)]","[1.00778673e+01 3.89157506e+00 3.29836544e+00 2.54042935e+00
 2.19083921e+00 2.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 7.14026514e-01 6.53415311e-01
 4.21685389e-01 2.11796418e-01 3.59341477e-16]",4
"(0, 10, 1)","[(0, 1), (0, 10), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (5, 12), (11, 14)]","[ 1.00603381e+01  3.88128411e+00  3.00000000e+00  2.61803399e+00
  2.48704182e+00  2.18978541e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.70212684e-01  5.01457564e-01
  3.81966011e-01  2.09880348e-01 -1.48720600e-16]",3
"(0, 4, 1)","[(0, 1), (0, 4), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (5, 12), (11, 14)]","[ 1.00606140e+01  3.90872179e+00  3.83205783e+00  2.55491919e+00
  2.19511959e+00  1.57083127e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.75686049e-01  5.83143477e-01
  4.08115255e-01  2.10791511e-01 -3.59980938e-16]",3
"(0, 12, 1)","[(0, 1), (0, 12), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (5, 12), (11, 14)]","[1.00736861e+01 4.00856844e+00 3.04330644e+00 2.61803399e+00
 2.45656242e+00 1.78657964e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 7.28222094e-01 5.65266181e-01
 3.81966011e-01 3.37808693e-01 4.60514739e-16]",5
"(0, 6, 1)","[(0, 1), (0, 6), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (5, 12), (11, 14)]","[1.00785189e+01 4.03124316e+00 2.84504959e+00 2.61803399e+00
 2.46763126e+00 2.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 8.18294664e-01 5.04489202e-01
 3.81966011e-01 2.54773262e-01 2.99352028e-17]",4
"(0, 9, 1)","[(0, 1), (0, 9), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (5, 12), (11, 14)]","[ 1.00603381e+01  3.88128411e+00  3.00000000e+00  2.61803399e+00
  2.48704182e+00  2.18978541e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.70212684e-01  5.01457564e-01
  3.81966011e-01  2.09880348e-01 -1.02259377e-16]",3
"(0, 14, 1)","[(0, 1), (0, 14), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (5, 12), (11, 14)]","[1.00778673e+01 3.89157506e+00 3.29836544e+00 2.54042935e+00
 2.19083921e+00 2.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 7.14026514e-01 6.53415311e-01
 4.21685389e-01 2.11796418e-01 2.29542479e-16]",4
"(0, 3, 1)","[(0, 1), (0, 3), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (5, 12), (11, 14)]","[ 1.00618983e+01  4.90965499e+00  2.61803399e+00  2.50283275e+00
  2.44719431e+00  1.60508969e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  7.03976414e-01  5.12565863e-01
  3.81966011e-01  2.56787714e-01 -2.23730189e-16]",3
"(0, 11, 1)","[(0, 1), (0, 11), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (5, 12), (11, 14)]","[ 1.00606140e+01  3.90872179e+00  3.83205783e+00  2.55491919e+00
  2.19511959e+00  1.57083127e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.75686049e-01  5.83143477e-01
  4.08115255e-01  2.10791511e-01 -3.97784897e-16]",3
"(0, 5, 1)","[(0, 1), (0, 5), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (5, 12), (11, 14)]","[ 1.00795570e+01  4.40310768e+00  2.91969187e+00  2.61803399e+00
  2.48346815e+00  1.56953801e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.71789102e-01  5.53207552e-01
  3.81966011e-01  3.19640640e-01 -9.18319713e-16]",4
"(0, 8, 1)","[(0, 1), (0, 8), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (5, 12), (11, 14)]","[ 1.00603381e+01  3.88128411e+00  3.00000000e+00  2.61803399e+00
  2.48704182e+00  2.18978541e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.70212684e-01  5.01457564e-01
  3.81966011e-01  2.09880348e-01 -3.42549445e-16]",3
"(0, 13, 1)","[(0, 1), (0, 13), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (5, 12), (11, 14)]","[1.00603381e+01 3.88128411e+00 3.00000000e+00 2.61803399e+00
 2.48704182e+00 2.18978541e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 6.70212684e-01 5.01457564e-01
 3.81966011e-01 2.09880348e-01 1.00843790e-15]",3
"(0, 2, 1)","[(0, 1), (0, 2), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (3, 5), (3, 6), (4, 7), (5, 12), (11, 14)]","[ 1.00603381e+01  3.88128411e+00  3.00000000e+00  2.61803399e+00
  2.48704182e+00  2.18978541e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.70212684e-01  5.01457564e-01
  3.81966011e-01  2.09880348e-01 -4.55111021e-16]",3
"(1, 6, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (1, 6), (3, 5), (3, 6), (4, 7), (5, 12), (11, 14)]","[ 1.10337840e+01  4.04456830e+00  2.61803399e+00  2.51363149e+00
  2.38241904e+00  1.25694501e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  1.00000000e+00  5.01565515e-01
  3.81966011e-01  2.67086633e-01 -6.97918697e-16]",3
"(1, 14, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (1, 14), (3, 5), (3, 6), (4, 7), (5, 12), (11, 14)]","[1.10367550e+01 3.88920834e+00 3.00000000e+00 2.56139373e+00
 2.19609801e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 6.66982813e-01
 4.35869487e-01 2.13692597e-01 1.94396685e-16]",3
"(1, 12, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (1, 12), (3, 5), (3, 6), (4, 7), (5, 12), (11, 14)]","[1.10617281e+01 3.89118786e+00 2.61803399e+00 2.61803399e+00
 2.48647186e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 5.60612174e-01
 3.81966011e-01 3.81966011e-01 1.77207660e-16]",4
"(1, 7, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (1, 7), (3, 5), (3, 6), (4, 7), (5, 12), (11, 14)]","[1.10367550e+01 3.88920834e+00 3.00000000e+00 2.56139373e+00
 2.19609801e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 6.66982813e-01
 4.35869487e-01 2.13692597e-01 1.78465386e-16]",3
"(1, 5, 1)","[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 9), (1, 10), (1, 11), (1, 13), (1, 5), (3, 5), (3, 6), (4, 7), (5, 12), (11, 14)]","[1.10445197e+01 4.30277564e+00 2.61803399e+00 2.61803399e+00
 2.38635244e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 6.97224362e-01 5.69127851e-01
 3.81966011e-01 3.81966011e-01 4.30211422e-16]",3
