added,edges,eigenvalues,span_trees
"(1, 6, 1)","[(0, 1), (0, 2), (0, 3), (0, 6), (0, 7), (0, 8), (1, 6), (2, 5), (2, 9), (2, 10), (3, 4), (3, 11), (3, 12), (8, 13), (9, 14)]","[ 7.36043333e+00  4.84759503e+00  4.33023234e+00  3.00000000e+00
  2.49174641e+00  2.36690694e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.08307483e-01  5.23744046e-01
  2.97162892e-01  1.73871535e-01 -6.48392618e-16]",3
"(1, 11, 1)","[(0, 1), (0, 2), (0, 3), (0, 6), (0, 7), (0, 8), (1, 11), (2, 5), (2, 9), (2, 10), (3, 4), (3, 11), (3, 12), (8, 13), (9, 14)]","[7.40747223e+00 4.89756869e+00 4.34292308e+00 2.77980366e+00
 2.47068342e+00 2.35706629e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 6.63620693e-01 5.46423149e-01
 3.48045288e-01 1.86393497e-01 4.18654960e-16]",4
"(1, 14, 1)","[(0, 1), (0, 2), (0, 3), (0, 6), (0, 7), (0, 8), (1, 14), (2, 5), (2, 9), (2, 10), (3, 4), (3, 11), (3, 12), (8, 13), (9, 14)]","[7.38331059e+00+0.00000000e+00j 4.86148794e+00+0.00000000e+00j
 4.40126495e+00+0.00000000e+00j 3.16496251e+00+0.00000000e+00j
 2.45614950e+00+0.00000000e+00j 1.83438231e+00+0.00000000e+00j
 1.00000000e+00+0.00000000e+00j 1.00000000e+00+5.70088307e-17j
 1.00000000e+00-5.70088307e-17j 1.00000000e+00+0.00000000e+00j
 7.30307058e-01+0.00000000e+00j 6.08305509e-01+0.00000000e+00j
 3.38316068e-01+0.00000000e+00j 2.21513553e-01+0.00000000e+00j
 2.09309510e-17+0.00000000e+00j]",5
"(1, 4, 1)","[(0, 1), (0, 2), (0, 3), (0, 6), (0, 7), (0, 8), (1, 4), (2, 5), (2, 9), (2, 10), (3, 4), (3, 11), (3, 12), (8, 13), (9, 14)]","[7.40747223e+00 4.89756869e+00 4.34292308e+00 2.77980366e+00
 2.47068342e+00 2.35706629e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 6.63620693e-01 5.46423149e-01
 3.48045288e-01 1.86393497e-01 5.15848568e-17]",4
"(1, 12, 1)","[(0, 1), (0, 2), (0, 3), (0, 6), (0, 7), (0, 8), (1, 12), (2, 5), (2, 9), (2, 10), (3, 4), (3, 11), (3, 12), (8, 13), (9, 14)]","[ 7.40747223e+00  4.89756869e+00  4.34292308e+00  2.77980366e+00
  2.47068342e+00  2.35706629e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.63620693e-01  5.46423149e-01
  3.48045288e-01  1.86393497e-01 -2.35032229e-16]",4
"(1, 7, 1)","[(0, 1), (0, 2), (0, 3), (0, 6), (0, 7), (0, 8), (1, 7), (2, 5), (2, 9), (2, 10), (3, 4), (3, 11), (3, 12), (8, 13), (9, 14)]","[ 7.36043333e+00  4.84759503e+00  4.33023234e+00  3.00000000e+00
  2.49174641e+00  2.36690694e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  6.08307483e-01  5.23744046e-01
  2.97162892e-01  1.73871535e-01 -4.89491228e-16]",3
"(1, 5, 1)","[(0, 1), (0, 2), (0, 3), (0, 6), (0, 7), (0, 8), (1, 5), (2, 5), (2, 9), (2, 10), (3, 4), (3, 11), (3, 12), (8, 13), (9, 14)]","[ 7.40775527e+00  4.89895494e+00  4.33241725e+00  2.85216919e+00
  2.44802519e+00  2.30044455e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  7.23949771e-01  5.23882712e-01
  3.10916776e-01  2.01484345e-01 -7.63877272e-16]",4
"(1, 10, 1)","[(0, 1), (0, 2), (0, 3), (0, 6), (0, 7), (0, 8), (1, 10), (2, 5), (2, 9), (2, 10), (3, 4), (3, 11), (3, 12), (8, 13), (9, 14)]","[ 7.40775527e+00  4.89895494e+00  4.33241725e+00  2.85216919e+00
  2.44802519e+00  2.30044455e+00  1.00000000e+00  1.00000000e+00
  1.00000000e+00  1.00000000e+00  7.23949771e-01  5.23882712e-01
  3.10916776e-01  2.01484345e-01 -5.70200793e-16]",4
"(1, 13, 1)","[(0, 1), (0, 2), (0, 3), (0, 6), (0, 7), (0, 8), (1, 13), (2, 5), (2, 9), (2, 10), (3, 4), (3, 11), (3, 12), (8, 13), (9, 14)]","[7.39748110e+00 4.84804141e+00 4.38912636e+00 3.12612071e+00
 2.37597622e+00 2.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 7.96273281e-01 5.65763001e-01
 3.27079035e-01 1.74138885e-01 8.15348666e-17]",4
"(4, 13, 1)","[(0, 1), (0, 2), (0, 3), (0, 6), (0, 7), (0, 8), (2, 5), (2, 9), (2, 10), (3, 4), (3, 11), (3, 12), (4, 13), (8, 13), (9, 14)]","[7.36106713e+00 4.90149992e+00 4.44799016e+00 3.14026258e+00
 2.37936226e+00 1.84731865e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 6.91425165e-01 5.84262506e-01
 4.67556216e-01 1.79255416e-01 3.87437078e-17]",5
